#Best-fitting median black hole mass--galaxy bulge mass relation from z=0-10 from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbulge)[Msun] log10(Mbh_median)[Msun] log10(16-th percentile of Mbh_median)[Msun] log10(84-th percentile of Mbh_median)[Msun]
0.000000 8.500000 5.765969 5.736170 5.974004
0.000000 8.771816 6.060012 6.031137 6.254762
0.000000 9.043633 6.354054 6.325654 6.536383
0.000000 9.315449 6.648096 6.619814 6.818665
0.000000 9.587266 6.942139 6.912997 7.101963
0.000000 9.859082 7.236181 7.205375 7.385568
0.000000 10.130899 7.530224 7.497179 7.670065
0.000000 10.402715 7.824266 7.787776 7.954979
0.000000 10.674532 8.118308 8.077105 8.241096
0.000000 10.946348 8.412351 8.365116 8.527200
0.000000 11.218165 8.706393 8.651528 8.813720
0.000000 11.489981 9.000436 8.937350 9.102123
1.000000 8.500000 6.009691 5.977858 6.181746
1.000000 8.773174 6.311368 6.278409 6.471903
1.000000 9.046348 6.613046 6.578719 6.762740
1.000000 9.319521 6.914723 6.878654 7.053613
1.000000 9.592695 7.216401 7.177631 7.345389
1.000000 9.865869 7.518078 7.475690 7.637555
1.000000 10.139043 7.819756 7.773260 7.930062
1.000000 10.412216 8.121433 8.069180 8.223539
1.000000 10.685390 8.423110 8.364646 8.517423
1.000000 10.958564 8.724788 8.658579 8.812228
1.000000 11.231738 9.026465 8.952198 9.108555
2.000000 8.500000 5.884808 5.822054 6.019631
2.000000 8.790530 6.233612 6.171112 6.357166
2.000000 9.081060 6.582417 6.519717 6.695140
2.000000 9.371590 6.931222 6.867456 7.033351
2.000000 9.662120 7.280026 7.214480 7.372900
2.000000 9.952650 7.628831 7.559993 7.713459
2.000000 10.243180 7.977636 7.905078 8.055251
2.000000 10.533710 8.326440 8.248855 8.397983
2.000000 10.824240 8.675245 8.591753 8.741370
2.000000 11.114770 9.024050 8.933852 9.085982
3.000000 8.500000 5.667773 5.554753 5.781488
3.000000 8.826732 6.097502 5.989213 6.197607
3.000000 9.153464 6.527231 6.422676 6.614892
3.000000 9.480196 6.956960 6.854775 7.033087
3.000000 9.806928 7.386689 7.285278 7.452753
3.000000 10.133660 7.816418 7.713824 7.874399
3.000000 10.460392 8.246147 8.140999 8.297631
3.000000 10.787124 8.675876 8.565953 8.723879
3.000000 11.113856 9.105605 8.988902 9.151874
4.000000 8.500000 5.413878 5.236841 5.518442
4.000000 8.873550 5.950765 5.785857 6.038238
4.000000 9.247101 6.487652 6.333169 6.559026
4.000000 9.620651 7.024539 6.877861 7.081998
4.000000 9.994202 7.561426 7.420787 7.607447
4.000000 10.367752 8.098313 7.958843 8.137359
4.000000 10.741303 8.635200 8.494164 8.671009
4.000000 11.114853 9.172087 9.023838 9.208800
5.000000 8.500000 5.141553 4.891906 5.246035
5.000000 8.924037 5.804305 5.576628 5.885432
5.000000 9.348075 6.467058 6.258530 6.527470
5.000000 9.772112 7.129810 6.938198 7.173374
5.000000 10.196150 7.792563 7.611267 7.824822
5.000000 10.620187 8.455315 8.276653 8.483401
5.000000 11.044225 9.118067 8.934070 9.149197
6.000000 8.500000 4.858696 4.530950 4.965641
6.000000 8.941440 5.605067 5.309812 5.685074
6.000000 9.382879 6.351438 6.084216 6.407858
6.000000 9.824319 7.097809 6.856255 7.133981
6.000000 10.265759 7.844180 7.618091 7.870461
6.000000 10.707199 8.590551 8.368616 8.614410
7.000000 8.500000 4.569257 4.161122 4.682689
7.000000 8.922290 5.337778 4.969348 5.421720
7.000000 9.344581 6.106300 5.774169 6.164062
7.000000 9.766871 6.874821 6.575998 6.910223
7.000000 10.189161 7.643342 7.364855 7.667155
8.000000 8.500000 4.275430 3.784981 4.395984
8.000000 8.858771 4.974993 4.526148 5.067740
8.000000 9.217542 5.674556 5.264644 5.741488
8.000000 9.576313 6.374119 6.001026 6.417940
9.000000 8.500000 3.978531 3.403296 4.107377
9.000000 8.875000 4.758719 4.235749 4.854895
9.000000 9.250000 5.538908 5.064381 5.606311
10.000000 8.500000 3.679398 3.018995 3.816934
10.000000 9.000000 4.785180 4.205547 4.875853
