#Average black hole accretion rate (BHAR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR)@log(Mpeak)=12 log10(BHAR)_16@log(Mpeak)=12 log10(BHAR)_84@log(Mpeak)=12 log10(BHAR)@log(Mpeak)=13 log10(BHAR)_16@log(Mpeak)=13 log10(BHAR)_84@log(Mpeak)=13 log10(BHAR)@log(Mpeak)=14 log10(BHAR)_16@log(Mpeak)=14 log10(BHAR)_84@log(Mpeak)=14 log10(BHAR)@log(Mpeak)=15 log10(BHAR)_16@log(Mpeak)=15 log10(BHAR)_84@log(Mpeak)=15
10.000000 -21.509444 -23.515347 -20.107452 -18.143801 -19.801499 -16.935573 -15.318190 -16.747062 -14.253927 -12.813644 -14.069346 -11.882636
9.973799 -21.366802 -23.358935 -19.978484 -18.012827 -19.657686 -16.816959 -15.196913 -16.612970 -14.144387 -12.701058 -13.945284 -11.781920
9.947660 -21.224161 -23.202522 -19.849516 -17.881852 -19.513872 -16.698345 -15.075635 -16.478877 -14.034847 -12.588472 -13.821222 -11.681204
9.921583 -21.081519 -23.046109 -19.720548 -17.750878 -19.370059 -16.579731 -14.954357 -16.344785 -13.925307 -12.475886 -13.697160 -11.580489
9.895568 -20.938878 -22.889697 -19.591579 -17.619903 -19.226246 -16.461117 -14.833079 -16.210693 -13.815766 -12.363300 -13.573098 -11.479773
9.869615 -20.796237 -22.733284 -19.462611 -17.488928 -19.082432 -16.342503 -14.711801 -16.076600 -13.706226 -12.250713 -13.449036 -11.379057
9.843725 -20.659486 -22.583609 -19.338810 -17.363398 -18.944802 -16.228838 -14.595607 -15.948106 -13.601300 -12.142902 -13.330092 -11.282446
9.817895 -20.524785 -22.436277 -19.216806 -17.239762 -18.809325 -16.116896 -14.481183 -15.821560 -13.497979 -12.036751 -13.212928 -11.187263
9.792128 -20.390085 -22.288946 -19.094803 -17.116126 -18.673847 -16.004954 -14.366759 -15.695015 -13.394658 -11.930600 -13.095764 -11.092080
9.766421 -20.255384 -22.141615 -18.972799 -16.992490 -18.538369 -15.893011 -14.252335 -15.568469 -13.291337 -11.824449 -12.978600 -10.996898
