#Average black hole accretion rate (BHAR) to average star formation rate (SFR) ratio as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHAR/SFR)@log(Mpeak)=12 log10(BHAR/SFR)_16@log(Mpeak)=12 log10(BHAR/SFR)_84@log(Mpeak)=12 log10(BHAR/SFR)@log(Mpeak)=13 log10(BHAR/SFR)_16@log(Mpeak)=13 log10(BHAR/SFR)_84@log(Mpeak)=13 log10(BHAR/SFR)@log(Mpeak)=14 log10(BHAR/SFR)_16@log(Mpeak)=14 log10(BHAR/SFR)_84@log(Mpeak)=14 log10(BHAR/SFR)@log(Mpeak)=15 log10(BHAR/SFR)_16@log(Mpeak)=15 log10(BHAR/SFR)_84@log(Mpeak)=15
10.000000 -18.155741 -20.035808 -16.803534 -15.800479 -17.365377 -14.625923 -13.825353 -15.153808 -12.800242 -12.077644 -13.239677 -11.195078
9.973799 -18.042423 -19.908392 -16.701511 -15.697048 -17.248738 -14.533403 -13.730193 -15.046480 -12.715025 -11.989948 -13.141066 -11.116813
9.947660 -17.929105 -19.780976 -16.599489 -15.593616 -17.132099 -14.440883 -13.635033 -14.939152 -12.629809 -11.902252 -13.042456 -11.038548
9.921583 -17.815787 -19.653561 -16.497466 -15.490184 -17.015460 -14.348363 -13.539872 -14.831824 -12.544592 -11.814556 -12.943846 -10.960284
9.895568 -17.702469 -19.526145 -16.395444 -15.386753 -16.898821 -14.255843 -13.444712 -14.724496 -12.459375 -11.726860 -12.845235 -10.882019
9.869615 -17.589151 -19.398729 -16.293421 -15.283321 -16.782182 -14.163323 -13.349552 -14.617167 -12.374159 -11.639164 -12.746625 -10.803755
9.843725 -17.480480 -19.276196 -16.195508 -15.184182 -16.670409 -14.074709 -13.258403 -14.514447 -12.292565 -11.555238 -12.652131 -10.728938
9.817895 -17.373425 -19.155361 -16.099023 -15.086537 -16.560330 -13.987453 -13.168650 -14.413329 -12.212231 -11.472625 -12.559070 -10.655321
9.792128 -17.266371 -19.034527 -16.002539 -14.988892 -16.450250 -13.900198 -13.078897 -14.312211 -12.131897 -11.390011 -12.466009 -10.581705
9.766421 -17.159316 -18.913693 -15.906055 -14.891247 -16.340170 -13.812942 -12.989144 -14.211093 -12.051564 -11.307397 -12.372948 -10.508088
9.740776 -17.052261 -18.792858 -15.809570 -14.793602 -16.230091 -13.725686 -12.899391 -14.109975 -11.971230 -11.224783 -12.279886 -10.434471
9.715192 -16.945206 -18.672024 -15.713086 -14.695957 -16.120011 -13.638431 -12.809638 -14.008857 -11.890896 -11.142169 -12.186825 -10.360855
9.689669 -16.839586 -18.552706 -15.617951 -14.599633 -16.011410 -13.552337 -12.721114 -13.909149 -11.811648 -11.060708 -12.095063 -10.288259
9.664207 -16.738344 -18.438017 -15.526933 -14.507338 -15.907325 -13.469790 -12.636343 -13.813742 -11.735713 -10.982766 -12.007265 -10.218778
9.638805 -16.637102 -18.323327 -15.435916 -14.415044 -15.803239 -13.387244 -12.551571 -13.718335 -11.659778 -10.904823 -11.919466 -10.149296
9.613464 -16.535860 -18.208638 -15.344898 -14.322749 -15.699153 -13.304697 -12.466800 -13.622928 -11.583844 -10.826881 -11.831668 -10.079815
9.588184 -16.434618 -18.093949 -15.253881 -14.230455 -15.595068 -13.222150 -12.382029 -13.527521 -11.507909 -10.748939 -11.743870 -10.010334
9.562963 -16.333376 -17.979259 -15.162864 -14.138160 -15.490982 -13.139603 -12.297258 -13.432114 -11.431974 -10.670997 -11.656072 -9.940853
9.537803 -16.232133 -17.864570 -15.071846 -14.045866 -15.386896 -13.057056 -12.212487 -13.336707 -11.356040 -10.593055 -11.568274 -9.871372
9.512702 -16.135072 -17.754208 -14.984701 -13.957435 -15.287141 -12.977894 -12.131324 -13.245407 -11.283407 -10.518510 -11.484357 -9.804945
9.487661 -16.039390 -17.645276 -14.898835 -13.870280 -15.188816 -12.899849 -12.051354 -13.155462 -11.211864 -10.445087 -11.401722 -9.739525
9.462680 -15.943709 -17.536343 -14.812969 -13.783125 -15.090492 -12.821804 -11.971384 -13.065518 -11.140321 -10.371664 -11.319086 -9.674106
9.437759 -15.848027 -17.427410 -14.727103 -13.695970 -14.992167 -12.743760 -11.891414 -12.975573 -11.068778 -10.298242 -11.236451 -9.608687
9.412897 -15.752346 -17.318478 -14.641237 -13.608815 -14.893842 -12.665715 -11.811444 -12.885629 -10.997236 -10.224819 -11.153816 -9.543268
9.388094 -15.656664 -17.209545 -14.555371 -13.521660 -14.795517 -12.587670 -11.731473 -12.795685 -10.925693 -10.151396 -11.071181 -9.477848
