#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
11.359933 11.000000 0.574650
11.295954 11.000000 0.570035
11.232958 11.000000 0.560884
11.169961 11.000000 0.551733
11.169961 11.050000 0.549000
11.106965 11.000000 0.542583
11.106965 11.050000 0.539731
11.044937 11.000000 0.534580
11.044937 11.050000 0.531656
10.982909 11.000000 0.526578
10.982909 11.050000 0.523581
10.982909 11.100000 0.520584
10.920881 11.000000 0.518576
10.920881 11.050000 0.515506
10.920881 11.100000 0.512437
10.859807 11.000000 0.511257
10.859807 11.050000 0.508149
10.859807 11.100000 0.505040
10.798732 11.000000 0.503939
10.798732 11.050000 0.500791
10.798732 11.100000 0.497644
10.798732 11.150000 0.494377
10.737657 11.000000 0.496620
10.737657 11.050000 0.493434
10.737657 11.100000 0.490248
10.737657 11.150000 0.486949
10.677521 11.000000 0.489850
10.677521 11.050000 0.486647
10.677521 11.100000 0.483445
10.677521 11.150000 0.480138
10.617386 11.000000 0.483079
10.617386 11.050000 0.479860
10.617386 11.100000 0.476642
10.617386 11.150000 0.473328
10.617386 11.200000 0.470015
10.557250 11.000000 0.476309
10.557250 11.050000 0.473074
10.557250 11.100000 0.469838
10.557250 11.150000 0.466518
10.557250 11.200000 0.463198
10.498038 11.000000 0.469941
10.498038 11.050000 0.466706
10.498038 11.100000 0.463472
10.498038 11.150000 0.460163
10.498038 11.200000 0.456854
10.438827 11.000000 0.463573
10.438827 11.050000 0.460339
10.438827 11.100000 0.457105
10.438827 11.150000 0.453807
10.438827 11.200000 0.450510
10.438827 11.250000 0.447212
10.379615 11.000000 0.457206
10.379615 11.050000 0.453972
10.379615 11.100000 0.450738
10.379615 11.150000 0.447452
10.379615 11.200000 0.444166
10.379615 11.250000 0.440880
10.321314 11.000000 0.451028
10.321314 11.050000 0.447810
10.321314 11.100000 0.444593
10.321314 11.150000 0.441335
10.321314 11.200000 0.438076
10.321314 11.250000 0.434818
10.263013 11.000000 0.444850
10.263013 11.050000 0.441649
10.263013 11.100000 0.438448
10.263013 11.150000 0.435217
10.263013 11.200000 0.431987
10.263013 11.250000 0.428756
10.263013 11.300000 0.425525
10.204711 11.000000 0.438672
10.204711 11.050000 0.435487
10.204711 11.100000 0.432303
10.204711 11.150000 0.429100
10.204711 11.200000 0.425897
10.204711 11.250000 0.422694
10.204711 11.300000 0.419491
10.147306 11.000000 0.433290
10.147306 11.050000 0.430112
10.147306 11.100000 0.426933
10.147306 11.150000 0.423728
10.147306 11.200000 0.420522
10.147306 11.250000 0.417316
10.147306 11.300000 0.414111
10.089900 11.000000 0.427908
10.089900 11.050000 0.424736
10.089900 11.100000 0.421564
10.089900 11.150000 0.418355
10.089900 11.200000 0.415147
10.089900 11.250000 0.411939
10.089900 11.300000 0.408731
10.089900 11.350000 0.405613
10.032495 11.000000 0.422526
10.032495 11.050000 0.419360
10.032495 11.100000 0.416194
10.032495 11.150000 0.412983
10.032495 11.200000 0.409772
10.032495 11.250000 0.406562
10.032495 11.300000 0.403351
10.032495 11.350000 0.400215
9.975972 11.000000 0.415618
9.975972 11.050000 0.412416
9.975972 11.100000 0.409215
9.975972 11.150000 0.405952
9.975972 11.200000 0.402690
9.975972 11.250000 0.399427
9.975972 11.300000 0.396164
9.975972 11.350000 0.392954
9.919449 11.000000 0.408710
9.919449 11.050000 0.405473
9.919449 11.100000 0.402236
9.919449 11.150000 0.398921
9.919449 11.200000 0.395607
9.919449 11.250000 0.392293
9.919449 11.300000 0.388978
9.919449 11.350000 0.385692
9.919449 11.400000 0.382407
9.862926 11.000000 0.401802
9.862926 11.050000 0.398530
9.862926 11.100000 0.395257
9.862926 11.150000 0.391890
9.862926 11.200000 0.388524
9.862926 11.250000 0.385158
9.862926 11.300000 0.381792
9.862926 11.350000 0.378431
9.862926 11.400000 0.375070
9.807271 11.000000 0.392090
9.807271 11.050000 0.388744
9.807271 11.100000 0.385397
9.807271 11.150000 0.381959
9.807271 11.200000 0.378522
9.807271 11.250000 0.375084
9.807271 11.300000 0.371646
9.807271 11.350000 0.368220
9.807271 11.400000 0.364794
9.751617 11.000000 0.382378
9.751617 11.050000 0.378958
9.751617 11.100000 0.375538
9.751617 11.150000 0.372028
9.751617 11.200000 0.368519
9.751617 11.250000 0.365009
9.751617 11.300000 0.361500
9.751617 11.350000 0.358009
9.751617 11.400000 0.354517
9.751617 11.450000 0.351026
9.695962 11.000000 0.372665
9.695962 11.050000 0.369172
9.695962 11.100000 0.365678
9.695962 11.150000 0.362097
9.695962 11.200000 0.358516
9.695962 11.250000 0.354935
