#Black hole mass function (BHMF) from z=0-10, from Trinity
#Ref: Zhang et al. (2021)
#z log(Mbh)[Msun] log(Number Density)[Mpc^-3 dex^-1] log(16-th Percentile of Number Density)[Mpc^-3 dex^-1] log(84-th Percentile of Number Density)[Mpc^-3 dex^-1]
0.100000 4.000000 -1.554560 -1.615524 -1.495821
0.100000 4.100000 -1.587652 -1.647805 -1.532078
0.100000 4.200000 -1.620276 -1.679544 -1.567744
0.100000 4.300000 -1.652422 -1.710404 -1.600357
0.100000 4.400000 -1.684543 -1.740194 -1.632155
0.100000 4.500000 -1.716439 -1.769517 -1.663620
0.100000 4.600000 -1.747857 -1.798440 -1.694866
0.100000 4.700000 -1.778806 -1.826959 -1.727216
0.100000 4.800000 -1.809289 -1.855069 -1.759073
0.100000 4.900000 -1.839271 -1.882768 -1.790444
0.100000 5.000000 -1.868716 -1.910060 -1.821337
0.100000 5.100000 -1.897805 -1.936955 -1.851846
0.100000 5.200000 -1.926416 -1.963463 -1.882029
0.100000 5.300000 -1.954660 -1.989587 -1.911435
0.100000 5.400000 -1.981939 -2.015318 -1.940007
0.100000 5.500000 -2.008109 -2.041630 -1.967928
0.100000 5.600000 -2.034760 -2.067727 -1.994771
0.100000 5.700000 -2.061126 -2.093383 -2.022353
0.100000 5.800000 -2.086900 -2.118578 -2.049202
0.100000 5.900000 -2.111819 -2.143140 -2.074971
0.100000 6.000000 -2.135870 -2.166508 -2.100196
0.100000 6.100000 -2.159372 -2.189327 -2.124845
0.100000 6.200000 -2.182839 -2.211511 -2.148876
0.100000 6.300000 -2.205044 -2.232805 -2.173417
0.100000 6.400000 -2.226054 -2.253621 -2.197763
0.100000 6.500000 -2.246880 -2.273576 -2.221190
0.100000 6.600000 -2.266915 -2.291545 -2.243394
0.100000 6.700000 -2.286606 -2.309704 -2.264338
0.100000 6.800000 -2.305736 -2.327499 -2.283624
0.100000 6.900000 -2.324119 -2.343303 -2.301627
0.100000 7.000000 -2.340751 -2.358086 -2.319399
0.100000 7.100000 -2.355606 -2.373195 -2.336611
0.100000 7.200000 -2.370421 -2.387805 -2.352902
0.100000 7.300000 -2.386327 -2.401878 -2.368620
0.100000 7.400000 -2.400773 -2.417151 -2.384040
0.100000 7.500000 -2.417121 -2.435244 -2.400146
0.100000 7.600000 -2.434888 -2.457447 -2.416877
0.100000 7.700000 -2.458328 -2.482404 -2.435190
0.100000 7.800000 -2.486408 -2.511825 -2.455204
0.100000 7.900000 -2.521063 -2.547595 -2.480640
0.100000 8.000000 -2.562690 -2.592750 -2.516773
0.100000 8.100000 -2.612173 -2.647295 -2.559820
0.100000 8.200000 -2.672736 -2.714916 -2.615872
0.100000 8.300000 -2.744983 -2.793519 -2.678977
0.100000 8.400000 -2.829268 -2.883981 -2.755844
0.100000 8.500000 -2.928830 -2.989098 -2.848433
0.100000 8.600000 -3.043568 -3.109952 -2.956758
0.100000 8.700000 -3.175942 -3.248305 -3.082661
0.100000 8.800000 -3.325944 -3.403345 -3.225611
0.100000 8.900000 -3.493388 -3.578121 -3.387572
0.100000 9.000000 -3.673409 -3.769637 -3.567843
0.100000 9.100000 -3.881419 -3.979237 -3.764840
0.100000 9.200000 -4.104943 -4.205019 -3.972731
0.100000 9.300000 -4.339390 -4.451700 -4.210518
0.100000 9.400000 -4.599532 -4.719741 -4.469596
0.100000 9.500000 -4.877965 -4.999363 -4.742353
0.100000 9.600000 -5.182934 -5.307040 -5.051365
0.100000 9.700000 -5.507248 -5.636213 -5.379526
0.100000 9.800000 -5.846535 -5.988447 -5.714771
0.100000 9.900000 -6.217427 -6.367034 -6.079790
0.100000 10.000000 -6.621662 -6.761579 -6.455238
0.100000 10.100000 -7.036611 -7.183926 -6.843846
0.100000 10.200000 -7.468700 -7.634959 -7.262581
0.100000 10.300000 -7.922372 -8.107308 -7.699011
0.100000 10.400000 -8.410048 -8.602946 -8.149162
0.100000 10.500000 -8.923969 -9.123164 -8.620784
0.500000 4.000000 -1.609455 -1.670952 -1.533015
0.500000 4.100000 -1.644110 -1.705366 -1.571236
0.500000 4.200000 -1.678106 -1.738703 -1.607910
0.500000 4.300000 -1.711478 -1.770920 -1.644267
0.500000 4.400000 -1.744341 -1.801843 -1.679921
0.500000 4.500000 -1.776842 -1.832009 -1.714880
0.500000 4.600000 -1.808686 -1.861554 -1.749148
0.500000 4.700000 -1.840083 -1.890486 -1.780852
0.500000 4.800000 -1.870339 -1.918833 -1.812228
0.500000 4.900000 -1.899972 -1.946630 -1.844179
0.500000 5.000000 -1.929148 -1.973816 -1.875554
0.500000 5.100000 -1.958031 -2.000167 -1.906376
0.500000 5.200000 -1.986923 -2.027671 -1.936623
0.500000 5.300000 -2.015183 -2.052577 -1.966303
0.500000 5.400000 -2.042438 -2.077242 -1.995415
0.500000 5.500000 -2.069173 -2.102051 -2.023956
0.500000 5.600000 -2.094798 -2.126304 -2.051308
0.500000 5.700000 -2.120016 -2.150363 -2.077901
0.500000 5.800000 -2.144669 -2.174222 -2.104303
0.500000 5.900000 -2.168491 -2.197299 -2.130185
0.500000 6.000000 -2.191836 -2.219625 -2.155239
0.500000 6.100000 -2.214106 -2.241148 -2.179739
0.500000 6.200000 -2.236304 -2.261812 -2.203453
0.500000 6.300000 -2.257409 -2.282150 -2.226425
0.500000 6.400000 -2.277660 -2.302310 -2.248011
0.500000 6.500000 -2.297079 -2.321646 -2.268584
0.500000 6.600000 -2.315649 -2.340098 -2.288159
0.500000 6.700000 -2.333138 -2.357597 -2.306671
0.500000 6.800000 -2.349667 -2.373541 -2.324060
0.500000 6.900000 -2.365501 -2.387748 -2.341654
0.500000 7.000000 -2.379818 -2.400848 -2.359041
0.500000 7.100000 -2.392592 -2.413714 -2.375177
0.500000 7.200000 -2.406983 -2.426502 -2.389507
0.500000 7.300000 -2.420366 -2.439112 -2.402102
0.500000 7.400000 -2.433980 -2.453930 -2.415518
0.500000 7.500000 -2.448163 -2.470487 -2.429353
0.500000 7.600000 -2.467087 -2.489038 -2.447226
0.500000 7.700000 -2.486613 -2.509148 -2.464187
0.500000 7.800000 -2.512753 -2.537936 -2.481170
0.500000 7.900000 -2.545460 -2.571363 -2.508747
0.500000 8.000000 -2.586239 -2.616470 -2.543227
0.500000 8.100000 -2.634154 -2.671285 -2.585014
0.500000 8.200000 -2.692525 -2.736442 -2.637590
0.500000 8.300000 -2.761080 -2.810279 -2.699812
0.500000 8.400000 -2.843710 -2.899438 -2.776747
0.500000 8.500000 -2.938631 -3.001594 -2.866835
0.500000 8.600000 -3.052816 -3.122167 -2.973812
0.500000 8.700000 -3.182257 -3.257489 -3.094926
0.500000 8.800000 -3.333086 -3.410881 -3.235647
0.500000 8.900000 -3.494956 -3.581128 -3.397044
0.500000 9.000000 -3.681337 -3.765382 -3.578957
0.500000 9.100000 -3.887042 -3.973498 -3.778436
0.500000 9.200000 -4.112319 -4.202719 -3.996236
0.500000 9.300000 -4.355643 -4.451716 -4.229385
0.500000 9.400000 -4.612611 -4.721305 -4.490048
0.500000 9.500000 -4.886978 -5.009247 -4.770580
0.500000 9.600000 -5.194188 -5.319440 -5.077262
0.500000 9.700000 -5.515476 -5.662172 -5.409204
0.500000 9.800000 -5.868990 -6.011177 -5.750070
0.500000 9.900000 -6.249256 -6.398950 -6.126758
0.500000 10.000000 -6.659573 -6.800019 -6.494378
0.500000 10.100000 -7.091568 -7.226456 -6.905983
0.500000 10.200000 -7.521761 -7.688603 -7.342475
0.500000 10.300000 -7.978119 -8.174683 -7.784848
