#Average black hole merger rate (BHMR) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(BHMR)@log(Mpeak)=12 log10(BHMR)_16@log(Mpeak)=12 log10(BHMR)_84@log(Mpeak)=12 log10(BHMR)@log(Mpeak)=13 log10(BHMR)_16@log(Mpeak)=13 log10(BHMR)_84@log(Mpeak)=13 log10(BHMR)@log(Mpeak)=14 log10(BHMR)_16@log(Mpeak)=14 log10(BHMR)_84@log(Mpeak)=14 log10(BHMR)@log(Mpeak)=15 log10(BHMR)_16@log(Mpeak)=15 log10(BHMR)_84@log(Mpeak)=15
10.000000 -26.555900 -30.116623 -25.921485 -23.029558 -26.491976 -22.596790 -20.056889 -23.462347 -19.721577 -17.420008 -20.537091 -17.123153
9.973799 -26.403503 -29.957639 -25.779019 -22.888950 -26.334543 -22.464618 -19.926051 -23.301033 -19.597046 -17.299155 -20.408055 -17.010081
9.947660 -26.251107 -29.798655 -25.636553 -22.748342 -26.177110 -22.332447 -19.795213 -23.139719 -19.472515 -17.178302 -20.279020 -16.897008
9.921583 -26.098710 -29.639670 -25.494087 -22.607734 -26.019677 -22.200275 -19.664375 -22.978405 -19.347984 -17.057449 -20.149984 -16.783936
9.895568 -25.946314 -29.480686 -25.351622 -22.467125 -25.862244 -22.068104 -19.533538 -22.817091 -19.223452 -16.936596 -20.020949 -16.670863
9.869615 -25.793917 -29.321702 -25.209156 -22.326517 -25.704811 -21.935932 -19.402700 -22.655778 -19.098921 -16.815743 -19.891913 -16.557791
9.843725 -25.645882 -29.173009 -25.073061 -22.189543 -25.565554 -21.807075 -19.274876 -22.512485 -18.979260 -16.697278 -19.771660 -16.447031
9.817895 -25.499364 -29.027897 -24.939184 -22.053834 -25.432623 -21.679371 -19.148101 -22.375464 -18.861294 -16.579644 -19.654463 -16.337075
9.792128 -25.352846 -28.882786 -24.805306 -21.918125 -25.299691 -21.551668 -19.021325 -22.238442 -18.743328 -16.462011 -19.537266 -16.227119
9.766421 -25.206328 -28.737674 -24.671429 -21.782415 -25.166760 -21.423964 -18.894550 -22.101421 -18.625361 -16.344377 -19.420069 -16.117163
9.740776 -25.059810 -28.592562 -24.537552 -21.646706 -25.033828 -21.296260 -18.767775 -21.964399 -18.507395 -16.226743 -19.302872 -16.007207
9.715192 -24.913292 -28.447450 -24.403674 -21.510997 -24.900896 -21.168557 -18.641000 -21.827377 -18.389428 -16.109109 -19.185674 -15.897251
9.689669 -24.769197 -28.304642 -24.271110 -21.377570 -24.765382 -21.042940 -18.516564 -21.696329 -18.273707 -15.993365 -19.069228 -15.789534
9.664207 -24.632499 -28.168863 -24.142552 -21.251110 -24.621986 -20.923696 -18.399266 -21.583515 -18.164835 -15.883390 -18.955072 -15.688650
9.638805 -24.495800 -28.033084 -24.013995 -21.124649 -24.478590 -20.804451 -18.281969 -21.470700 -18.055964 -15.773416 -18.840917 -15.587766
9.613464 -24.359102 -27.897305 -23.885437 -20.998188 -24.335194 -20.685207 -18.164672 -21.357885 -17.947093 -15.663441 -18.726761 -15.486882
9.588184 -24.222403 -27.761527 -23.756880 -20.871728 -24.191798 -20.565962 -18.047375 -21.245070 -17.838222 -15.553466 -18.612605 -15.385998
9.562963 -24.085704 -27.625748 -23.628322 -20.745267 -24.048402 -20.446718 -17.930078 -21.132255 -17.729351 -15.443491 -18.498450 -15.285114
9.537803 -23.949006 -27.489969 -23.499765 -20.618807 -23.905006 -20.327473 -17.812781 -21.019440 -17.620480 -15.333517 -18.384294 -15.184230
9.512702 -23.818983 -27.350669 -23.377343 -20.498932 -23.769334 -20.211689 -17.701510 -20.900845 -17.510718 -15.229280 -18.275189 -15.084306
9.487661 -23.691164 -27.210205 -23.256948 -20.381233 -23.636213 -20.097046 -17.592230 -20.780341 -17.400662 -15.126938 -18.167751 -14.984701
9.462680 -23.563345 -27.069742 -23.136553 -20.263534 -23.503091 -19.982404 -17.482950 -20.659838 -17.290606 -15.024596 -18.060313 -14.885095
9.437759 -23.435525 -26.929278 -23.016158 -20.145834 -23.369970 -19.867762 -17.373669 -20.539334 -17.180550 -14.922254 -17.952875 -14.785489
9.412897 -23.307706 -26.788815 -22.895762 -20.028135 -23.236848 -19.753120 -17.264389 -20.418831 -17.070494 -14.819912 -17.845437 -14.685884
9.388094 -23.179887 -26.648351 -22.775367 -19.910435 -23.103727 -19.638477 -17.155108 -20.298327 -16.960438 -14.717569 -17.737999 -14.586278
9.363350 -23.054061 -26.511088 -22.655561 -19.794765 -22.976555 -19.524896 -17.047640 -20.184305 -16.852177 -14.616978 -17.634646 -14.489050
9.338665 -22.934003 -26.383089 -22.537462 -19.684971 -22.866612 -19.414388 -16.945420 -20.089049 -16.749112 -14.521454 -17.543122 -14.398708
9.314038 -22.813945 -26.255090 -22.419363 -19.575176 -22.756669 -19.303879 -16.843200 -19.993793 -16.646047 -14.425930 -17.451597 -14.308366
9.289471 -22.693887 -26.127092 -22.301264 -19.465382 -22.646725 -19.193370 -16.740979 -19.898537 -16.542982 -14.330405 -17.360072 -14.218025
9.264962 -22.573829 -25.999093 -22.183164 -19.355587 -22.536782 -19.082862 -16.638759 -19.803281 -16.439917 -14.234881 -17.268547 -14.127683
