#Best-fitting median black hole mass--galaxy total stellar mass relation from z=0-10 from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mstar)[Msun] log10(Mbh_median)[Msun] log10(16-th percentile of Mbh_median)[Msun] log10(84-th percentile of Mbh_median)[Msun]
0.000000 9.301030 6.010069 5.981009 6.207013
0.000000 9.517691 6.326039 6.297683 6.509502
0.000000 9.734351 6.635929 6.607644 6.806903
0.000000 9.951012 6.939258 6.910139 7.099134
0.000000 10.167672 7.235700 7.204897 7.385119
0.000000 10.384333 7.525122 7.492118 7.665105
0.000000 10.600993 7.807596 7.771363 7.938840
0.000000 10.817654 8.083394 8.042871 8.207052
0.000000 11.034314 8.352954 8.306961 8.469363
0.000000 11.250975 8.616840 8.564448 8.726292
0.000000 11.467635 8.875684 8.816155 8.979854
0.000000 11.684296 9.130145 9.063353 9.229833
1.000000 9.301030 6.120910 6.088701 6.288567
1.000000 9.541757 6.478930 6.445314 6.633348
1.000000 9.782483 6.829215 6.793719 6.971159
1.000000 10.023210 7.171126 7.132747 7.301575
1.000000 10.263936 7.504278 7.462060 7.624176
1.000000 10.504663 7.828597 7.781960 7.938722
1.000000 10.745390 8.144325 8.091662 8.245766
1.000000 10.986116 8.451992 8.392842 8.545543
1.000000 11.226843 8.752340 8.685449 8.839067
1.000000 11.467569 9.046244 8.971461 9.127973
1.000000 11.708296 9.334625 9.251614 9.412386
2.000000 9.301030 5.944306 5.881569 6.077216
2.000000 9.567266 6.374292 6.311727 6.493445
2.000000 9.833502 6.793894 6.730489 6.900044
2.000000 10.099738 7.202226 7.137099 7.297045
2.000000 10.365974 7.598842 7.530269 7.684012
2.000000 10.632210 7.983806 7.911216 8.061317
2.000000 10.898446 8.357684 8.279737 8.428715
2.000000 11.164681 8.721447 8.637162 8.786953
2.000000 11.430917 9.076333 8.985014 9.137778
2.000000 11.697153 9.423687 9.324148 9.482303
3.000000 9.301030 5.696089 5.583490 5.808862
3.000000 9.606672 6.235921 6.129039 6.332004
3.000000 9.912314 6.760550 6.657529 6.841919
3.000000 10.217957 7.268664 7.167389 7.337128
3.000000 10.523599 7.759829 7.657552 7.818631
3.000000 10.829241 8.234591 8.129599 8.286237
3.000000 11.134883 8.694351 8.584111 8.742322
3.000000 11.440525 9.141087 9.023751 9.187344
3.000000 11.746168 9.577018 9.450733 9.623164
4.000000 9.301030 5.419340 5.242395 5.523757
4.000000 9.654865 6.100800 5.938770 6.183429
4.000000 10.008699 6.759648 6.609343 6.823521
4.000000 10.362534 7.393995 7.252045 7.443135
4.000000 10.716368 8.003763 7.864182 8.043885
4.000000 11.070203 8.590708 8.450070 8.626498
4.000000 11.424037 9.157933 9.010001 9.194496
4.000000 11.777872 9.709155 9.550467 9.751043
5.000000 9.301030 5.128371 4.878233 5.233286
5.000000 9.706634 5.975862 5.753140 6.051498
5.000000 10.112238 6.790560 6.591007 6.841595
5.000000 10.517841 7.570003 7.386102 7.605093
5.000000 10.923445 8.315194 8.136943 8.343965
5.000000 11.329049 9.030233 8.847444 9.060318
5.000000 11.734653 9.720954 9.526543 9.761525
6.000000 9.301030 4.829296 4.500313 4.937518
6.000000 9.730505 5.798982 5.510991 5.872272
6.000000 10.159980 6.728651 6.476101 6.773853
6.000000 10.589456 7.615523 7.385350 7.643552
6.000000 11.018931 8.461531 8.239416 8.485061
6.000000 11.448406 9.272535 9.045036 9.304287
7.000000 9.301030 4.525164 4.114740 4.640438
7.000000 9.728757 5.564739 5.207035 5.640462
7.000000 10.156483 6.561610 6.249480 6.605418
7.000000 10.584210 7.512790 7.232301 7.537826
7.000000 11.011936 8.420285 8.152334 8.441606
8.000000 9.301030 4.217668 3.723877 4.340801
8.000000 9.706571 5.274805 4.843151 5.355978
8.000000 10.112112 6.291046 5.913802 6.337474
8.000000 10.517652 7.263316 6.925989 7.287295
9.000000 9.301030 3.907818 3.328022 4.039784
9.000000 9.618768 4.795067 4.274494 4.889722
9.000000 9.936505 5.656222 5.188229 5.719318
10.000000 9.301030 3.596260 2.929392 3.737593
10.000000 9.600000 4.484433 3.882717 4.587062
