#Median black hole mass--galaxy total stellar mass relation from z=0-5 from IllustrisTNG300.
#Ref: Habouzit et al. 2020, https://ui.adsabs.harvard.edu/abs/2021MNRAS.503.1940H/abstract
#z log10(Mstar)[Msun] log10(Mbh_median)[Msun]
0.000000 9.301030 6.329414
0.000000 9.326925 6.345604
0.000000 9.352819 6.361794
0.000000 9.378714 6.382111
0.000000 9.404608 6.412668
0.000000 9.430503 6.443225
0.000000 9.456398 6.473781
0.000000 9.482292 6.504338
0.000000 9.508187 6.534895
0.000000 9.534081 6.565452
0.000000 9.559976 6.596008
0.000000 9.585871 6.626565
0.000000 9.611765 6.657122
0.000000 9.637660 6.704016
0.000000 9.663554 6.775752
0.000000 9.689449 6.847487
0.000000 9.715344 6.919223
0.000000 9.741238 6.990958
0.000000 9.767133 7.062694
0.000000 9.793028 7.134430
0.000000 9.818922 7.206165
0.000000 9.844817 7.276710
0.000000 9.870711 7.345894
0.000000 9.896606 7.397801
0.000000 9.922501 7.448299
0.000000 9.948395 7.498797
0.000000 9.974290 7.549056
0.000000 10.000184 7.598961
0.000000 10.026079 7.648867
0.000000 10.051974 7.698772
0.000000 10.077868 7.749071
0.000000 10.103763 7.799569
0.000000 10.129657 7.849658
0.000000 10.155552 7.882607
0.000000 10.181447 7.915556
0.000000 10.207341 7.948505
0.000000 10.233236 7.981454
0.000000 10.259130 8.014403
0.000000 10.285025 8.047383
0.000000 10.310920 8.080684
0.000000 10.336814 8.113985
0.000000 10.362709 8.147285
0.000000 10.388603 8.174091
0.000000 10.414498 8.188900
0.000000 10.440393 8.203709
0.000000 10.466287 8.218518
0.000000 10.492182 8.233326
0.000000 10.518076 8.248135
0.000000 10.543971 8.262944
0.000000 10.569866 8.277753
0.000000 10.595760 8.292562
0.000000 10.621655 8.312679
0.000000 10.647549 8.342752
0.000000 10.673444 8.372826
0.000000 10.699339 8.402899
0.000000 10.725233 8.432973
0.000000 10.751128 8.463047
0.000000 10.777023 8.493120
0.000000 10.802917 8.523194
0.000000 10.828812 8.553268
0.000000 10.854706 8.582672
0.000000 10.880601 8.611882
0.000000 10.906496 8.641093
0.000000 10.932390 8.670304
0.000000 10.958285 8.699515
0.000000 10.984179 8.728726
0.000000 11.010074 8.757937
0.000000 11.035969 8.787147
0.000000 11.061863 8.814733
0.000000 11.087758 8.842065
0.000000 11.113652 8.869396
0.000000 11.139547 8.896727
0.000000 11.165442 8.924058
0.000000 11.191336 8.951389
0.000000 11.217231 8.978720
0.000000 11.243125 9.006051
0.000000 11.269020 9.035583
0.000000 11.294915 9.065916
0.000000 11.320809 9.096248
0.000000 11.346704 9.126581
0.000000 11.372598 9.156913
0.000000 11.398493 9.187246
0.000000 11.424388 9.217578
0.000000 11.450282 9.244375
0.000000 11.476177 9.269659
0.000000 11.502071 9.294943
0.000000 11.527966 9.320227
0.000000 11.553861 9.345511
0.000000 11.579755 9.370795
0.000000 11.605650 9.396079
0.000000 11.631545 9.421363
0.000000 11.657439 9.446647
0.000000 11.683334 9.475825
0.000000 11.709228 9.505380
0.000000 11.735123 9.534936
0.000000 11.761018 9.564492
0.000000 11.786912 9.594048
0.000000 11.812807 9.622563
0.000000 11.838701 9.646837
0.000000 11.864596 9.671111
1.000000 9.301030 6.306829
1.000000 9.326982 6.317415
1.000000 9.352935 6.328000
1.000000 9.378887 6.339720
1.000000 9.404839 6.365178
1.000000 9.430791 6.390636
1.000000 9.456744 6.416094
1.000000 9.482696 6.441552
1.000000 9.508648 6.467010
1.000000 9.534600 6.492468
1.000000 9.560553 6.517927
1.000000 9.586505 6.543385
1.000000 9.612457 6.568843
1.000000 9.638409 6.615090
1.000000 9.664362 6.672580
1.000000 9.690314 6.730071
1.000000 9.716266 6.787561
1.000000 9.742218 6.845051
1.000000 9.768171 6.902541
1.000000 9.794123 6.960031
1.000000 9.820075 7.017522
1.000000 9.846027 7.075012
1.000000 9.871980 7.132502
1.000000 9.897932 7.189992
1.000000 9.923884 7.247482
1.000000 9.949836 7.304973
1.000000 9.975789 7.362463
1.000000 10.001741 7.419953
1.000000 10.027693 7.477443
1.000000 10.053645 7.534934
1.000000 10.079598 7.592424
1.000000 10.105550 7.649914
1.000000 10.131502 7.703306
1.000000 10.157454 7.748070
1.000000 10.183407 7.792835
1.000000 10.209359 7.837600
1.000000 10.235311 7.881293
1.000000 10.261263 7.919016
1.000000 10.287216 7.956739
1.000000 10.313168 7.994462
1.000000 10.339120 8.032184
1.000000 10.365072 8.069907
1.000000 10.391025 8.107630
1.000000 10.416977 8.139036
1.000000 10.442929 8.168761
1.000000 10.468881 8.198487
1.000000 10.494834 8.228212
1.000000 10.520786 8.257938
1.000000 10.546738 8.287663
1.000000 10.572690 8.316921
1.000000 10.598643 8.344430
1.000000 10.624595 8.371939
1.000000 10.650547 8.399448
1.000000 10.676499 8.426957
1.000000 10.702452 8.454466
1.000000 10.728404 8.482096
1.000000 10.754356 8.511282
1.000000 10.780308 8.540468
1.000000 10.806261 8.569653
1.000000 10.832213 8.598839
1.000000 10.858165 8.628025
1.000000 10.884117 8.656933
1.000000 10.910070 8.685647
1.000000 10.936022 8.714360
1.000000 10.961974 8.743074
1.000000 10.987926 8.771788
1.000000 11.013879 8.800108
1.000000 11.039831 8.827617
1.000000 11.065783 8.855126
1.000000 11.091735 8.882635
1.000000 11.117688 8.910144
1.000000 11.143640 8.937653
1.000000 11.169592 8.964908
1.000000 11.195544 8.991065
1.000000 11.221497 9.017222
1.000000 11.247449 9.043378
1.000000 11.273401 9.069535
1.000000 11.299353 9.095691
1.000000 11.325306 9.121848
1.000000 11.351258 9.148345
1.000000 11.377210 9.175372
1.000000 11.403162 9.202399
1.000000 11.429115 9.229427
1.000000 11.455067 9.256454
1.000000 11.481019 9.283481
1.000000 11.506971 9.310508
1.000000 11.532924 9.337535
1.000000 11.558876 9.364563
1.000000 11.584828 9.391590
1.000000 11.610781 9.418617
1.000000 11.636733 9.445644
1.000000 11.662685 9.472671
1.000000 11.688637 9.499699
1.000000 11.714590 9.526726
1.000000 11.740542 9.553753
1.000000 11.766494 9.580780
1.000000 11.792446 9.607807
1.000000 11.818399 9.634834
1.000000 11.844351 9.661862
1.000000 11.870303 9.688889
2.000000 9.301030 6.254007
2.000000 9.326697 6.261304
2.000000 9.352363 6.268602
2.000000 9.378030 6.275943
2.000000 9.403696 6.284153
2.000000 9.429363 6.292362
2.000000 9.455029 6.300572
2.000000 9.480696 6.308781
2.000000 9.506363 6.316991
2.000000 9.532029 6.325200
2.000000 9.557696 6.333410
2.000000 9.583362 6.341620
2.000000 9.609029 6.349829
2.000000 9.634695 6.367125
2.000000 9.660362 6.405372
2.000000 9.686029 6.443620
2.000000 9.711695 6.481867
