#Best-fitting galaxy quenched fractions from Trinity.
#z: 0.1
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] Quenched_Fraction
9.300000 0.170225
9.400000 0.183934
9.500000 0.198308
9.600000 0.214575
9.700000 0.232666
9.800000 0.251438
9.900000 0.272611
10.000000 0.298319
10.100000 0.325083
10.200000 0.358372
10.300000 0.390702
10.400000 0.426888
10.500000 0.473201
10.600000 0.513306
10.700000 0.561466
10.800000 0.612828
10.900000 0.652169
11.000000 0.691489
11.100000 0.737341
11.200000 0.775077
11.300000 0.804784
11.400000 0.836507
11.500000 0.861867
11.600000 0.886601
11.700000 0.905686
11.800000 0.923690
11.900000 0.937084
12.000000 0.949760
12.100000 0.959571
12.200000 0.967541
12.300000 0.973933
12.400000 0.978861
