#Best-fitting average specific star formation rates from Trinity.
#z: 1.0
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] log10(SSFR)[yr^-1]
8.700000 -9.099760
8.800000 -9.084830
8.900000 -9.066150
9.000000 -9.057640
9.100000 -9.046080
9.200000 -9.037560
9.300000 -9.032970
9.400000 -9.033380
9.500000 -9.034160
9.600000 -9.038650
9.700000 -9.051010
9.800000 -9.065410
9.900000 -9.086680
10.000000 -9.111090
10.100000 -9.145230
10.200000 -9.184590
10.300000 -9.225240
10.400000 -9.285280
10.500000 -9.350540
10.600000 -9.422570
10.700000 -9.501480
10.800000 -9.585830
10.900000 -9.671780
11.000000 -9.772130
11.100000 -9.871580
11.200000 -9.970510
11.300000 -10.070100
11.400000 -10.181700
11.500000 -10.293500
