#Best-fitting median and mean black hole mass--galaxy bulge mass at z=0 without super-Eddington accretion from Trinity.
#z: 0.0
#Ref: Zhang et al. (2021)
#log10(Mbulge)[Msun] log10(Mbh_median)[Msun] log10(Mbh_mean)[Msun]
8.903090 5.725458 6.167381
9.130726 5.931723 6.373647
9.358363 6.137989 6.579912
9.585999 6.344254 6.786177
9.813636 6.550519 6.992442
10.041272 6.756784 7.198708
10.268909 6.963050 7.404973
10.496545 7.169315 7.611238
10.724181 7.375580 7.817503
10.951818 7.581845 8.023769
11.179454 7.788111 8.230034
11.407091 7.994376 8.436299
11.634727 8.200641 8.642564
11.862364 8.406906 8.848830
12.090000 8.613172 9.055095
