#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
11.359933 11.000000 5.163273
11.295954 11.000000 5.184081
11.232958 11.000000 5.199592
11.169961 11.000000 5.215103
11.169961 11.050000 5.372070
11.106965 11.000000 5.230614
11.106965 11.050000 5.386729
11.044937 11.000000 5.242285
11.044937 11.050000 5.397573
10.982909 11.000000 5.253955
10.982909 11.050000 5.408417
10.982909 11.100000 5.562878
10.920881 11.000000 5.265626
10.920881 11.050000 5.419260
10.920881 11.100000 5.572895
10.859807 11.000000 5.274402
10.859807 11.050000 5.427239
10.859807 11.100000 5.580076
10.798732 11.000000 5.283179
10.798732 11.050000 5.435218
10.798732 11.100000 5.587257
10.798732 11.150000 5.734582
10.737657 11.000000 5.291955
10.737657 11.050000 5.443197
10.737657 11.100000 5.594439
10.737657 11.150000 5.740994
10.677521 11.000000 5.298373
10.677521 11.050000 5.448850
10.677521 11.100000 5.599326
10.677521 11.150000 5.745148
10.617386 11.000000 5.304791
10.617386 11.050000 5.454502
10.617386 11.100000 5.604214
10.617386 11.150000 5.749302
10.617386 11.200000 5.894389
10.557250 11.000000 5.311208
10.557250 11.050000 5.460155
10.557250 11.100000 5.609102
10.557250 11.150000 5.753456
10.557250 11.200000 5.897810
10.498038 11.000000 5.315631
10.498038 11.050000 5.463846
10.498038 11.100000 5.612062
10.498038 11.150000 5.755720
10.498038 11.200000 5.899377
10.438827 11.000000 5.320053
10.438827 11.050000 5.467538
10.438827 11.100000 5.615022
10.438827 11.150000 5.757983
10.438827 11.200000 5.900945
10.438827 11.250000 6.043906
10.379615 11.000000 5.324476
10.379615 11.050000 5.471229
10.379615 11.100000 5.617983
10.379615 11.150000 5.760247
10.379615 11.200000 5.902512
10.379615 11.250000 6.044777
10.321314 11.000000 5.327251
10.321314 11.050000 5.473308
10.321314 11.100000 5.619365
10.321314 11.150000 5.760970
10.321314 11.200000 5.902576
10.321314 11.250000 6.044181
10.263013 11.000000 5.330026
10.263013 11.050000 5.475387
10.263013 11.100000 5.620747
10.263013 11.150000 5.761693
10.263013 11.200000 5.902639
10.263013 11.250000 6.043586
10.263013 11.300000 6.184532
10.204711 11.000000 5.332801
10.204711 11.050000 5.477465
10.204711 11.100000 5.622129
10.204711 11.150000 5.762416
10.204711 11.200000 5.902703
10.204711 11.250000 6.042990
10.204711 11.300000 6.183277
10.147306 11.000000 5.339640
10.147306 11.050000 5.483659
10.147306 11.100000 5.627679
10.147306 11.150000 5.767350
10.147306 11.200000 5.907021
10.147306 11.250000 6.046693
10.147306 11.300000 6.186364
10.089900 11.000000 5.346479
10.089900 11.050000 5.489854
10.089900 11.100000 5.633228
10.089900 11.150000 5.772284
10.089900 11.200000 5.911340
10.089900 11.250000 6.050395
10.089900 11.300000 6.189451
10.089900 11.350000 6.323289
10.032495 11.000000 5.353318
10.032495 11.050000 5.496048
10.032495 11.100000 5.638778
10.032495 11.150000 5.777218
10.032495 11.200000 5.915658
10.032495 11.250000 6.054098
10.032495 11.300000 6.192538
10.032495 11.350000 6.325800
9.975972 11.000000 5.364530
9.975972 11.050000 5.506669
9.975972 11.100000 5.648808
9.975972 11.150000 5.786677
9.975972 11.200000 5.924545
9.975972 11.250000 6.062414
9.975972 11.300000 6.200282
9.975972 11.350000 6.333002
9.919449 11.000000 5.375742
9.919449 11.050000 5.517290
9.919449 11.100000 5.658838
9.919449 11.150000 5.796135
9.919449 11.200000 5.933432
9.919449 11.250000 6.070729
9.919449 11.300000 6.208026
9.919449 11.350000 6.340204
9.919449 11.400000 6.472382
9.862926 11.000000 5.386955
9.862926 11.050000 5.527912
9.862926 11.100000 5.668869
9.862926 11.150000 5.805594
9.862926 11.200000 5.942320
9.862926 11.250000 6.079045
9.862926 11.300000 6.215771
9.862926 11.350000 6.347406
9.862926 11.400000 6.479041
9.807271 11.000000 5.394712
9.807271 11.050000 5.535097
9.807271 11.100000 5.675481
9.807271 11.150000 5.811655
9.807271 11.200000 5.947830
9.807271 11.250000 6.084004
9.807271 11.300000 6.220178
9.807271 11.350000 6.351293
9.807271 11.400000 6.482407
9.751617 11.000000 5.402470
9.751617 11.050000 5.542282
9.751617 11.100000 5.682094
9.751617 11.150000 5.817717
9.751617 11.200000 5.953340
9.751617 11.250000 6.088963
9.751617 11.300000 6.224586
9.751617 11.350000 6.355179
9.751617 11.400000 6.485772
9.751617 11.450000 6.616365
9.695962 11.000000 5.410227
9.695962 11.050000 5.549467
9.695962 11.100000 5.688706
9.695962 11.150000 5.823778
9.695962 11.200000 5.958850
9.695962 11.250000 6.093922
9.695962 11.300000 6.228994
9.695962 11.350000 6.359066
9.695962 11.400000 6.489138
9.695962 11.450000 6.619210
9.641164 11.000000 5.415216
9.641164 11.050000 5.553906
9.641164 11.100000 5.692595
9.641164 11.150000 5.827141
9.641164 11.200000 5.961686
9.641164 11.250000 6.096232
9.641164 11.300000 6.230777
9.641164 11.350000 6.360354
9.641164 11.400000 6.489931
9.641164 11.450000 6.619508
9.586365 11.000000 5.420206
9.586365 11.050000 5.558345
9.586365 11.100000 5.696485
9.586365 11.150000 5.830504
9.586365 11.200000 5.964523
9.586365 11.250000 6.098542
9.586365 11.300000 6.232561
9.586365 11.350000 6.361643
9.586365 11.400000 6.490725
9.586365 11.450000 6.619807
9.531566 11.000000 5.425195
9.531566 11.050000 5.562784
9.531566 11.100000 5.700374
9.531566 11.150000 5.833867
9.531566 11.200000 5.967359
9.531566 11.250000 6.100852
9.531566 11.300000 6.234344
9.531566 11.350000 6.362931
9.531566 11.400000 6.491518
9.531566 11.450000 6.620105
9.531566 11.500000 6.748692
9.477609 11.000000 5.427883
9.477609 11.050000 5.564947
9.477609 11.100000 5.702012
9.477609 11.150000 5.835005
9.477609 11.200000 5.967998
9.477609 11.250000 6.100991
9.477609 11.300000 6.233985
9.477609 11.350000 6.362105
9.477609 11.400000 6.490226
9.477609 11.450000 6.618347
9.477609 11.500000 6.746467
9.423652 11.000000 5.430571
9.423652 11.050000 5.567110
9.423652 11.100000 5.703649
9.423652 11.150000 5.836143
9.423652 11.200000 5.968637
9.423652 11.250000 6.101131
9.423652 11.300000 6.233625
9.423652 11.350000 6.361279
9.423652 11.400000 6.488934
9.423652 11.450000 6.616588
9.423652 11.500000 6.744243
9.369696 11.000000 5.433259
9.369696 11.050000 5.569273
9.369696 11.100000 5.705287
9.369696 11.150000 5.837281
9.369696 11.200000 5.969276
9.369696 11.250000 6.101270
9.369696 11.300000 6.233265
9.369696 11.350000 6.360453
9.369696 11.400000 6.487641
9.369696 11.450000 6.614830
9.369696 11.500000 6.742018
9.369696 11.550000 6.863794
9.316568 11.000000 5.433965
9.316568 11.050000 5.569480
9.316568 11.100000 5.704994
9.316568 11.150000 5.836518
9.316568 11.200000 5.968041
9.316568 11.250000 6.099565
9.316568 11.300000 6.231088
9.316568 11.350000 6.357841
9.316568 11.400000 6.484593
9.316568 11.450000 6.611345
9.316568 11.500000 6.738097
9.316568 11.550000 6.859475
9.263441 11.000000 5.434670
9.263441 11.050000 5.569686
9.263441 11.100000 5.704702
9.263441 11.150000 5.835754
9.263441 11.200000 5.966807
9.263441 11.250000 6.097859
9.263441 11.300000 6.228912
9.263441 11.350000 6.355228
9.263441 11.400000 6.481544
9.263441 11.450000 6.607860
9.263441 11.500000 6.734176
9.263441 11.550000 6.855157
9.210314 11.000000 5.435376
9.210314 11.050000 5.569893
9.210314 11.100000 5.704409
9.210314 11.150000 5.834991
9.210314 11.200000 5.965572
9.210314 11.250000 6.096154
9.210314 11.300000 6.226735
9.210314 11.350000 6.352615
9.210314 11.400000 6.478495
9.210314 11.450000 6.604375
9.210314 11.500000 6.730255
9.210314 11.550000 6.850838
9.210314 11.600000 6.971421
9.158003 11.000000 5.434327
9.158003 11.050000 5.568371
9.158003 11.100000 5.702416
9.158003 11.150000 5.832555
9.158003 11.200000 5.962695
9.158003 11.250000 6.092834
9.158003 11.300000 6.222974
9.158003 11.350000 6.348449
9.158003 11.400000 6.473924
9.158003 11.450000 6.599398
9.158003 11.500000 6.724873
9.158003 11.550000 6.845091
9.158003 11.600000 6.965308
9.105692 11.000000 5.433278
9.105692 11.050000 5.566850
9.105692 11.100000 5.700422
9.105692 11.150000 5.830120
9.105692 11.200000 5.959817
9.105692 11.250000 6.089515
9.105692 11.300000 6.219212
9.105692 11.350000 6.344282
9.105692 11.400000 6.469352
9.105692 11.450000 6.594422
9.105692 11.500000 6.719491
9.105692 11.550000 6.839343
9.105692 11.600000 6.959196
9.053381 11.000000 5.432229
9.053381 11.050000 5.565329
9.053381 11.100000 5.698429
9.053381 11.150000 5.827684
9.053381 11.200000 5.956940
9.053381 11.250000 6.086195
9.053381 11.300000 6.215451
9.053381 11.350000 6.340116
9.053381 11.400000 6.464780
9.053381 11.450000 6.589445
9.053381 11.500000 6.714109
9.053381 11.550000 6.833596
9.053381 11.600000 6.953083
9.053381 11.650000 7.072570
9.001875 11.000000 5.436186
9.001875 11.050000 5.568863
9.001875 11.100000 5.701540
9.001875 11.150000 5.830395
9.001875 11.200000 5.959250
9.001875 11.250000 6.088105
9.001875 11.300000 6.216959
9.001875 11.350000 6.341251
9.001875 11.400000 6.465543
9.001875 11.450000 6.589835
9.001875 11.500000 6.714127
9.001875 11.550000 6.833274
9.001875 11.600000 6.952420
9.001875 11.650000 7.071567
8.950368 11.000000 5.440143
8.950368 11.050000 5.572397
8.950368 11.100000 5.704652
8.950368 11.150000 5.833106
8.950368 11.200000 5.961560
8.950368 11.250000 6.090014
8.950368 11.300000 6.218468
8.950368 11.350000 6.342387
