#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
11.359933 11.000000 0.494012
11.295954 11.000000 0.482863
11.232958 11.000000 0.471179
11.169961 11.000000 0.459495
11.169961 11.050000 0.457974
11.106965 11.000000 0.447812
11.106965 11.050000 0.446261
11.044937 11.000000 0.438433
11.044937 11.050000 0.436885
10.982909 11.000000 0.429055
10.982909 11.050000 0.427509
10.982909 11.100000 0.425964
10.920881 11.000000 0.419676
10.920881 11.050000 0.418133
10.920881 11.100000 0.416591
10.859807 11.000000 0.411892
10.859807 11.050000 0.410374
10.859807 11.100000 0.408856
10.798732 11.000000 0.404107
10.798732 11.050000 0.402614
10.798732 11.100000 0.401121
10.798732 11.150000 0.399998
10.737657 11.000000 0.396323
10.737657 11.050000 0.394855
10.737657 11.100000 0.393387
10.737657 11.150000 0.392295
10.677521 11.000000 0.389736
10.677521 11.050000 0.388308
10.677521 11.100000 0.386881
10.677521 11.150000 0.385834
10.617386 11.000000 0.383149
10.617386 11.050000 0.381762
10.617386 11.100000 0.380375
10.617386 11.150000 0.379374
10.617386 11.200000 0.378372
10.557250 11.000000 0.376562
10.557250 11.050000 0.375216
10.557250 11.100000 0.373869
10.557250 11.150000 0.372913
10.557250 11.200000 0.371957
10.498038 11.000000 0.370900
10.498038 11.050000 0.369606
10.498038 11.100000 0.368312
10.498038 11.150000 0.367410
10.498038 11.200000 0.366509
10.438827 11.000000 0.365239
10.438827 11.050000 0.363996
10.438827 11.100000 0.362754
10.438827 11.150000 0.361907
10.438827 11.200000 0.361060
10.438827 11.250000 0.360213
10.379615 11.000000 0.359577
10.379615 11.050000 0.358387
10.379615 11.100000 0.357197
10.379615 11.150000 0.356404
10.379615 11.200000 0.355612
10.379615 11.250000 0.354819
10.321314 11.000000 0.354611
10.321314 11.050000 0.353481
10.321314 11.100000 0.352352
10.321314 11.150000 0.351619
10.321314 11.200000 0.350887
10.321314 11.250000 0.350154
10.263013 11.000000 0.349645
10.263013 11.050000 0.348576
10.263013 11.100000 0.347507
10.263013 11.150000 0.346834
10.263013 11.200000 0.346161
10.263013 11.250000 0.345489
10.263013 11.300000 0.344816
10.204711 11.000000 0.344679
10.204711 11.050000 0.343670
10.204711 11.100000 0.342662
10.204711 11.150000 0.342049
10.204711 11.200000 0.341436
10.204711 11.250000 0.340823
10.204711 11.300000 0.340210
10.147306 11.000000 0.337645
10.147306 11.050000 0.336621
10.147306 11.100000 0.335598
10.147306 11.150000 0.334956
10.147306 11.200000 0.334314
10.147306 11.250000 0.333672
10.147306 11.300000 0.333030
10.089900 11.000000 0.330611
10.089900 11.050000 0.329572
10.089900 11.100000 0.328534
10.089900 11.150000 0.327862
10.089900 11.200000 0.327191
10.089900 11.250000 0.326520
10.089900 11.300000 0.325849
10.089900 11.350000 0.325675
10.032495 11.000000 0.323577
10.032495 11.050000 0.322523
10.032495 11.100000 0.321469
10.032495 11.150000 0.320769
10.032495 11.200000 0.320069
10.032495 11.250000 0.319369
10.032495 11.300000 0.318669
10.032495 11.350000 0.318454
9.975972 11.000000 0.313269
9.975972 11.050000 0.312156
9.975972 11.100000 0.311044
9.975972 11.150000 0.310268
9.975972 11.200000 0.309493
9.975972 11.250000 0.308717
9.975972 11.300000 0.307942
9.975972 11.350000 0.307638
9.919449 11.000000 0.302961
9.919449 11.050000 0.301790
9.919449 11.100000 0.300619
9.919449 11.150000 0.299768
9.919449 11.200000 0.298917
9.919449 11.250000 0.298066
9.919449 11.300000 0.297215
9.919449 11.350000 0.296822
9.919449 11.400000 0.296429
9.862926 11.000000 0.292653
9.862926 11.050000 0.291423
9.862926 11.100000 0.290193
9.862926 11.150000 0.289267
9.862926 11.200000 0.288341
9.862926 11.250000 0.287414
9.862926 11.300000 0.286488
9.862926 11.350000 0.286006
9.862926 11.400000 0.285525
9.807271 11.000000 0.282102
9.807271 11.050000 0.280890
9.807271 11.100000 0.279678
9.807271 11.150000 0.278776
9.807271 11.200000 0.277873
9.807271 11.250000 0.276970
9.807271 11.300000 0.276068
9.807271 11.350000 0.275615
9.807271 11.400000 0.275162
9.751617 11.000000 0.271552
9.751617 11.050000 0.270358
9.751617 11.100000 0.269163
9.751617 11.150000 0.268284
9.751617 11.200000 0.267405
9.751617 11.250000 0.266526
9.751617 11.300000 0.265647
9.751617 11.350000 0.265223
9.751617 11.400000 0.264799
9.751617 11.450000 0.264375
9.695962 11.000000 0.261002
9.695962 11.050000 0.259825
9.695962 11.100000 0.258648
9.695962 11.150000 0.257793
9.695962 11.200000 0.256937
9.695962 11.250000 0.256082
9.695962 11.300000 0.255227
9.695962 11.350000 0.254832
9.695962 11.400000 0.254436
9.695962 11.450000 0.254041
9.641164 11.000000 0.252039
9.641164 11.050000 0.250903
9.641164 11.100000 0.249766
9.641164 11.150000 0.248957
