#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "instant merger" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
11.356859 11.000000 -13.499260
11.316129 11.000000 -13.375593
11.275399 11.000000 -13.279448
11.234670 11.000000 -13.200777
11.194343 11.000000 -13.088867
11.154015 11.000000 -12.999966
11.154015 11.050000 -12.784583
11.113688 11.000000 -12.926207
11.113688 11.050000 -12.711255
11.073760 11.000000 -12.823730
11.073760 11.050000 -12.609743
11.033832 11.000000 -12.740876
11.033832 11.050000 -12.527521
10.993903 11.000000 -12.671325
10.993903 11.050000 -12.458415
10.993903 11.100000 -12.043188
10.954370 11.000000 -12.576625
10.954370 11.050000 -12.364657
10.954370 11.100000 -11.953294
10.914837 11.000000 -12.498924
10.914837 11.050000 -12.287590
10.914837 11.100000 -11.878855
10.875303 11.000000 -12.433037
10.875303 11.050000 -12.222160
10.875303 11.100000 -11.815327
10.836161 11.000000 -12.344956
10.836161 11.050000 -12.134999
10.836161 11.100000 -11.731845
10.797018 11.000000 -12.271762
10.797018 11.050000 -12.062441
10.797018 11.100000 -11.661853
10.797018 11.150000 -11.457074
10.757876 11.000000 -12.209143
10.757876 11.050000 -12.000288
10.757876 11.100000 -11.601591
10.757876 11.150000 -11.397282
10.719121 11.000000 -12.126892
10.719121 11.050000 -11.918937
10.719121 11.100000 -11.523748
10.719121 11.150000 -11.320319
10.680365 11.000000 -12.057766
10.680365 11.050000 -11.850447
10.680365 11.100000 -11.457760
10.680365 11.150000 -11.254963
10.641610 11.000000 -11.998147
10.641610 11.050000 -11.791302
10.641610 11.100000 -11.400489
10.641610 11.150000 -11.198169
10.603238 11.000000 -11.921061
10.603238 11.050000 -11.715096
10.603238 11.100000 -11.327631
10.603238 11.150000 -11.126170
10.603238 11.200000 -10.725114
10.564866 11.000000 -11.855617
10.564866 11.050000 -11.650287
10.564866 11.100000 -11.265258
10.564866 11.150000 -11.064427
10.564866 11.200000 -10.665982
10.526493 11.000000 -11.798755
10.526493 11.050000 -11.593905
10.526493 11.100000 -11.210728
10.526493 11.150000 -11.010379
10.526493 11.200000 -10.613945
10.488501 11.000000 -11.726172
10.488501 11.050000 -11.522182
10.488501 11.100000 -11.142205
10.488501 11.150000 -10.942694
10.488501 11.200000 -10.549630
10.450508 11.000000 -11.663999
10.450508 11.050000 -11.460642
10.450508 11.100000 -11.083034
10.450508 11.150000 -10.884150
10.450508 11.200000 -10.493622
10.450508 11.250000 -10.291375
10.412515 11.000000 -11.609623
10.412515 11.050000 -11.406751
10.412515 11.100000 -11.030967
10.412515 11.150000 -10.832568
10.412515 11.200000 -10.444019
10.412515 11.250000 -10.242279
10.374898 11.000000 -11.541344
10.374898 11.050000 -11.339313
10.374898 11.100000 -10.966585
10.374898 11.150000 -10.769003
10.374898 11.200000 -10.383672
10.374898 11.250000 -10.182762
10.337281 11.000000 -11.482355
10.337281 11.050000 -11.280953
10.337281 11.100000 -10.910526
10.337281 11.150000 -10.713566
10.337281 11.200000 -10.330696
10.337281 11.250000 -10.130426
10.299663 11.000000 -11.430429
10.299663 11.050000 -11.229514
10.299663 11.100000 -10.860883
10.299663 11.150000 -10.664410
10.299663 11.200000 -10.283485
10.299663 11.250000 -10.083725
10.262418 11.000000 -11.366132
10.262418 11.050000 -11.166039
10.262418 11.100000 -10.800327
10.262418 11.150000 -10.604652
10.262418 11.200000 -10.226799
10.262418 11.250000 -10.027849
10.262418 11.300000 -9.659961
10.225173 11.000000 -11.310138
10.225173 11.050000 -11.110669
10.225173 11.100000 -10.747190
10.225173 11.150000 -10.552131
10.225173 11.200000 -10.176664
10.225173 11.250000 -9.978349
10.225173 11.300000 -9.612772
10.187928 11.000000 -11.260545
10.187928 11.050000 -11.061567
10.187928 11.100000 -10.699852
10.187928 11.150000 -10.505281
10.187928 11.200000 -10.131723
10.187928 11.250000 -9.933918
10.187928 11.300000 -9.570212
10.151051 11.000000 -11.199966
10.151051 11.050000 -11.001790
10.151051 11.100000 -10.642864
10.151051 11.150000 -10.449071
10.151051 11.200000 -10.078446
10.151051 11.250000 -9.881432
10.151051 11.300000 -9.520520
10.114174 11.000000 -11.146811
10.114174 11.050000 -10.949254
10.114174 11.100000 -10.592494
10.114174 11.150000 -10.399309
10.114174 11.200000 -10.030996
10.114174 11.250000 -9.834610
10.114174 11.300000 -9.475934
10.077297 11.000000 -11.099459
10.077297 11.050000 -10.902393
10.077297 11.100000 -10.547363
10.077297 11.150000 -10.354667
10.077297 11.200000 -9.988224
10.077297 11.250000 -9.792349
10.077297 11.300000 -9.435503
10.077297 11.350000 -9.242294
10.040785 11.000000 -11.037067
10.040785 11.050000 -10.840790
10.040785 11.100000 -10.488448
10.040785 11.150000 -10.296517
10.040785 11.200000 -9.932908
10.040785 11.250000 -9.737812
10.040785 11.300000 -9.383670
10.040785 11.350000 -9.191227
10.004273 11.000000 -10.982522
10.004273 11.050000 -10.786849
10.004273 11.100000 -10.436580
10.004273 11.150000 -10.245242
10.004273 11.200000 -9.883848
10.004273 11.250000 -9.689366
10.004273 11.300000 -9.337370
10.004273 11.350000 -9.145537
9.967761 11.000000 -10.934070
9.967761 11.050000 -10.738874
9.967761 11.100000 -10.390250
9.967761 11.150000 -10.199387
9.967761 11.200000 -9.839772
9.967761 11.250000 -9.645786
9.967761 11.300000 -9.295533
9.967761 11.350000 -9.104201
9.931610 11.000000 -10.863621
9.931610 11.050000 -10.669199
9.931610 11.100000 -10.323176
9.931610 11.150000 -10.133066
9.931610 11.200000 -9.776203
9.931610 11.250000 -9.582990
9.931610 11.300000 -9.235375
9.931610 11.350000 -9.044804
9.931610 11.400000 -8.706582
9.895459 11.000000 -10.803021
9.895459 11.050000 -10.609173
9.895459 11.100000 -10.265088
9.895459 11.150000 -10.075544
9.895459 11.200000 -9.720762
9.895459 11.250000 -9.528137
9.895459 11.300000 -9.182546
9.895459 11.350000 -8.992562
9.895459 11.400000 -8.656302
9.859307 11.000000 -10.749850
9.859307 11.050000 -10.556445
9.859307 11.100000 -10.213861
9.859307 11.150000 -10.024758
9.859307 11.200000 -9.671604
9.859307 11.250000 -9.479442
9.859307 11.300000 -9.135451
9.859307 11.350000 -8.945935
9.859307 11.400000 -8.611244
9.823514 11.000000 -10.685688
9.823514 11.050000 -10.493032
9.823514 11.100000 -10.152914
9.823514 11.150000 -9.964537
9.823514 11.200000 -9.613989
9.823514 11.250000 -9.422572
9.823514 11.300000 -9.081077
9.823514 11.350000 -8.892294
9.823514 11.400000 -8.559988
9.787720 11.000000 -10.629797
9.787720 11.050000 -10.437709
9.787720 11.100000 -10.099476
9.787720 11.150000 -9.911659
9.787720 11.200000 -9.563130
9.787720 11.250000 -9.372294
9.787720 11.300000 -9.032759
9.787720 11.350000 -8.844556
9.787720 11.400000 -8.514147
9.751926 11.000000 -10.580285
9.751926 11.050000 -10.388644
9.751926 11.100000 -10.051899
9.751926 11.150000 -9.864527
9.751926 11.200000 -9.517608
9.751926 11.250000 -9.327238
9.751926 11.300000 -8.989283
9.751926 11.350000 -8.801550
9.751926 11.400000 -8.472686
9.751926 11.450000 -8.287700
9.716487 11.000000 -10.521416
9.716487 11.050000 -10.330502
9.716487 11.100000 -9.996100
9.716487 11.150000 -9.809432
9.716487 11.200000 -9.464988
9.716487 11.250000 -9.275339
9.716487 11.300000 -8.939752
9.716487 11.350000 -8.752727
9.716487 11.400000 -8.426124
9.716487 11.450000 -8.241833
9.681047 11.000000 -10.469583
9.681047 11.050000 -10.279232
9.681047 11.100000 -9.946662
9.681047 11.150000 -9.760546
9.681047 11.200000 -9.418061
