#The best-fitting model to the number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta) from the Universe Machine.
#z: 4.3-9.0
#Ref: Zhang et al. (2021)
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -4.900000 3.151792
12.500000 -4.700000 2.969312
12.500000 -4.500000 2.786826
12.500000 -4.300000 2.604331
12.500000 -4.100000 2.421820
12.500000 -3.900000 2.239287
12.500000 -3.700000 2.056715
12.500000 -3.500000 1.874085
12.500000 -3.300000 1.691361
12.500000 -3.100000 1.508489
12.500000 -2.900000 1.325381
12.500000 -2.700000 1.141899
12.500000 -2.500000 0.957827
12.500000 -2.300000 0.772816
12.500000 -2.100000 0.586321
12.500000 -1.900000 0.397470
12.500000 -1.700000 0.204887
12.500000 -1.500000 0.006390
12.500000 -1.300000 -0.201482
12.500000 -1.100000 -0.424210
12.500000 -0.900000 -0.670486
12.500000 -0.700000 -0.954082
12.500000 -0.500000 -1.296825
12.500000 -0.300000 -1.733311
12.500000 -0.100000 -2.318369
