#The median galaxy UV magnitude (at 1500 Angstrom) as a function of
#halo peak mass function, average star formation rate, from the Universe Machine.
#z: 9
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mpeak) log10(SFR) M_UV
10.100000 -1.568013 -15.527548
10.100000 -1.044575 -16.378807
10.100000 -0.568359 -17.224043
10.100000 -0.064319 -18.183022
10.100000 0.488305 -19.221548
10.300000 -1.224017 -16.327639
10.300000 -0.741928 -17.092123
10.300000 -0.293889 -17.868248
10.300000 0.170807 -18.712662
10.300000 0.699218 -19.650551
10.500000 -0.882833 -17.056374
10.500000 -0.405966 -17.843706
10.500000 0.039034 -18.581417
10.500000 0.495736 -19.351669
10.500000 1.015556 -20.147495
10.700000 -0.446062 -17.989178
10.700000 -0.044060 -18.612030
10.700000 0.353683 -19.216467
10.700000 0.759685 -19.848337
10.700000 1.179770 -20.466953
10.900000 -0.024545 -18.866112
10.900000 0.342720 -19.347589
10.900000 0.731840 -19.906160
10.900000 1.100675 -20.436279
10.900000 1.499851 -20.897533
11.100000 0.185945 -19.550558
11.100000 0.591525 -19.775181
11.100000 0.968843 -20.313906
11.100000 1.360822 -20.770733
11.100000 1.777287 -21.280851
11.300000 0.605113 -19.983198
11.300000 1.002888 -20.411053
11.300000 1.325209 -20.824707
11.300000 1.647321 -21.201286
11.300000 2.148645 -21.745052
11.500000 1.147122 -20.677891
11.500000 1.427943 -20.929993
11.500000 1.622752 -21.189301
11.500000 1.927897 -21.519970
11.500000 2.300134 -21.904499
11.700000 nan nan
11.700000 nan nan
11.700000 1.346963 -20.756397
11.700000 nan nan
11.700000 nan nan
11.900000 nan nan
11.900000 nan nan
11.900000 0.525276 -19.792778
11.900000 nan nan
11.900000 nan nan
