#The best-fitting model to the median galaxy UV magnitude (at 1500 Angstrom) as a function of
#halo peak mass function, average star formation rate, from the Universe Machine.
#z: 10
#Ref: Zhang et al. (2021)
#log10(Mpeak) log10(SFR) M_UV
10.100000 -1.420933 -15.922276
10.100000 -0.915402 -16.799810
10.100000 -0.451255 -17.605509
10.100000 0.039452 -18.457312
10.100000 0.568368 -19.375439
10.300000 -1.035762 -16.691771
10.300000 -0.567104 -17.481026
10.300000 -0.129714 -18.217622
10.300000 0.329361 -18.990739
10.300000 0.836640 -19.845034
10.500000 -0.632084 -17.487145
10.500000 -0.222477 -18.150702
10.500000 0.167420 -18.782331
10.500000 0.563955 -19.424712
10.500000 1.008651 -20.145113
10.700000 -0.274734 -18.189874
10.700000 0.143001 -18.834692
10.700000 0.547207 -19.458626
10.700000 0.977322 -20.122553
10.700000 1.473040 -20.887745
10.900000 -0.102095 -18.596055
10.900000 0.367123 -19.278734
10.900000 0.735277 -19.814370
10.900000 1.117204 -20.370046
10.900000 1.530716 -20.971677
11.100000 0.299635 -19.308731
11.100000 0.678611 -19.821848
11.100000 1.026732 -20.293188
11.100000 1.329825 -20.703563
11.100000 1.681631 -21.179893
11.300000 0.596353 -19.829168
11.300000 1.004260 -20.335255
11.300000 1.312222 -20.717341
11.300000 1.508952 -20.961422
11.300000 1.934974 -21.489983
11.500000 0.558220 -19.925808
11.500000 nan nan
11.500000 nan nan
11.500000 nan nan
11.500000 nan nan
11.700000 nan nan
11.700000 nan nan
11.700000 0.620966 -20.152016
11.700000 nan nan
11.700000 nan nan
