#Mbh bhmf
7.535000 9.448986e-06
7.625000 7.361865e-06
7.715000 5.701813e-06
7.805000 4.389134e-06
7.895000 3.357394e-06
7.985000 2.551520e-06
8.075000 1.926117e-06
8.165000 1.443995e-06
8.255000 1.074877e-06
8.345000 7.942720e-07
8.435000 5.825104e-07
8.525000 4.239017e-07
8.615000 3.060232e-07
8.705000 2.191132e-07
8.795000 1.555617e-07
8.885000 1.094834e-07
8.975000 7.636480e-08
9.065000 5.277438e-08
9.155000 3.612605e-08
9.245000 2.448866e-08
9.335000 1.643366e-08
9.425000 1.091451e-08
9.515000 7.172143e-09
9.605000 4.661672e-09
9.695000 2.996096e-09
9.785000 1.903549e-09
9.875000 1.195201e-09
9.965000 7.414149e-10
10.055000 4.542582e-10
10.145000 2.748178e-10
10.235000 1.641231e-10
10.325000 9.673036e-11
10.415000 5.624879e-11
10.505000 3.226366e-11
10.595000 1.824991e-11
10.685000 1.017783e-11
10.775000 5.595029e-12
10.865000 3.031176e-12
10.955000 1.618062e-12
