#Best-fitting median and mean black hole mass--galaxy bulge mass at z=0 from Trinity.
#z: 0.0
#Ref: Zhang et al. (2021)
#log10(Mbulge)[Msun] log10(Mbh_median)[Msun] log10(Mbh_mean)[Msun]
8.903090 6.202019 6.295587
9.130726 6.448269 6.541836
9.358363 6.694519 6.788086
9.585999 6.940769 7.034336
9.813636 7.187018 7.280586
10.041272 7.433268 7.526836
10.268909 7.679518 7.773085
10.496545 7.925768 8.019335
10.724181 8.172018 8.265585
10.951818 8.418267 8.511835
11.179454 8.664517 8.758085
11.407091 8.910767 9.004335
11.634727 9.157017 9.250584
11.862364 9.403267 9.496834
12.090000 9.649517 9.743084
