#Best-fitting mean black hole mass--galaxy total stellar mass relation from z=0-10 from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mstar)[Msun] log10(Mbh_mean)[Msun] log10(16-th percentile of Mbh_mean)[Msun] log10(84-th percentile of Mbh_mean)[Msun]
0.000000 9.301030 6.103637 6.084804 6.297047
0.000000 9.517691 6.419607 6.402095 6.598348
0.000000 9.734351 6.729497 6.713058 6.894719
0.000000 9.951012 7.032825 7.016802 7.184650
0.000000 10.167672 7.329267 7.313016 7.469726
0.000000 10.384333 7.618689 7.601226 7.748940
0.000000 10.600993 7.901163 7.881838 8.022010
0.000000 10.817654 8.176961 8.154485 8.289576
0.000000 11.034314 8.446522 8.419402 8.551760
0.000000 11.250975 8.710407 8.677412 8.809463
0.000000 11.467635 8.969251 8.929538 9.062864
0.000000 11.684296 9.223713 9.176840 9.312505
1.000000 9.301030 6.214477 6.194781 6.376068
1.000000 9.541757 6.572498 6.551752 6.719501
1.000000 9.782483 6.922783 6.900945 7.056212
1.000000 10.023210 7.264693 7.241323 7.385517
1.000000 10.263936 7.597846 7.572157 7.707164
1.000000 10.504663 7.922164 7.892851 8.021049
1.000000 10.745390 8.237893 8.204321 8.327803
1.000000 10.986116 8.545559 8.506364 8.627446
1.000000 11.226843 8.845907 8.799733 8.921130
1.000000 11.467569 9.139812 9.086090 9.209538
1.000000 11.708296 9.428193 9.366395 9.493656
2.000000 9.301030 6.037873 5.988477 6.165963
2.000000 9.567266 6.467860 6.419799 6.581177
2.000000 9.833502 6.887461 6.839699 6.986596
2.000000 10.099738 7.295794 7.247539 7.382002
2.000000 10.365974 7.692410 7.642060 7.767156
2.000000 10.632210 8.077374 8.023969 8.143044
2.000000 10.898446 8.451251 8.393363 8.509355
2.000000 11.164681 8.815014 8.751718 8.867433
2.000000 11.430917 9.169900 9.099749 9.217836
2.000000 11.697153 9.517254 9.438876 9.562563
3.000000 9.301030 5.789657 5.689302 5.899058
3.000000 9.606672 6.329488 6.235887 6.420335
3.000000 9.912314 6.854118 6.766047 6.928504
3.000000 10.217957 7.362231 7.277811 7.423028
3.000000 10.523599 7.853396 7.769529 7.902385
3.000000 10.829241 8.328158 8.242931 8.368847
3.000000 11.134883 8.787918 8.698363 8.824094
3.000000 11.440525 9.234655 9.138196 9.269077
3.000000 11.746168 9.670586 9.564706 9.705511
4.000000 9.301030 5.512908 5.346338 5.615526
4.000000 9.654865 6.194367 6.044180 6.273248
4.000000 10.008699 6.853215 6.717241 6.912211
4.000000 10.362534 7.487562 7.361321 7.530262
4.000000 10.716368 8.097331 7.975808 8.128936
4.000000 11.070203 8.684276 8.561539 8.710866
4.000000 11.424037 9.251501 9.121181 9.278922
4.000000 11.777872 9.802723 9.660934 9.835770
5.000000 9.301030 5.221938 4.979510 5.325528
5.000000 9.706634 6.069429 5.857452 6.142162
5.000000 10.112238 6.884127 6.696123 6.931697
5.000000 10.517841 7.663570 7.492832 7.693588
5.000000 10.923445 8.408761 8.245108 8.431314
5.000000 11.329049 9.123800 8.955296 9.147382
5.000000 11.734653 9.814522 9.633874 9.848980
6.000000 9.301030 4.922863 4.601282 5.032418
6.000000 9.730505 5.892550 5.613180 5.965177
6.000000 10.159980 6.822219 6.578502 6.865138
6.000000 10.589456 7.709091 7.490399 7.733408
6.000000 11.018931 8.555099 8.345278 8.574878
6.000000 11.448406 9.366102 9.150674 9.393554
7.000000 9.301030 4.618732 4.213904 4.735462
7.000000 9.728757 5.658307 5.308607 5.733584
7.000000 10.156483 6.655177 6.350978 6.697389
7.000000 10.584210 7.606357 7.334557 7.628334
7.000000 11.011936 8.513852 8.255486 8.532563
8.000000 9.301030 4.311235 3.821239 4.436633
8.000000 9.706571 5.368373 4.943188 5.450316
8.000000 10.112112 6.384613 6.013687 6.430075
8.000000 10.517652 7.356884 7.026672 7.378455
9.000000 9.301030 4.001386 3.425770 4.136210
9.000000 9.618768 4.888635 4.373930 4.984766
9.000000 9.936505 5.749789 5.288886 5.812867
10.000000 9.301030 3.689828 3.027850 3.835362
10.000000 9.600000 4.578001 3.981716 4.682565
