#Median black hole mass (Mbh_median) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun]
11.359933 11.000000 -1.782812
11.295954 11.000000 -1.632032
11.232958 11.000000 -1.499893
11.169961 11.000000 -1.367753
11.169961 11.050000 -1.013558
11.106965 11.000000 -1.235614
11.106965 11.050000 -0.884991
11.044937 11.000000 -1.116978
11.044937 11.050000 -0.769819
10.982909 11.000000 -0.998342
10.982909 11.050000 -0.654647
10.982909 11.100000 -0.310952
10.920881 11.000000 -0.879706
10.920881 11.050000 -0.539475
10.920881 11.100000 -0.199244
10.859807 11.000000 -0.771516
10.859807 11.050000 -0.434623
10.859807 11.100000 -0.097729
10.798732 11.000000 -0.663325
10.798732 11.050000 -0.329770
10.798732 11.100000 0.003786
10.798732 11.150000 0.331880
10.737657 11.000000 -0.555134
10.737657 11.050000 -0.224917
10.737657 11.100000 0.105301
10.737657 11.150000 0.430044
10.677521 11.000000 -0.455754
10.677521 11.050000 -0.128739
10.677521 11.100000 0.198276
10.677521 11.150000 0.519815
10.617386 11.000000 -0.356374
10.617386 11.050000 -0.032561
10.617386 11.100000 0.291252
10.617386 11.150000 0.609585
10.617386 11.200000 0.927918
10.557250 11.000000 -0.256994
10.557250 11.050000 0.063617
10.557250 11.100000 0.384228
10.557250 11.150000 0.699355
10.557250 11.200000 1.014483
10.498038 11.000000 -0.165340
10.498038 11.050000 0.152209
10.498038 11.100000 0.469758
10.498038 11.150000 0.781828
10.498038 11.200000 1.093899
10.438827 11.000000 -0.073685
10.438827 11.050000 0.240801
10.438827 11.100000 0.555288
10.438827 11.150000 0.864301
10.438827 11.200000 1.173314
10.438827 11.250000 1.482328
10.379615 11.000000 0.017969
10.379615 11.050000 0.329393
10.379615 11.100000 0.640818
10.379615 11.150000 0.946774
10.379615 11.200000 1.252730
10.379615 11.250000 1.558686
10.321314 11.000000 0.102925
10.321314 11.050000 0.411427
10.321314 11.100000 0.719929
10.321314 11.150000 1.022975
10.321314 11.200000 1.326022
10.321314 11.250000 1.629068
10.263013 11.000000 0.187881
10.263013 11.050000 0.493461
10.263013 11.100000 0.799040
10.263013 11.150000 1.099177
10.263013 11.200000 1.399314
10.263013 11.250000 1.699450
10.263013 11.300000 1.999587
10.204711 11.000000 0.272837
10.204711 11.050000 0.575494
10.204711 11.100000 0.878151
10.204711 11.150000 1.175378
10.204711 11.200000 1.472605
10.204711 11.250000 1.769832
10.204711 11.300000 2.067060
10.147306 11.000000 0.361844
10.147306 11.050000 0.661782
10.147306 11.100000 0.961720
10.147306 11.150000 1.256234
10.147306 11.200000 1.550747
10.147306 11.250000 1.845261
10.147306 11.300000 2.139775
10.089900 11.000000 0.450851
10.089900 11.050000 0.748070
10.089900 11.100000 1.045289
10.089900 11.150000 1.337089
10.089900 11.200000 1.628889
10.089900 11.250000 1.920690
10.089900 11.300000 2.212490
10.089900 11.350000 2.497164
10.032495 11.000000 0.539858
10.032495 11.050000 0.834358
10.032495 11.100000 1.128857
10.032495 11.150000 1.417944
10.032495 11.200000 1.707031
10.032495 11.250000 1.996118
10.032495 11.300000 2.285205
10.032495 11.350000 2.567190
9.975972 11.000000 0.632742
9.975972 11.050000 0.924720
9.975972 11.100000 1.216698
9.975972 11.150000 1.503260
9.975972 11.200000 1.789821
9.975972 11.250000 2.076383
9.975972 11.300000 2.362945
9.975972 11.350000 2.642417
9.919449 11.000000 0.725627
9.919449 11.050000 1.015082
9.919449 11.100000 1.304538
9.919449 11.150000 1.588575
9.919449 11.200000 1.872612
9.919449 11.250000 2.156648
9.919449 11.300000 2.440685
9.919449 11.350000 2.717645
9.919449 11.400000 2.994604
9.862926 11.000000 0.818511
9.862926 11.050000 1.105445
9.862926 11.100000 1.392378
9.862926 11.150000 1.673890
9.862926 11.200000 1.955402
9.862926 11.250000 2.236913
9.862926 11.300000 2.518425
9.862926 11.350000 2.792872
9.862926 11.400000 3.067318
9.807271 11.000000 0.900377
9.807271 11.050000 1.184870
9.807271 11.100000 1.469364
9.807271 11.150000 1.748437
9.807271 11.200000 2.027510
9.807271 11.250000 2.306583
9.807271 11.300000 2.585656
9.807271 11.350000 2.857683
9.807271 11.400000 3.129709
9.751617 11.000000 0.982243
9.751617 11.050000 1.264296
9.751617 11.100000 1.546350
9.751617 11.150000 1.822984
9.751617 11.200000 2.099619
9.751617 11.250000 2.376253
9.751617 11.300000 2.652888
9.751617 11.350000 2.922494
9.751617 11.400000 3.192099
9.751617 11.450000 3.461705
9.695962 11.000000 1.064109
9.695962 11.050000 1.343722
9.695962 11.100000 1.623335
9.695962 11.150000 1.897531
9.695962 11.200000 2.171727
9.695962 11.250000 2.445923
9.695962 11.300000 2.720119
9.695962 11.350000 2.987305
9.695962 11.400000 3.254490
9.695962 11.450000 3.521675
9.641164 11.000000 1.137208
9.641164 11.050000 1.414475
9.641164 11.100000 1.691742
9.641164 11.150000 1.963599
9.641164 11.200000 2.235457
9.641164 11.250000 2.507315
9.641164 11.300000 2.779172
9.641164 11.350000 3.044045
9.641164 11.400000 3.308917
9.641164 11.450000 3.573789
9.586365 11.000000 1.210306
9.586365 11.050000 1.485227
