#Average star formation rate (SFR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SFR)[Msun]
11.359933 11.000000 0.821064
11.295954 11.000000 0.840349
11.232958 11.000000 0.858327
11.169961 11.000000 0.876305
11.169961 11.050000 0.978426
11.106965 11.000000 0.894283
11.106965 11.050000 0.995767
11.044937 11.000000 0.910978
11.044937 11.050000 1.011855
10.982909 11.000000 0.927674
10.982909 11.050000 1.027943
10.982909 11.100000 1.128212
10.920881 11.000000 0.944370
10.920881 11.050000 1.044031
10.920881 11.100000 1.143692
10.859807 11.000000 0.959809
10.859807 11.050000 1.058892
10.859807 11.100000 1.157974
10.798732 11.000000 0.975249
10.798732 11.050000 1.073753
10.798732 11.100000 1.172257
10.798732 11.150000 1.270751
10.737657 11.000000 0.990688
10.737657 11.050000 1.088613
10.737657 11.100000 1.186539
10.737657 11.150000 1.284455
10.677521 11.000000 1.004897
10.677521 11.050000 1.102273
10.677521 11.100000 1.199648
10.677521 11.150000 1.297014
10.617386 11.000000 1.019106
10.617386 11.050000 1.115932
10.617386 11.100000 1.212757
10.617386 11.150000 1.309573
10.617386 11.200000 1.406389
10.557250 11.000000 1.033316
10.557250 11.050000 1.129591
10.557250 11.100000 1.225866
10.557250 11.150000 1.322132
10.557250 11.200000 1.418398
10.498038 11.000000 1.046322
10.498038 11.050000 1.142075
10.498038 11.100000 1.237828
10.498038 11.150000 1.333572
10.498038 11.200000 1.429316
10.438827 11.000000 1.059328
10.438827 11.050000 1.154559
10.438827 11.100000 1.249790
10.438827 11.150000 1.345012
10.438827 11.200000 1.440234
10.438827 11.250000 1.535455
10.379615 11.000000 1.072334
10.379615 11.050000 1.167043
10.379615 11.100000 1.261752
10.379615 11.150000 1.356452
10.379615 11.200000 1.451151
10.379615 11.250000 1.545851
10.321314 11.000000 1.084164
10.321314 11.050000 1.178379
10.321314 11.100000 1.272594
10.321314 11.150000 1.366799
10.321314 11.200000 1.461003
10.321314 11.250000 1.555208
10.263013 11.000000 1.095994
10.263013 11.050000 1.189715
10.263013 11.100000 1.283435
10.263013 11.150000 1.377145
10.263013 11.200000 1.470855
10.263013 11.250000 1.564565
10.263013 11.300000 1.658276
10.204711 11.000000 1.107825
10.204711 11.050000 1.201050
10.204711 11.100000 1.294276
10.204711 11.150000 1.387492
10.204711 11.200000 1.480707
10.204711 11.250000 1.573923
10.204711 11.300000 1.667138
10.147306 11.000000 1.118507
10.147306 11.050000 1.211266
10.147306 11.100000 1.304024
10.147306 11.150000 1.396772
10.147306 11.200000 1.489519
10.147306 11.250000 1.582267
10.147306 11.300000 1.675015
10.089900 11.000000 1.129190
10.089900 11.050000 1.221481
10.089900 11.100000 1.313771
10.089900 11.150000 1.406051
10.089900 11.200000 1.498331
10.089900 11.250000 1.590611
10.089900 11.300000 1.682892
10.089900 11.350000 1.775159
10.032495 11.000000 1.139873
10.032495 11.050000 1.231696
10.032495 11.100000 1.323519
10.032495 11.150000 1.415331
10.032495 11.200000 1.507143
10.032495 11.250000 1.598956
10.032495 11.300000 1.690768
10.032495 11.350000 1.782568
9.975972 11.000000 1.149436
9.975972 11.050000 1.240818
9.975972 11.100000 1.332200
9.975972 11.150000 1.423571
9.975972 11.200000 1.514942
9.975972 11.250000 1.606313
9.975972 11.300000 1.697684
9.975972 11.350000 1.789042
9.919449 11.000000 1.158999
9.919449 11.050000 1.249940
9.919449 11.100000 1.340881
9.919449 11.150000 1.431810
9.919449 11.200000 1.522740
9.919449 11.250000 1.613670
9.919449 11.300000 1.704600
9.919449 11.350000 1.795516
9.919449 11.400000 1.886433
9.862926 11.000000 1.168563
9.862926 11.050000 1.259062
9.862926 11.100000 1.349562
9.862926 11.150000 1.440050
9.862926 11.200000 1.530539
9.862926 11.250000 1.621027
9.862926 11.300000 1.711515
9.862926 11.350000 1.801990
9.862926 11.400000 1.892466
9.807271 11.000000 1.177036
9.807271 11.050000 1.267120
9.807271 11.100000 1.357204
9.807271 11.150000 1.447277
9.807271 11.200000 1.537350
9.807271 11.250000 1.627423
9.807271 11.300000 1.717496
9.807271 11.350000 1.807555
9.807271 11.400000 1.897615
9.751617 11.000000 1.185508
9.751617 11.050000 1.275177
9.751617 11.100000 1.364846
9.751617 11.150000 1.454504
9.751617 11.200000 1.544161
9.751617 11.250000 1.633819
9.751617 11.300000 1.723476
9.751617 11.350000 1.813120
9.751617 11.400000 1.902764
9.751617 11.450000 1.992408
9.695962 11.000000 1.193981
9.695962 11.050000 1.283235
9.695962 11.100000 1.372489
9.695962 11.150000 1.461731
9.695962 11.200000 1.550973
9.695962 11.250000 1.640215
9.695962 11.300000 1.729457
9.695962 11.350000 1.818685
9.695962 11.400000 1.907913
9.695962 11.450000 1.997141
9.641164 11.000000 1.201393
9.641164 11.050000 1.290257
9.641164 11.100000 1.379120
9.641164 11.150000 1.467972
9.641164 11.200000 1.556824
9.641164 11.250000 1.645676
9.641164 11.300000 1.734528
9.641164 11.350000 1.823366
9.641164 11.400000 1.912204
9.641164 11.450000 2.001042
9.586365 11.000000 1.208805
9.586365 11.050000 1.297278
9.586365 11.100000 1.385752
9.586365 11.150000 1.474214
9.586365 11.200000 1.562676
9.586365 11.250000 1.651138
9.586365 11.300000 1.739599
9.586365 11.350000 1.828047
9.586365 11.400000 1.916495
9.586365 11.450000 2.004942
9.531566 11.000000 1.216216
9.531566 11.050000 1.304300
9.531566 11.100000 1.392384
9.531566 11.150000 1.480456
9.531566 11.200000 1.568527
9.531566 11.250000 1.656599
9.531566 11.300000 1.744671
9.531566 11.350000 1.832728
9.531566 11.400000 1.920785
9.531566 11.450000 2.008842
9.531566 11.500000 2.096900
9.477609 11.000000 1.222596
9.477609 11.050000 1.310315
9.477609 11.100000 1.398033
9.477609 11.150000 1.485740
9.477609 11.200000 1.573446
9.477609 11.250000 1.661153
9.477609 11.300000 1.748859
9.477609 11.350000 1.836551
9.477609 11.400000 1.924243
9.477609 11.450000 2.011934
9.477609 11.500000 2.099626
9.423652 11.000000 1.228976
9.423652 11.050000 1.316329
9.423652 11.100000 1.403683
9.423652 11.150000 1.491024
9.423652 11.200000 1.578365
9.423652 11.250000 1.665706
9.423652 11.300000 1.753047
9.423652 11.350000 1.840374
9.423652 11.400000 1.927700
9.423652 11.450000 2.015026
9.423652 11.500000 2.102353
9.369696 11.000000 1.235355
9.369696 11.050000 1.322344
9.369696 11.100000 1.409332
9.369696 11.150000 1.496308
9.369696 11.200000 1.583284
9.369696 11.250000 1.670260
9.369696 11.300000 1.757236
9.369696 11.350000 1.844197
9.369696 11.400000 1.931158
9.369696 11.450000 2.018118
9.369696 11.500000 2.105079
9.369696 11.550000 2.192022
9.316568 11.000000 1.240733
9.316568 11.050000 1.327381
9.316568 11.100000 1.414028
9.316568 11.150000 1.500663
9.316568 11.200000 1.587298
9.316568 11.250000 1.673933
9.316568 11.300000 1.760568
9.316568 11.350000 1.847188
9.316568 11.400000 1.933807
9.316568 11.450000 2.020427
9.316568 11.500000 2.107047
9.316568 11.550000 2.193648
9.263441 11.000000 1.246110
9.263441 11.050000 1.332417
9.263441 11.100000 1.418724
9.263441 11.150000 1.505018
9.263441 11.200000 1.591312
9.263441 11.250000 1.677606
9.263441 11.300000 1.763900
9.263441 11.350000 1.850179
9.263441 11.400000 1.936457
9.263441 11.450000 2.022736
9.263441 11.500000 2.109014
9.263441 11.550000 2.195274
9.210314 11.000000 1.251488
9.210314 11.050000 1.337454
9.210314 11.100000 1.423420
9.210314 11.150000 1.509373
9.210314 11.200000 1.595326
9.210314 11.250000 1.681279
9.210314 11.300000 1.767233
9.210314 11.350000 1.853170
9.210314 11.400000 1.939107
9.210314 11.450000 2.025045
9.210314 11.500000 2.110982
9.210314 11.550000 2.196900
9.210314 11.600000 2.282819
9.158003 11.000000 1.255893
9.158003 11.050000 1.341542
9.158003 11.100000 1.427192
9.158003 11.150000 1.512828
9.158003 11.200000 1.598464
9.158003 11.250000 1.684099
9.158003 11.300000 1.769735
9.158003 11.350000 1.855355
9.158003 11.400000 1.940975
9.158003 11.450000 2.026595
9.158003 11.500000 2.112215
9.158003 11.550000 2.197816
9.158003 11.600000 2.283417
9.105692 11.000000 1.260298
9.105692 11.050000 1.345631
9.105692 11.100000 1.430963
9.105692 11.150000 1.516282
9.105692 11.200000 1.601601
9.105692 11.250000 1.686919
9.105692 11.300000 1.772238
9.105692 11.350000 1.857541
9.105692 11.400000 1.942844
9.105692 11.450000 2.028146
9.105692 11.500000 2.113449
9.105692 11.550000 2.198732
9.105692 11.600000 2.284015
9.053381 11.000000 1.264704
9.053381 11.050000 1.349719
9.053381 11.100000 1.434734
9.053381 11.150000 1.519736
9.053381 11.200000 1.604738
9.053381 11.250000 1.689739
9.053381 11.300000 1.774741
9.053381 11.350000 1.859726
9.053381 11.400000 1.944712
9.053381 11.450000 2.029697
9.053381 11.500000 2.114682
9.053381 11.550000 2.199648
9.053381 11.600000 2.284613
9.053381 11.650000 2.369579
9.001875 11.000000 1.268167
9.001875 11.050000 1.352888
9.001875 11.100000 1.437610
9.001875 11.150000 1.522318
9.001875 11.200000 1.607026
9.001875 11.250000 1.691734
9.001875 11.300000 1.776442
9.001875 11.350000 1.861133
9.001875 11.400000 1.945824
9.001875 11.450000 2.030515
9.001875 11.500000 2.115207
9.001875 11.550000 2.199878
9.001875 11.600000 2.284549
9.001875 11.650000 2.369220
8.950368 11.000000 1.271630
8.950368 11.050000 1.356058
8.950368 11.100000 1.440486
