#Average average specific black hole accretion rate (SBHAR) to specific star formation rate (SSFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(SBHAR/SSFR)
11.359933 11.000000 0.182714
11.295954 11.000000 0.191266
11.232958 11.000000 0.192086
11.169961 11.000000 0.192904
11.169961 11.050000 0.190635
11.106965 11.000000 0.193724
11.106965 11.050000 0.191363
11.044937 11.000000 0.193798
11.044937 11.050000 0.191369
10.982909 11.000000 0.193870
10.982909 11.050000 0.191374
10.982909 11.100000 0.188879
10.920881 11.000000 0.193943
10.920881 11.050000 0.191380
10.920881 11.100000 0.188818
10.859807 11.000000 0.193561
10.859807 11.050000 0.190949
10.859807 11.100000 0.188337
10.798732 11.000000 0.193177
10.798732 11.050000 0.190517
10.798732 11.100000 0.187855
10.798732 11.150000 0.184673
10.737657 11.000000 0.192794
10.737657 11.050000 0.190086
10.737657 11.100000 0.187375
10.737657 11.150000 0.184151
10.677521 11.000000 0.192186
10.677521 11.050000 0.189440
10.677521 11.100000 0.186695
10.677521 11.150000 0.183442
10.617386 11.000000 0.191579
10.617386 11.050000 0.188795
10.617386 11.100000 0.186013
10.617386 11.150000 0.182734
10.617386 11.200000 0.179455
10.557250 11.000000 0.190969
10.557250 11.050000 0.188151
10.557250 11.100000 0.185332
10.557250 11.150000 0.182026
10.557250 11.200000 0.178719
10.498038 11.000000 0.190211
10.498038 11.050000 0.187365
10.498038 11.100000 0.184518
10.498038 11.150000 0.181198
10.498038 11.200000 0.177875
10.438827 11.000000 0.189451
10.438827 11.050000 0.186579
10.438827 11.100000 0.183705
10.438827 11.150000 0.180369
10.438827 11.200000 0.177033
10.438827 11.250000 0.173695
10.379615 11.000000 0.188693
10.379615 11.050000 0.185793
10.379615 11.100000 0.182892
10.379615 11.150000 0.179540
10.379615 11.200000 0.176189
10.379615 11.250000 0.172837
10.321314 11.000000 0.187786
10.321314 11.050000 0.184869
10.321314 11.100000 0.181952
10.321314 11.150000 0.178596
10.321314 11.200000 0.175242
10.321314 11.250000 0.171887
10.263013 11.000000 0.186881
10.263013 11.050000 0.183945
10.263013 11.100000 0.181012
10.263013 11.150000 0.177654
10.263013 11.200000 0.174296
10.263013 11.250000 0.170939
10.263013 11.300000 0.167580
10.204711 11.000000 0.185973
10.204711 11.050000 0.183023
10.204711 11.100000 0.180072
10.204711 11.150000 0.176710
10.204711 11.200000 0.173350
10.204711 11.250000 0.169988
10.204711 11.300000 0.166626
10.147306 11.000000 0.188793
10.147306 11.050000 0.185839
10.147306 11.100000 0.182888
10.147306 11.150000 0.179519
10.147306 11.200000 0.176152
10.147306 11.250000 0.172784
10.147306 11.300000 0.169415
10.089900 11.000000 0.191610
10.089900 11.050000 0.188657
10.089900 11.100000 0.185705
10.089900 11.150000 0.182330
10.089900 11.200000 0.178955
10.089900 11.250000 0.175580
10.089900 11.300000 0.172204
10.089900 11.350000 0.168434
10.032495 11.000000 0.194429
10.032495 11.050000 0.191475
10.032495 11.100000 0.188522
10.032495 11.150000 0.185140
10.032495 11.200000 0.181758
10.032495 11.250000 0.178376
10.032495 11.300000 0.174995
10.032495 11.350000 0.171204
9.975972 11.000000 0.198626
9.975972 11.050000 0.195655
9.975972 11.100000 0.192684
9.975972 11.150000 0.189273
9.975972 11.200000 0.185864
9.975972 11.250000 0.182452
9.975972 11.300000 0.179041
9.975972 11.350000 0.175205
9.919449 11.000000 0.202820
9.919449 11.050000 0.199834
9.919449 11.100000 0.196847
9.919449 11.150000 0.193408
9.919449 11.200000 0.189968
9.919449 11.250000 0.186529
9.919449 11.300000 0.183089
9.919449 11.350000 0.179203
9.919449 11.400000 0.175318
9.862926 11.000000 0.207015
9.862926 11.050000 0.204013
9.862926 11.100000 0.201011
9.862926 11.150000 0.197542
9.862926 11.200000 0.194072
9.862926 11.250000 0.190606
9.862926 11.300000 0.187137
9.862926 11.350000 0.183203
9.862926 11.400000 0.179270
9.807271 11.000000 0.206562
9.807271 11.050000 0.203483
9.807271 11.100000 0.200405
9.807271 11.150000 0.196864
9.807271 11.200000 0.193322
9.807271 11.250000 0.189781
9.807271 11.300000 0.186240
9.807271 11.350000 0.182241
9.807271 11.400000 0.178242
9.751617 11.000000 0.206110
9.751617 11.050000 0.202955
9.751617 11.100000 0.199799
9.751617 11.150000 0.196185
9.751617 11.200000 0.192571
9.751617 11.250000 0.188957
9.751617 11.300000 0.185343
9.751617 11.350000 0.181279
9.751617 11.400000 0.177215
9.751617 11.450000 0.173150
9.695962 11.000000 0.205656
9.695962 11.050000 0.202425
9.695962 11.100000 0.199194
9.695962 11.150000 0.195507
9.695962 11.200000 0.191820
9.695962 11.250000 0.188133
9.695962 11.300000 0.184446
9.695962 11.350000 0.180316
9.695962 11.400000 0.176187
9.695962 11.450000 0.172058
9.641164 11.000000 0.204884
9.641164 11.050000 0.201595
9.641164 11.100000 0.198306
9.641164 11.150000 0.194571
9.641164 11.200000 0.190833
9.641164 11.250000 0.187095
9.641164 11.300000 0.183359
9.641164 11.350000 0.179189
9.641164 11.400000 0.175021
9.641164 11.450000 0.170853
9.586365 11.000000 0.204114
9.586365 11.050000 0.200767
9.586365 11.100000 0.197420
9.586365 11.150000 0.193632
9.586365 11.200000 0.189844
9.586365 11.250000 0.186057
9.586365 11.300000 0.182269
9.586365 11.350000 0.178062
9.586365 11.400000 0.173855
9.586365 11.450000 0.169649
9.531566 11.000000 0.203343
9.531566 11.050000 0.199938
9.531566 11.100000 0.196532
9.531566 11.150000 0.192694
9.531566 11.200000 0.188857
9.531566 11.250000 0.185019
9.531566 11.300000 0.181181
9.531566 11.350000 0.176934
9.531566 11.400000 0.172690
9.531566 11.450000 0.168444
9.531566 11.500000 0.164197
9.477609 11.000000 0.202372
9.477609 11.050000 0.198924
9.477609 11.100000 0.195476
9.477609 11.150000 0.191606
9.477609 11.200000 0.187736
9.477609 11.250000 0.183864
9.477609 11.300000 0.179994
9.477609 11.350000 0.175729
9.477609 11.400000 0.171464
9.477609 11.450000 0.167200
9.477609 11.500000 0.162935
9.423652 11.000000 0.201400
9.423652 11.050000 0.197910
9.423652 11.100000 0.194419
9.423652 11.150000 0.190517
9.423652 11.200000 0.186613
9.423652 11.250000 0.182709
9.423652 11.300000 0.178807
9.423652 11.350000 0.174523
9.423652 11.400000 0.170240
9.423652 11.450000 0.165956
9.423652 11.500000 0.161671
9.369696 11.000000 0.200430
9.369696 11.050000 0.196897
9.369696 11.100000 0.193363
9.369696 11.150000 0.189427
9.369696 11.200000 0.185492
9.369696 11.250000 0.181555
9.369696 11.300000 0.177619
9.369696 11.350000 0.173317
