#The average black hole Eddington ratio (eta) as a function of redshift and black hole mass from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbh) log10(eta)
0.100000 5.000000 -2.224459
0.100000 5.100000 -2.235608
0.100000 5.200000 -2.248308
0.100000 5.300000 -2.262834
0.100000 5.400000 -2.279631
0.100000 5.500000 -2.299202
0.100000 5.600000 -2.321864
0.100000 5.700000 -2.347470
0.100000 5.800000 -2.375359
0.100000 5.900000 -2.404644
0.100000 6.000000 -2.434711
0.100000 6.100000 -2.465537
0.100000 6.200000 -2.497592
0.100000 6.300000 -2.531403
0.100000 6.400000 -2.567141
0.100000 6.500000 -2.604568
0.100000 6.600000 -2.643340
0.100000 6.700000 -2.683348
0.100000 6.800000 -2.724794
0.100000 6.900000 -2.767964
0.100000 7.000000 -2.812989
0.100000 7.100000 -2.859843
0.100000 7.200000 -2.908532
0.100000 7.300000 -2.959245
0.100000 7.400000 -3.012336
0.100000 7.500000 -3.068208
0.100000 7.600000 -3.127244
0.100000 7.700000 -3.189785
0.100000 7.800000 -3.256070
0.100000 7.900000 -3.326097
0.100000 8.000000 -3.399416
0.100000 8.100000 -3.474923
0.100000 8.200000 -3.550665
0.100000 8.300000 -3.623698
0.100000 8.400000 -3.690107
0.100000 8.500000 -3.745344
0.100000 8.600000 -3.785070
0.100000 8.700000 -3.806354
0.100000 8.800000 -3.808656
0.100000 8.900000 -3.793954
0.100000 9.000000 -3.765914
0.100000 9.100000 -3.728705
1.000000 5.000000 -1.520867
1.000000 5.100000 -1.524313
1.000000 5.200000 -1.526058
1.000000 5.300000 -1.525275
1.000000 5.400000 -1.521820
1.000000 5.500000 -1.516657
1.000000 5.600000 -1.511653
1.000000 5.700000 -1.508688
1.000000 5.800000 -1.508658
1.000000 5.900000 -1.511081
1.000000 6.000000 -1.514582
1.000000 6.100000 -1.517949
1.000000 6.200000 -1.521009
1.000000 6.300000 -1.524720
1.000000 6.400000 -1.530466
1.000000 6.500000 -1.539161
1.000000 6.600000 -1.550806
1.000000 6.700000 -1.564724
1.000000 6.800000 -1.580252
1.000000 6.900000 -1.597301
1.000000 7.000000 -1.616406
1.000000 7.100000 -1.638325
1.000000 7.200000 -1.663599
