#Best-fitting average specific star formation rates from Trinity.
#z: 3.0
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] log10(SSFR)[yr^-1]
9.200000 -8.575050
9.300000 -8.549020
9.400000 -8.530660
9.500000 -8.516500
9.600000 -8.488850
9.700000 -8.470690
9.800000 -8.456580
9.900000 -8.447320
10.000000 -8.434150
10.100000 -8.425290
10.200000 -8.423160
10.300000 -8.417610
10.400000 -8.430840
10.500000 -8.435580
10.600000 -8.448920
10.700000 -8.464690
10.800000 -8.490910
10.900000 -8.516640
11.000000 -8.549800
11.100000 -8.586910
11.200000 -8.627110
11.300000 -8.667820
11.400000 -8.740470
11.500000 -8.781250
