#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
15.000000 8.000000 -17.297217
15.000000 8.050000 -17.297217
15.000000 8.100000 -17.297217
15.000000 8.150000 -17.297217
15.000000 8.200000 -17.297217
15.000000 8.250000 -17.297217
15.000000 8.300000 -17.297217
15.000000 8.350000 -17.297217
15.000000 8.400000 -17.297217
15.000000 8.450000 -17.297217
15.000000 8.500000 -17.297217
15.000000 8.550000 -17.297217
15.000000 8.600000 -17.297217
15.000000 8.650000 -17.297217
15.000000 8.700000 -17.297217
15.000000 8.750000 -17.297217
15.000000 8.800000 -17.297217
15.000000 8.850000 -17.297217
15.000000 8.900000 -17.297217
15.000000 8.950000 -17.297217
15.000000 9.000000 -17.297217
15.000000 9.050000 -17.297217
15.000000 9.100000 -17.297217
15.000000 9.150000 -17.297217
15.000000 9.200000 -17.297217
15.000000 9.250000 -17.297217
15.000000 9.300000 -17.297217
15.000000 9.350000 -17.297217
15.000000 9.400000 -17.297217
15.000000 9.450000 -17.297217
15.000000 9.500000 -17.297217
15.000000 9.550000 -17.297217
15.000000 9.600000 -17.297217
15.000000 9.650000 -17.297217
15.000000 9.700000 -17.297217
15.000000 9.750000 -17.297217
15.000000 9.800000 -17.297217
15.000000 9.850000 -17.297217
15.000000 9.900000 -17.297217
15.000000 9.950000 -17.297217
15.000000 10.000000 -17.297217
14.918027 8.000000 -17.873614
14.918027 8.050000 -17.873614
14.918027 8.100000 -17.873614
14.918027 8.150000 -17.540473
14.918027 8.200000 -17.207333
14.918027 8.250000 -16.874192
14.918027 8.300000 -16.541052
14.918027 8.350000 -16.458548
14.918027 8.400000 -16.376044
14.918027 8.450000 -16.293540
14.918027 8.500000 -16.211036
14.918027 8.550000 -16.134466
14.918027 8.600000 -16.057895
14.918027 8.650000 -15.981324
14.918027 8.700000 -15.904754
14.918027 8.750000 -15.828836
14.918027 8.800000 -15.752919
14.918027 8.850000 -15.677001
14.918027 8.900000 -15.601083
14.918027 8.950000 -15.525247
14.918027 9.000000 -15.449410
14.918027 9.050000 -15.373573
14.918027 9.100000 -15.297736
14.918027 9.150000 -15.221913
14.918027 9.200000 -15.146089
14.918027 9.250000 -15.070265
14.918027 9.300000 -14.994442
14.918027 9.350000 -14.918625
14.918027 9.400000 -14.842809
14.918027 9.450000 -14.766993
14.918027 9.500000 -14.691176
14.918027 9.550000 -14.615372
14.918027 9.600000 -14.539567
14.918027 9.650000 -14.463762
14.918027 9.700000 -14.387957
14.918027 9.750000 -14.312174
14.918027 9.800000 -14.236391
14.918027 9.850000 -14.160607
14.918027 9.900000 -14.084824
14.918027 9.950000 -14.009080
14.918027 10.000000 -13.933337
14.918027 10.050000 -13.857593
14.836054 8.000000 -18.450010
14.836054 8.050000 -18.450010
14.836054 8.100000 -18.450010
14.836054 8.150000 -17.783729
14.836054 8.200000 -17.117448
14.836054 8.250000 -16.451167
14.836054 8.300000 -15.784886
14.836054 8.350000 -15.619879
14.836054 8.400000 -15.454871
14.836054 8.450000 -15.289863
14.836054 8.500000 -15.124856
14.836054 8.550000 -14.971714
14.836054 8.600000 -14.818573
14.836054 8.650000 -14.665432
14.836054 8.700000 -14.512290
14.836054 8.750000 -14.360455
14.836054 8.800000 -14.208620
14.836054 8.850000 -14.056784
14.836054 8.900000 -13.904949
14.836054 8.950000 -13.753276
14.836054 9.000000 -13.601602
14.836054 9.050000 -13.449929
14.836054 9.100000 -13.298256
14.836054 9.150000 -13.146608
14.836054 9.200000 -12.994961
14.836054 9.250000 -12.843314
14.836054 9.300000 -12.691666
14.836054 9.350000 -12.540034
14.836054 9.400000 -12.388401
14.836054 9.450000 -12.236768
14.836054 9.500000 -12.085136
14.836054 9.550000 -11.933526
14.836054 9.600000 -11.781917
14.836054 9.650000 -11.630307
14.836054 9.700000 -11.478698
14.836054 9.750000 -11.327131
14.836054 9.800000 -11.175564
14.836054 9.850000 -11.023997
14.836054 9.900000 -10.872431
14.836054 9.950000 -10.720943
14.836054 10.000000 -10.569456
14.836054 10.050000 -10.417969
14.754081 8.000000 -19.026407
14.754081 8.050000 -19.026407
14.754081 8.100000 -19.026407
14.754081 8.150000 -18.026985
14.754081 8.200000 -17.027564
14.754081 8.250000 -16.028142
14.754081 8.300000 -15.028721
14.754081 8.350000 -14.781209
14.754081 8.400000 -14.533698
14.754081 8.450000 -14.286186
14.754081 8.500000 -14.038675
14.754081 8.550000 -13.808963
14.754081 8.600000 -13.579251
14.754081 8.650000 -13.349539
14.754081 8.700000 -13.119827
14.754081 8.750000 -12.892074
14.754081 8.800000 -12.664321
14.754081 8.850000 -12.436568
14.754081 8.900000 -12.208815
14.754081 8.950000 -11.981305
14.754081 9.000000 -11.753795
14.754081 9.050000 -11.526285
14.754081 9.100000 -11.298775
14.754081 9.150000 -11.071304
14.754081 9.200000 -10.843833
14.754081 9.250000 -10.616362
14.754081 9.300000 -10.388891
14.754081 9.350000 -10.161442
14.754081 9.400000 -9.933993
14.754081 9.450000 -9.706544
14.754081 9.500000 -9.479095
14.754081 9.550000 -9.251680
14.754081 9.600000 -9.024266
14.754081 9.650000 -8.796852
14.754081 9.700000 -8.569438
14.754081 9.750000 -8.342088
14.754081 9.800000 -8.114737
14.754081 9.850000 -7.887387
14.754081 9.900000 -7.660037
14.754081 9.950000 -7.432806
14.754081 10.000000 -7.205575
14.754081 10.050000 -6.978345
14.754081 10.100000 -6.751114
14.673367 8.000000 -18.432238
14.673367 8.050000 -18.134470
14.673367 8.100000 -17.836703
14.673367 8.150000 -17.086690
14.673367 8.200000 -16.336677
14.673367 8.250000 -15.586665
14.673367 8.300000 -14.836652
14.673367 8.350000 -14.597064
14.673367 8.400000 -14.357476
14.673367 8.450000 -14.117888
14.673367 8.500000 -13.878300
14.673367 8.550000 -13.650796
14.673367 8.600000 -13.423292
14.673367 8.650000 -13.195788
14.673367 8.700000 -12.968284
14.673367 8.750000 -12.742097
14.673367 8.800000 -12.515910
14.673367 8.850000 -12.289722
14.673367 8.900000 -12.063535
14.673367 8.950000 -11.837520
14.673367 9.000000 -11.611504
14.673367 9.050000 -11.385489
14.673367 9.100000 -11.159474
14.673367 9.150000 -10.933498
14.673367 9.200000 -10.707523
14.673367 9.250000 -10.481547
14.673367 9.300000 -10.255571
14.673367 9.350000 -10.029631
14.673367 9.400000 -9.803690
14.673367 9.450000 -9.577749
14.673367 9.500000 -9.351809
14.673367 9.550000 -9.125923
14.673367 9.600000 -8.900037
14.673367 9.650000 -8.674151
14.673367 9.700000 -8.448264
14.673367 9.750000 -8.222470
14.673367 9.800000 -7.996675
14.673367 9.850000 -7.770880
14.673367 9.900000 -7.545085
14.673367 9.950000 -7.319448
14.673367 10.000000 -7.093812
14.673367 10.050000 -6.868175
14.673367 10.100000 -6.642539
14.592654 8.000000 -17.838069
14.592654 8.050000 -17.242534
14.592654 8.100000 -16.646999
14.592654 8.150000 -16.146395
14.592654 8.200000 -15.645791
14.592654 8.250000 -15.145187
14.592654 8.300000 -14.644583
14.592654 8.350000 -14.412918
14.592654 8.400000 -14.181254
14.592654 8.450000 -13.949590
14.592654 8.500000 -13.717925
14.592654 8.550000 -13.492629
14.592654 8.600000 -13.267333
14.592654 8.650000 -13.042038
14.592654 8.700000 -12.816742
14.592654 8.750000 -12.592120
14.592654 8.800000 -12.367498
14.592654 8.850000 -12.142876
14.592654 8.900000 -11.918255
14.592654 8.950000 -11.693734
14.592654 9.000000 -11.469214
14.592654 9.050000 -11.244694
14.592654 9.100000 -11.020174
14.592654 9.150000 -10.795693
14.592654 9.200000 -10.571212
14.592654 9.250000 -10.346732
14.592654 9.300000 -10.122251
14.592654 9.350000 -9.897819
14.592654 9.400000 -9.673387
14.592654 9.450000 -9.448955
14.592654 9.500000 -9.224523
14.592654 9.550000 -9.000165
14.592654 9.600000 -8.775807
14.592654 9.650000 -8.551449
14.592654 9.700000 -8.327091
14.592654 9.750000 -8.102851
14.592654 9.800000 -7.878612
14.592654 9.850000 -7.654372
14.592654 9.900000 -7.430132
14.592654 9.950000 -7.206090
14.592654 10.000000 -6.982048
14.592654 10.050000 -6.758006
14.592654 10.100000 -6.533964
14.592654 10.150000 -6.310259
14.511940 8.000000 -17.243900
14.511940 8.050000 -16.350597
14.511940 8.100000 -15.457295
14.511940 8.150000 -15.206100
14.511940 8.200000 -14.954904
14.511940 8.250000 -14.703709
14.511940 8.300000 -14.452514
14.511940 8.350000 -14.228773
14.511940 8.400000 -14.005032
14.511940 8.450000 -13.781291
14.511940 8.500000 -13.557550
14.511940 8.550000 -13.334462
14.511940 8.600000 -13.111375
14.511940 8.650000 -12.888287
14.511940 8.700000 -12.665199
14.511940 8.750000 -12.442143
14.511940 8.800000 -12.219087
14.511940 8.850000 -11.996030
14.511940 8.900000 -11.772974
14.511940 8.950000 -11.549949
14.511940 9.000000 -11.326924
14.511940 9.050000 -11.103898
14.511940 9.100000 -10.880873
14.511940 9.150000 -10.657888
14.511940 9.200000 -10.434902
14.511940 9.250000 -10.211917
14.511940 9.300000 -9.988932
14.511940 9.350000 -9.766008
14.511940 9.400000 -9.543084
14.511940 9.450000 -9.320161
14.511940 9.500000 -9.097237
14.511940 9.550000 -8.874407
14.511940 9.600000 -8.651578
14.511940 9.650000 -8.428748
14.511940 9.700000 -8.205918
14.511940 9.750000 -7.983233
14.511940 9.800000 -7.760549
14.511940 9.850000 -7.537864
14.511940 9.900000 -7.315180
14.511940 9.950000 -7.092732
14.511940 10.000000 -6.870284
14.511940 10.050000 -6.647836
14.511940 10.100000 -6.425389
14.511940 10.150000 -6.203336
14.432467 8.000000 -17.168263
14.432467 8.050000 -16.236456
14.432467 8.100000 -15.304650
14.432467 8.150000 -15.062953
14.432467 8.200000 -14.821256
14.432467 8.250000 -14.579559
14.432467 8.300000 -14.337863
14.432467 8.350000 -14.115823
14.432467 8.400000 -13.893783
14.432467 8.450000 -13.671743
14.432467 8.500000 -13.449704
14.432467 8.550000 -13.228117
14.432467 8.600000 -13.006531
14.432467 8.650000 -12.784945
14.432467 8.700000 -12.563358
14.432467 8.750000 -12.341810
14.432467 8.800000 -12.120261
14.432467 8.850000 -11.898713
14.432467 8.900000 -11.677164
14.432467 8.950000 -11.455652
14.432467 9.000000 -11.234139
14.432467 9.050000 -11.012627
14.432467 9.100000 -10.791115
14.432467 9.150000 -10.569649
14.432467 9.200000 -10.348183
14.432467 9.250000 -10.126717
