#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "instant mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
15.000000 8.000000 -43.124070
15.000000 8.050000 -43.124070
15.000000 8.100000 -43.124070
15.000000 8.150000 -43.124070
15.000000 8.200000 -43.124070
15.000000 8.250000 -43.124070
15.000000 8.300000 -43.124070
15.000000 8.350000 -43.124070
15.000000 8.400000 -43.124070
15.000000 8.450000 -43.124070
15.000000 8.500000 -43.124070
15.000000 8.550000 -43.124070
15.000000 8.600000 -43.124070
15.000000 8.650000 -43.124070
15.000000 8.700000 -43.124070
15.000000 8.750000 -43.124070
15.000000 8.800000 -43.124070
15.000000 8.850000 -43.124070
15.000000 8.900000 -43.124070
15.000000 8.950000 -43.124070
15.000000 9.000000 -43.124070
15.000000 9.050000 -43.124070
15.000000 9.100000 -43.124070
15.000000 9.150000 -43.124070
15.000000 9.200000 -43.124070
15.000000 9.250000 -43.124070
15.000000 9.300000 -43.124070
15.000000 9.350000 -43.124070
15.000000 9.400000 -43.124070
15.000000 9.450000 -43.124070
15.000000 9.500000 -43.124070
15.000000 9.550000 -43.124070
15.000000 9.600000 -43.124070
15.000000 9.650000 -43.124070
15.000000 9.700000 -43.124070
15.000000 9.750000 -43.124070
15.000000 9.800000 -43.124070
15.000000 9.850000 -43.124070
15.000000 9.900000 -43.124070
15.000000 9.950000 -43.124070
15.000000 10.000000 -43.124070
14.947262 8.000000 -42.515383
14.947262 8.050000 -42.515457
14.947262 8.100000 -42.515560
14.947262 8.150000 -42.515663
14.947262 8.200000 -42.515805
14.947262 8.250000 -42.515946
14.947262 8.300000 -42.516139
14.947262 8.350000 -42.516331
14.947262 8.400000 -42.516592
14.947262 8.450000 -42.516852
14.947262 8.500000 -42.517203
14.947262 8.550000 -42.517554
14.947262 8.600000 -42.518025
14.947262 8.650000 -42.518496
14.947262 8.700000 -42.519127
14.947262 8.750000 -42.519758
14.947262 8.800000 -42.520603
14.947262 8.850000 -42.521448
