#Best-fitting median black hole mass--galaxy bulge mass relation from z=0-10 from Trinity,
#with the "same mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mbulge)[Msun] log10(Mbh_median)[Msun] log10(16-th percentile of Mbh_median)[Msun] log10(84-th percentile of Mbh_median)[Msun]
0.000000 8.500000 5.769258 5.615374 5.874504
0.000000 8.771816 6.068797 5.925020 6.171472
0.000000 9.043633 6.368335 6.234399 6.469096
0.000000 9.315449 6.667874 6.543114 6.767400
0.000000 9.587266 6.967412 6.850961 7.066214
0.000000 9.859082 7.266951 7.158511 7.365192
0.000000 10.130899 7.566489 7.465476 7.665135
0.000000 10.402715 7.866028 7.771165 7.965923
0.000000 10.674532 8.165566 8.076370 8.267617
0.000000 10.946348 8.465105 8.380520 8.570580
0.000000 11.218165 8.764643 8.683761 8.874413
0.000000 11.489981 9.064182 8.986520 9.178969
1.000000 8.500000 6.109371 5.978658 6.199117
1.000000 8.773174 6.404612 6.281976 6.493658
1.000000 9.046348 6.699854 6.584396 6.788337
1.000000 9.319521 6.995096 6.886617 7.083644
1.000000 9.592695 7.290338 7.188061 7.379343
1.000000 9.865869 7.585580 7.488588 7.675890
1.000000 10.139043 7.880822 7.788916 7.973043
1.000000 10.412216 8.176063 8.088151 8.270966
1.000000 10.685390 8.471305 8.386540 8.569513
1.000000 10.958564 8.766547 8.684697 8.868532
1.000000 11.231738 9.061789 8.981935 9.168430
2.000000 8.500000 6.018311 5.891777 6.102395
2.000000 8.790530 6.350164 6.231261 6.433350
2.000000 9.081060 6.682017 6.570063 6.764430
2.000000 9.371590 7.013869 6.908593 7.096584
2.000000 9.662120 7.345722 7.246533 7.429600
2.000000 9.952650 7.677575 7.583371 7.763180
2.000000 10.243180 8.009427 7.919627 8.097652
2.000000 10.533710 8.341280 8.254989 8.433017
2.000000 10.824240 8.673133 8.589571 8.769212
2.000000 11.114770 9.004986 8.923956 9.106084
3.000000 8.500000 5.819459 5.680341 5.910132
3.000000 8.826732 6.219491 6.091755 6.306571
3.000000 9.153464 6.619523 6.502107 6.704414
3.000000 9.480196 7.019555 6.910985 7.103307
3.000000 9.806928 7.419587 7.318677 7.503045
3.000000 10.133660 7.819619 7.724756 7.904277
3.000000 10.460392 8.219651 8.129878 8.307710
3.000000 10.787124 8.619683 8.533377 8.713142
3.000000 11.113856 9.019715 8.934380 9.119775
4.000000 8.500000 5.577490 5.408660 5.689264
4.000000 8.873550 6.068604 5.919179 6.170270
4.000000 9.247101 6.559718 6.427580 6.653590
4.000000 9.620651 7.050832 6.934019 7.139557
4.000000 9.994202 7.541946 7.436806 7.627886
4.000000 10.367752 8.033060 7.936317 8.120043
4.000000 10.741303 8.524174 8.431283 8.616908
4.000000 11.114853 9.015288 8.922057 9.118169
5.000000 8.500000 5.313962 5.107739 5.457635
5.000000 8.924037 5.911528 5.734861 6.036410
5.000000 9.348075 6.509093 6.359684 6.616848
5.000000 9.772112 7.106659 6.979369 7.203393
5.000000 10.196150 7.704224 7.594180 7.794859
5.000000 10.620187 8.301789 8.199149 8.394860
5.000000 11.044225 8.899355 8.795600 9.005898
6.000000 8.500000 5.038115 4.787395 5.219664
6.000000 8.941440 5.702967 5.493372 5.855060
6.000000 9.382879 6.367818 6.195291 6.494313
6.000000 9.824319 7.032670 6.889998 7.140898
6.000000 10.265759 7.697522 7.576257 7.794623
6.000000 10.707199 8.362373 8.248537 8.464244
7.000000 8.500000 4.754569 4.456972 4.976748
7.000000 8.922290 5.432110 5.183313 5.617577
7.000000 9.344581 6.109651 5.904217 6.261590
7.000000 9.766871 6.787193 6.619170 6.912107
7.000000 10.189161 7.464734 7.324515 7.573032
8.000000 8.500000 4.465889 4.119717 4.731781
8.000000 8.858771 5.077154 4.779693 5.303767
8.000000 9.217542 5.688418 5.436062 5.878185
8.000000 9.576313 6.299683 6.088774 6.457394
9.000000 8.500000 4.173616 3.778324 4.483063
9.000000 8.875000 4.850039 4.512964 5.111223
9.000000 9.250000 5.526462 5.244022 5.740711
10.000000 8.500000 3.878731 3.433185 4.233355
10.000000 9.000000 4.830887 4.472691 5.110011
