#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "same mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
11.359933 11.000000 0.953596
11.295954 11.000000 0.947008
11.232958 11.000000 0.934998
11.169961 11.000000 0.922989
11.169961 11.050000 0.919505
11.106965 11.000000 0.910980
11.106965 11.050000 0.907378
11.044937 11.000000 0.900610
11.044937 11.050000 0.896947
10.982909 11.000000 0.890241
10.982909 11.050000 0.886515
10.982909 11.100000 0.882789
10.920881 11.000000 0.879871
10.920881 11.050000 0.876083
10.920881 11.100000 0.872294
10.859807 11.000000 0.870559
10.859807 11.050000 0.866749
10.859807 11.100000 0.862938
10.798732 11.000000 0.861247
10.798732 11.050000 0.857415
10.798732 11.100000 0.853582
10.798732 11.150000 0.849699
10.737657 11.000000 0.851936
10.737657 11.050000 0.848081
10.737657 11.100000 0.844226
10.737657 11.150000 0.840331
10.677521 11.000000 0.843440
10.677521 11.050000 0.839590
10.677521 11.100000 0.835740
10.677521 11.150000 0.831861
10.617386 11.000000 0.834944
10.617386 11.050000 0.831099
10.617386 11.100000 0.827253
10.617386 11.150000 0.823391
10.617386 11.200000 0.819530
10.557250 11.000000 0.826448
10.557250 11.050000 0.822607
10.557250 11.100000 0.818766
10.557250 11.150000 0.814922
10.557250 11.200000 0.811077
10.498038 11.000000 0.818565
10.498038 11.050000 0.814748
10.498038 11.100000 0.810931
10.498038 11.150000 0.807122
10.498038 11.200000 0.803314
10.438827 11.000000 0.810681
10.438827 11.050000 0.806888
10.438827 11.100000 0.803095
10.438827 11.150000 0.799323
10.438827 11.200000 0.795551
10.438827 11.250000 0.791779
10.379615 11.000000 0.802797
10.379615 11.050000 0.799028
10.379615 11.100000 0.795259
10.379615 11.150000 0.791524
10.379615 11.200000 0.787788
10.379615 11.250000 0.784053
10.321314 11.000000 0.795287
10.321314 11.050000 0.791558
10.321314 11.100000 0.787830
10.321314 11.150000 0.784147
10.321314 11.200000 0.780465
10.321314 11.250000 0.776783
10.263013 11.000000 0.787776
10.263013 11.050000 0.784088
10.263013 11.100000 0.780400
10.263013 11.150000 0.776771
10.263013 11.200000 0.773142
10.263013 11.250000 0.769512
10.263013 11.300000 0.765883
10.204711 11.000000 0.780265
10.204711 11.050000 0.776618
10.204711 11.100000 0.772971
10.204711 11.150000 0.769395
10.204711 11.200000 0.765818
10.204711 11.250000 0.762242
10.204711 11.300000 0.758665
10.147306 11.000000 0.773388
10.147306 11.050000 0.769755
10.147306 11.100000 0.766121
10.147306 11.150000 0.762544
10.147306 11.200000 0.758966
10.147306 11.250000 0.755388
10.147306 11.300000 0.751811
10.089900 11.000000 0.766511
10.089900 11.050000 0.762892
10.089900 11.100000 0.759272
10.089900 11.150000 0.755693
10.089900 11.200000 0.752114
10.089900 11.250000 0.748535
10.089900 11.300000 0.744957
10.089900 11.350000 0.741597
10.032495 11.000000 0.759634
10.032495 11.050000 0.756028
10.032495 11.100000 0.752422
10.032495 11.150000 0.748842
10.032495 11.200000 0.745262
10.032495 11.250000 0.741682
10.032495 11.300000 0.738102
10.032495 11.350000 0.734718
9.975972 11.000000 0.750918
9.975972 11.050000 0.747275
9.975972 11.100000 0.743632
9.975972 11.150000 0.739993
9.975972 11.200000 0.736354
