#The best-fitting model to the number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta) from the Universe Machine.
#z: 2.6-4.3
#Ref: Zhang et al. (2021)
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -4.900000 2.887845
12.500000 -4.700000 2.727151
12.500000 -4.500000 2.566451
12.500000 -4.300000 2.405742
12.500000 -4.100000 2.245018
12.500000 -3.900000 2.084270
12.500000 -3.700000 1.923485
12.500000 -3.500000 1.762641
12.500000 -3.300000 1.601704
12.500000 -3.100000 1.440617
12.500000 -2.900000 1.279295
12.500000 -2.700000 1.117600
12.500000 -2.500000 0.955314
12.500000 -2.300000 0.792090
12.500000 -2.100000 0.627380
12.500000 -1.900000 0.460316
12.500000 -1.700000 0.289520
12.500000 -1.500000 0.112809
12.500000 -1.300000 -0.073277
12.500000 -1.100000 -0.274219
12.500000 -0.900000 -0.498709
12.500000 -0.700000 -0.760518
12.500000 -0.500000 -1.081475
12.500000 -0.300000 -1.496175
12.500000 -0.100000 -2.059447
13.500000 -4.900000 3.036000
13.500000 -4.700000 2.875306
13.500000 -4.500000 2.714606
13.500000 -4.300000 2.553897
13.500000 -4.100000 2.393173
13.500000 -3.900000 2.232425
13.500000 -3.700000 2.071641
13.500000 -3.500000 1.910796
13.500000 -3.300000 1.749859
13.500000 -3.100000 1.588772
13.500000 -2.900000 1.427451
13.500000 -2.700000 1.265756
13.500000 -2.500000 1.103469
13.500000 -2.300000 0.940245
13.500000 -2.100000 0.775535
13.500000 -1.900000 0.608471
13.500000 -1.700000 0.437675
13.500000 -1.500000 0.260964
13.500000 -1.300000 0.074878
13.500000 -1.100000 -0.126064
13.500000 -0.900000 -0.350554
13.500000 -0.700000 -0.612363
13.500000 -0.500000 -0.933320
13.500000 -0.300000 -1.348020
13.500000 -0.100000 -1.911292
