#The best-fitting model to the median galaxy UV magnitude (at 1500 Angstrom) as a function of
#halo peak mass function, average star formation rate, from the Universe Machine.
#z: 9
#Ref: Zhang et al. (2021)
#log10(Mpeak) log10(SFR) M_UV
10.100000 -1.568013 -15.628333
10.100000 -1.044575 -16.545358
10.100000 -0.568359 -17.379651
10.100000 -0.064319 -18.262691
10.100000 0.488305 -19.230846
10.300000 -1.224017 -16.341628
10.300000 -0.741928 -17.161241
10.300000 -0.293889 -17.922965
10.300000 0.170807 -18.713008
10.300000 0.699218 -19.611375
10.500000 -0.882833 -17.053306
10.500000 -0.405966 -17.833480
10.500000 0.039034 -18.561518
10.500000 0.495736 -19.308701
10.500000 1.015556 -20.159149
10.700000 -0.446062 -17.904794
10.700000 -0.044060 -18.531781
10.700000 0.353683 -19.152125
10.700000 0.759685 -19.785348
10.700000 1.179770 -20.440538
10.900000 -0.024545 -18.695036
10.900000 0.342720 -19.235276
10.900000 0.731840 -19.807665
10.900000 1.100675 -20.350214
10.900000 1.499851 -20.937396
11.100000 0.185945 -19.144328
11.100000 0.591525 -19.699978
11.100000 0.968843 -20.216907
11.100000 1.360822 -20.753923
11.100000 1.777287 -21.324485
11.300000 0.605113 -19.836297
11.300000 1.002888 -20.336199
11.300000 1.325209 -20.741274
11.300000 1.647321 -21.146087
11.300000 2.148645 -21.776125
11.500000 1.147122 -20.587473
11.500000 1.427943 -20.905134
11.500000 1.622752 -21.125499
11.500000 1.927897 -21.470675
11.500000 2.300134 -21.891744
11.700000 nan nan
11.700000 nan nan
11.700000 1.346963 -20.869687
11.700000 nan nan
11.700000 nan nan
11.900000 nan nan
11.900000 nan nan
11.900000 0.525276 -20.244249
11.900000 nan nan
11.900000 nan nan
