#The best-fitting model to the Gaussian scatter in the galaxy UV magnitude (at 1500 Angstrom) as a function of
#redshift and halo peak mass function, average star formation rate, from the Universe Machine.
#Ref: Zhang et al. (2021)
#z log10(Mpeak) std_UV
9.781904 10.100000 0.727567
9.781904 10.300000 0.675462
9.781904 10.500000 0.623357
9.781904 10.700000 0.571253
9.781904 10.900000 0.519148
9.781904 11.100000 0.467043
9.781904 11.300000 0.414939
9.781904 11.500000 0.362834
9.050453 10.100000 0.723356
9.050453 10.300000 0.675785
9.050453 10.500000 0.628213
9.050453 10.700000 0.580642
9.050453 10.900000 0.533070
9.050453 11.100000 0.485499
9.050453 11.300000 0.437927
9.050453 11.500000 0.390355
8.122173 10.100000 0.718013
8.122173 10.300000 0.676195
8.122173 10.500000 0.634376
8.122173 10.700000 0.592557
8.122173 10.900000 0.550739
8.122173 11.100000 0.508920
8.122173 11.300000 0.467102
8.122173 11.500000 0.425283
8.122173 11.700000 0.383464
8.122173 11.900000 0.341646
