#Cosmic AGN radiative luminosity density as a function of redshift,
#including total density and densities in different SMBH mass bins
#(best-fitting model, 16th, and 84th percentile values).
#These data are used make Fig. 8 (Top Panel) from TRINITY PaperIII ( arXiv:2305.19315)
#z log10(rho_rad_tot [erg/s/Mpc^3]) log10(rho_rad_tot_16 [erg/s/Mpc^3]) log10(rho_rad_tot_84 [erg/s/Mpc^3]) log10(rho_rad(6<log10Mbh<7) [erg/s/Mpc^3]) log10(rho_rad(6<log10Mbh<7)_16 [erg/s/Mpc^3]) log10(rho_rad(6<log10Mbh<7)_84 [erg/s/Mpc^3]) log10(rho_rad(7<log10Mbh<8) [erg/s/Mpc^3]) log10(rho_rad(7<log10Mbh<8)_16 [erg/s/Mpc^3]) log10(rho_rad(7<log10Mbh<8)_84 [erg/s/Mpc^3]) log10(rho_rad(8<log10Mbh<9) [erg/s/Mpc^3]) log10(rho_rad(8<log10Mbh<9)_16 [erg/s/Mpc^3]) log10(rho_rad(8<log10Mbh<9)_84 [erg/s/Mpc^3]) log10(rho_rad(9<log10Mbh<10) [erg/s/Mpc^3]) log10(rho_rad(9<log10Mbh<10)_16 [erg/s/Mpc^3]) log10(rho_rad(9<log10Mbh<10)_84 [erg/s/Mpc^3])
15.000000 -inf -inf -inf -inf -inf -inf -inf -inf -inf -inf -inf -inf -inf
14.754081 34.198028 32.528022 31.920732 33.314296 33.189053 32.423979 34.086234 33.675491 32.797686 34.643174 33.672461 32.385789 34.974218
14.511940 34.690170 32.919023 32.351945 33.679344 33.480163 32.963301 34.403802 34.138341 33.532221 35.073579 34.184667 33.565916 35.470046
14.273522 34.893390 33.158188 32.610175 33.925903 33.718025 33.233586 34.636170 34.339749 33.877321 35.240102 34.395897 33.958722 35.673189
14.038768 35.043126 33.359813 32.860433 34.126930 33.940655 33.517412 34.818609 34.482840 34.112502 35.414360 34.528940 34.245496 35.809710
13.807623 35.172973 33.557134 33.062946 34.246387 34.167764 33.726394 34.975960 34.608182 34.324213 35.551194 34.668041 34.482377 35.979413
13.580029 35.309137 33.780013 33.249810 34.438630 34.406791 33.913242 35.159039 34.732210 34.516150 35.660863 34.811114 34.669793 36.105750
13.355935 35.462909 33.988191 33.528009 34.624871 34.643871 34.171263 35.318954 34.881249 34.726045 35.863803 34.963952 34.805418 36.225719
13.135285 35.621315 34.196289 33.796051 34.881339 34.846342 34.415899 35.531279 35.048105 34.927270 36.011822 35.108112 34.973083 36.343886
12.918026 35.732138 34.365008 33.964763 35.012636 34.991658 34.583322 35.646620 35.169292 35.076978 36.121330 35.202359 35.109068 36.397371
12.704106 35.815263 34.535572 34.139121 35.106491 35.112774 34.700885 35.761340 35.261810 35.161369 36.216592 35.261669 35.201888 36.407153
12.493474 35.910546 34.704552 34.251663 35.245551 35.234756 34.834633 35.885164 35.371015 35.219721 36.330347 35.334701 35.314671 36.434944
12.286079 36.021385 34.885891 34.422438 35.404841 35.364425 35.001430 36.022680 35.495818 35.302596 36.430283 35.426026 35.406653 36.524924
12.081873 36.148838 35.079792 34.605407 35.566082 35.504161 35.154959 36.179706 35.631310 35.462806 36.550365 35.534945 35.498433 36.582182
11.880805 36.289933 35.280629 34.803053 35.736121 35.656813 35.311349 36.343671 35.776132 35.592893 36.680262 35.658838 35.636468 36.676117
11.682827 36.443106 35.483466 35.003369 35.925388 35.825254 35.512735 36.522959 35.930146 35.743376 36.813193 35.793838 35.762974 36.791177
11.487892 36.607703 35.683345 35.230130 36.108354 36.007188 35.702913 36.703003 36.094900 35.931755 36.949377 35.939220 35.936763 36.907388
11.295954 36.768469 35.848423 35.409122 36.257700 36.185224 35.931612 36.851463 36.262532 36.179645 37.089621 36.085718 36.081922 37.027413
11.106965 36.879689 35.983430 35.547913 36.374300 36.311235 36.054395 36.975317 36.370706 36.248445 37.161263 36.178818 36.180461 37.079370
10.920881 36.996145 36.119056 35.708172 36.505349 36.443626 36.181689 37.078573 36.484971 36.362819 37.240310 36.275610 36.251162 37.133871
10.737657 37.119507 36.263526 35.870870 36.638794 36.580734 36.308365 37.187583 36.605218 36.454801 37.321066 36.380159 36.334033 37.187858
10.557250 37.250466 36.415347 36.034021 36.782534 36.723475 36.468234 37.308708 36.733382 36.575283 37.405914 36.491986 36.423686 37.269148
10.379615 37.388673 36.565221 36.198576 36.931091 36.874384 36.613659 37.435273 36.868690 36.695254 37.516693 36.611988 36.522250 37.357383
10.204711 37.535232 36.727814 36.373627 37.082735 37.030851 36.760610 37.572264 37.011984 36.829139 37.643972 36.741484 36.641013 37.464808
10.032495 37.683304 36.881589 36.545524 37.222588 37.187835 36.917090 37.702178 37.159672 36.966581 37.772454 36.875280 36.765510 37.578686
9.862926 37.815470 37.015639 36.680912 37.336886 37.328315 37.061100 37.813425 37.293292 37.087493 37.877744 36.997371 36.877940 37.673025
9.695962 37.927313 37.135173 36.808400 37.438644 37.445518 37.177722 37.903065 37.403909 37.187680 37.957364 37.098139 36.968472 37.743188
9.531566 38.042106 37.257498 36.929185 37.549718 37.565983 37.296913 38.001046 37.517119 37.291183 38.056802 37.201589 37.062907 37.816258
9.369696 38.160560 37.384176 37.062528 37.658202 37.689627 37.408950 38.093847 37.633632 37.399398 38.149448 37.308657 37.158512 37.897947
9.210314 38.283266 37.515269 37.196025 37.770036 37.815927 37.518789 38.191288 37.754707 37.512690 38.245645 37.421095 37.246859 37.981593
9.053381 38.409988 37.649879 37.333585 37.891136 37.946354 37.634437 38.302170 37.879963 37.629786 38.346219 37.538300 37.342075 38.059027
8.898861 38.536236 37.773960 37.470659 38.005077 38.076994 37.780092 38.424618 38.008232 37.757599 38.450714 37.658088 37.469895 38.154898
8.746716 38.643317 37.879114 37.579563 38.094813 38.186143 37.892207 38.512730 38.117741 37.867062 38.535858 37.762649 37.568694 38.227153
8.596909 38.741211 37.978173 37.684762 38.180455 38.285843 37.980397 38.589952 38.216702 37.962734 38.610051 37.856690 37.653964 38.296683
8.449405 38.840862 38.079860 37.795417 38.268888 38.386621 38.071117 38.669298 38.317389 38.054657 38.685822 37.953087 37.751093 38.371383
8.304168 38.942844 38.184558 37.902761 38.361315 38.489918 38.175700 38.753639 38.420080 38.162456 38.765379 38.050676 37.848734 38.448933
8.161163 39.047306 38.292242 38.009683 38.458476 38.594770 38.286067 38.843112 38.525402 38.274455 38.848437 38.152151 37.950505 38.528398
8.020356 39.152785 38.394177 38.118341 38.549338 38.701735 38.400532 38.936298 38.633848 38.390506 38.935137 38.256989 38.056288 38.601717
7.881713 39.245984 38.481282 38.209407 38.622957 38.796374 38.503642 39.019461 38.730636 38.492267 39.009704 38.351058 38.154246 38.668646
7.745201 39.327564 38.560685 38.290356 38.691539 38.877047 38.594087 39.085543 38.814975 38.581412 39.071025 38.435139 38.238987 38.738133
7.610788 39.410411 38.641789 38.374420 38.762750 38.959577 38.684962 39.148837 38.899965 38.672815 39.134544 38.518591 38.323616 38.805609
7.478440 39.495484 38.725240 38.458607 38.842951 39.043270 38.775199 39.219592 38.987774 38.764999 39.200504 38.605629 38.409850 38.874597
7.348127 39.582565 38.811146 38.546304 38.923142 39.129450 38.863420 39.297159 39.077321 38.861189 39.271397 38.693705 38.498328 38.948242
7.219816 39.669040 38.889800 38.635464 38.992199 39.216216 38.967926 39.376876 39.167971 38.957424 39.354812 38.783748 38.596981 39.016069
7.093478 39.738801 38.953863 38.703039 39.052821 39.284367 39.040270 39.439827 39.241732 39.038080 39.413781 38.858577 38.675830 39.072865
6.969082 39.806782 39.017012 38.769979 39.110627 39.349744 39.109305 39.500978 39.313457 39.116556 39.468750 38.932053 38.750145 39.131352
6.846597 39.876204 39.082358 38.834423 39.170553 39.417431 39.178817 39.562302 39.385940 39.196749 39.526653 39.005176 38.826890 39.190546
6.725995 39.947191 39.149963 38.904475 39.232640 39.485913 39.250209 39.618345 39.460244 39.273780 39.589035 39.080846 38.900317 39.253172
6.607246 40.020423 39.214958 38.984215 39.293410 39.557978 39.331318 39.672073 39.538236 39.359244 39.658007 39.158558 38.985216 39.315526
