#Average supermassive black hole growth history of a PopIII stellar remnant seed (z=15, log(Mbh/Msun)=2) from TRINITY PaperIV (arXiv:2309.07210)
#z log10(Mbh_best(z)/Msun) log10(Mbh_16th(z)/Msun) log10(Mbh_84th(z)/Msun)
14.754081 2.000000 2.000000 2.000000
14.511940 2.407318 2.272318 2.388313
14.273522 2.690478 2.462927 2.656457
14.038768 2.876146 2.594448 2.854388
13.807623 2.998018 2.675613 3.000342
13.580029 3.081920 2.744081 3.125156
13.355935 3.146269 2.785998 3.273997
13.135285 3.251473 2.839183 3.412958
12.918026 3.357217 2.902886 3.541733
12.704106 3.440176 2.952569 3.657659
12.493474 3.509705 2.995106 3.728645
12.286079 3.572818 3.036975 3.794411
12.081873 3.634833 3.077422 3.892723
11.880805 3.699681 3.128074 4.004672
11.682827 3.770439 3.183296 4.111284
11.487892 3.851813 3.245727 4.220158
11.295954 3.976507 3.333286 4.360637
11.106965 4.090615 3.414574 4.490664
10.920881 4.198316 3.494578 4.612138
10.737657 4.302814 3.564052 4.727340
10.557250 4.406476 3.639125 4.840706
10.379615 4.511180 3.721843 4.953351
10.204711 4.618576 3.808403 5.064657
10.032495 4.738352 3.897062 5.177966
9.862926 4.867103 3.990851 5.291654
9.695962 4.988940 4.080103 5.399620
9.531566 5.106199 4.166398 5.503422
9.369696 5.220715 4.250959 5.620088
9.210314 5.333945 4.335130 5.736148
9.053381 5.447114 4.417698 5.851820
8.898861 5.568246 4.506190 5.963290
8.746716 5.689119 4.590959 6.071376
8.596909 5.804394 4.679000 6.174347
8.449405 5.915689 4.758194 6.289599
8.304168 6.024344 4.833845 6.408450
8.161163 6.131489 4.910618 6.523787
8.020356 6.241346 4.988672 6.631838
7.881713 6.351621 5.065375 6.737534
7.745201 6.456862 5.125941 6.846587
7.610788 6.558424 5.192223 6.931974
7.478440 6.657421 5.260036 7.022304
7.348127 6.754828 5.327145 7.110700
7.219816 6.855264 5.395986 7.196586
7.093478 6.951936 5.465407 7.272023
6.969082 7.044949 5.533425 7.344728
6.846597 7.135344 5.590886 7.422037
6.725995 7.224016 5.658565 7.507198
6.607246 7.313740 5.729273 7.592592
6.490323 7.401324 5.790983 7.673141
6.375197 7.485792 5.850805 7.745396
6.261840 7.568048 5.907982 7.833054
6.150226 7.648860 5.962451 7.893887
6.040327 7.730589 6.017266 7.953613
5.932117 7.809455 6.070179 8.020269
5.825571 7.885954 6.122589 8.085294
5.720662 7.960798 6.174315 8.149286
5.617366 8.035145 6.225617 8.212916
5.515657 8.108447 6.276128 8.275707
5.415511 8.179432 6.325081 8.336912
5.316905 8.248721 6.372922 8.397061
5.219814 8.317062 6.420144 8.456655
5.124216 8.384578 6.466792 8.515631
5.030087 8.449910 6.512012 8.573094
