#Average supermassive black hole growth history of GN-z11 (z=10.6, log(Mbh/Msun)=6.2) from TRINITY PaperIV (arXiv:2309.07210)
#z log10(Mbh_best(z)/Msun) log10(Mbh_16th(z)/Msun) log10(Mbh_84th(z)/Msun)
5.030087 9.817125 8.788750 9.836872
5.124216 9.764708 8.752332 9.780468
5.219814 9.709975 8.711812 9.726785
5.316905 9.653476 8.668678 9.671845
5.415511 9.595210 8.624295 9.613959
5.515657 9.534822 8.579225 9.550767
5.617366 9.471901 8.534635 9.485133
5.720662 9.406999 8.488558 9.417556
5.825571 9.340532 8.441332 9.348536
5.932117 9.272030 8.392691 9.282576
6.040327 9.200996 8.342281 9.215352
6.150226 9.127015 8.289793 9.145526
6.261840 9.052262 8.236664 9.073685
6.375197 8.975928 8.182518 9.000280
6.490323 8.897450 8.126948 8.925249
6.607246 8.816103 8.069431 8.843290
6.725995 8.732369 8.010224 8.756465
6.846597 8.648575 7.950866 8.671173
6.969082 8.563485 7.890693 8.591516
7.093478 8.476324 7.829145 8.503833
7.219816 8.386121 7.766270 8.412906
7.348127 8.292537 7.698828 8.320483
7.478440 8.200718 7.627795 8.236210
7.610788 8.108187 7.556729 8.151084
7.745201 8.014001 7.484899 8.064166
7.881713 7.917026 7.416979 7.974355
8.020356 7.815844 7.339016 7.880295
8.161163 7.714741 7.262665 7.785112
8.304168 7.616185 7.194890 7.690009
8.449405 7.517291 7.129507 7.580624
8.596909 7.416860 7.063770 7.481506
8.746716 7.313461 6.996076 7.383363
8.898861 7.205345 6.925418 7.282417
9.053381 7.096968 6.850926 7.178253
9.210314 6.995971 6.778363 7.071789
9.369696 6.896253 6.705802 6.964944
9.531566 6.796504 6.633411 6.857240
9.695962 6.695151 6.560032 6.747420
9.862926 6.590199 6.484231 6.633328
10.032495 6.479086 6.404318 6.520447
10.204711 6.376446 6.330564 6.407622
10.379615 6.286127 6.263901 6.302685
10.557250 6.200000 6.200000 6.200000
10.557250 6.200000 6.200000 6.200000
10.737657 6.116155 6.097037 6.137750
10.920881 6.030225 5.991462 6.074862
11.106965 5.938630 5.881065 6.008874
11.295954 5.836678 5.763610 5.936596
11.487892 5.776229 5.665542 5.890365
11.682827 5.727988 5.579212 5.853673
11.880805 5.687364 5.492546 5.829940
12.081873 5.651071 5.408161 5.803043
12.286079 5.614929 5.328498 5.775847
12.493474 5.573248 5.248643 5.747586
12.704106 5.518450 5.163913 5.718758
12.918026 5.440334 5.063521 5.674205
13.135285 5.361251 4.948789 5.627087
13.355935 5.320164 4.849190 5.609715
13.580029 5.260640 4.742850 5.564865
13.807623 5.162940 4.607733 5.501086
14.038768 4.999166 4.417190 5.399893
14.273522 4.731569 4.086960 5.231534
14.511940 4.325482 3.702763 4.909511
14.754081 3.847829 3.277565 4.547577
