#Average supermassive black hole growth history of CEERS_1019 (z=8.7, log(Mbh/Msun)=6.94) from TRINITY PaperIV (arXiv:2309.07210)
#z log10(Mbh_best(z)/Msun) log10(Mbh_16th(z)/Msun) log10(Mbh_84th(z)/Msun)
5.030087 9.510065 8.777078 9.535815
5.124216 9.454239 8.735463 9.476624
5.219814 9.396027 8.692179 9.415098
5.316905 9.336133 8.647682 9.351839
5.415511 9.274574 8.602095 9.287035
5.515657 9.210931 8.555189 9.220368
5.617366 9.144754 8.506647 9.151322
5.720662 9.076746 8.456881 9.080531
5.825571 9.007400 8.406305 9.008564
5.932117 8.936151 8.354661 8.934980
6.040327 8.862443 8.301549 8.859215
6.150226 8.785819 8.246615 8.780781
6.261840 8.708879 8.191381 8.702004
6.375197 8.630527 8.135463 8.622138
6.490323 8.550127 8.078401 8.540545
6.607246 8.466878 8.019621 8.456427
6.725995 8.381380 7.959353 8.370234
6.846597 8.296234 7.899681 8.284290
6.969082 8.209827 7.839224 8.197391
7.093478 8.121317 7.777363 8.108717
7.219816 8.029681 7.713342 8.017288
7.348127 7.934619 7.645053 7.922748
7.478440 7.841770 7.577906 7.829946
7.610788 7.748081 7.509930 7.736596
7.745201 7.652569 7.440938 7.641769
7.881713 7.554080 7.370159 7.546786
8.020356 7.451190 7.298588 7.448062
8.161163 7.348532 7.227208 7.347711
8.304168 7.248550 7.156478 7.247651
8.449405 7.147969 7.085646 7.147108
8.596909 7.045593 7.013823 7.044994
8.746716 6.940000 6.940000 6.940000
8.746716 6.940000 6.940000 6.940000
8.898861 6.828107 6.827625 6.861123
9.053381 6.723836 6.720606 6.786521
9.210314 6.620713 6.614549 6.714088
9.369696 6.517409 6.505724 6.642690
9.531566 6.412330 6.393939 6.567125
9.695962 6.303467 6.278474 6.492666
9.862926 6.188245 6.157791 6.415405
10.032495 6.081747 6.052170 6.339856
10.204711 5.987841 5.937356 6.264895
10.379615 5.898002 5.824630 6.195734
10.557250 5.810417 5.712339 6.124143
10.737657 5.723050 5.607619 6.060056
10.920881 5.633328 5.504793 5.994093
11.106965 5.537742 5.396867 5.923889
11.295954 5.431719 5.282434 5.846401
11.487892 5.368290 5.187720 5.798202
11.682827 5.316923 5.101355 5.756439
11.880805 5.272907 5.016798 5.714030
12.081873 5.232907 4.937303 5.690405
12.286079 5.192746 4.859223 5.657368
12.493474 5.146819 4.757059 5.631940
12.704106 5.087721 4.660072 5.611585
12.918026 5.005461 4.548409 5.547464
13.135285 4.923055 4.436034 5.476447
13.355935 4.880354 4.337296 5.448117
13.580029 4.818783 4.223030 5.410514
13.807623 4.718629 4.097463 5.316686
14.038768 4.552202 3.901174 5.206270
14.273522 4.282204 3.626205 5.054349
14.511940 3.874843 3.251524 4.727652
14.754081 3.397191 2.765479 4.401561
