#z=10.000000, lbol_lim=48.000000, sigma_mbh_obs=0.5 dex
#sm mbh_16 mbh_50 mbh_84
7.000000 8.158265 8.654922 9.151558
7.100000 8.159477 8.656040 9.152875
7.200000 8.160922 8.657624 9.154784
7.300000 8.162918 8.660010 9.157679
7.400000 8.165887 8.663558 9.161957
7.500000 8.170280 8.668758 9.168119
7.600000 8.176746 8.676271 9.176773
7.700000 8.185669 8.686356 9.187932
7.800000 8.196532 8.698196 9.200401
7.900000 8.208101 8.710307 9.212495
8.000000 8.218681 8.720904 9.222620
8.100000 8.225973 8.727931 9.229137
8.200000 8.228495 8.730312 9.231312
8.300000 8.227314 8.729203 9.230306
8.400000 8.225218 8.727222 9.228496
8.500000 8.224715 8.726748 9.228069
8.600000 8.226835 8.728777 9.229945
8.700000 8.231244 8.732942 9.233767
8.800000 8.237155 8.738458 9.238803
8.900000 8.244293 8.745101 9.244913
9.000000 8.253778 8.754032 9.253314
9.100000 8.269239 8.768619 9.268858
9.200000 8.291242 8.793307 9.296348
9.300000 8.322714 8.826247 9.329350
9.400000 8.354481 8.856318 9.356988
9.500000 8.381135 8.880469 9.380830
9.600000 8.404801 8.906689 9.409587
9.700000 8.435381 8.938866 9.442016
9.800000 8.466375 8.968336 9.469210
9.900000 8.489495 8.988818 9.489203
10.000000 8.504288 9.005447 9.508255
10.100000 8.525089 9.030381 9.537487
10.200000 8.569198 9.080067 9.590032
10.300000 8.638821 9.153066 9.667020
10.400000 8.706457 9.215324 9.725459
10.500000 8.748135 9.257361 9.767191
10.600000 8.792133 9.304377 9.817176
10.700000 8.874006 9.396671 9.918846
10.800000 8.993273 9.516382 10.036728
10.900000 9.072260 9.589694 10.107259
11.000000 9.119502 9.636234 10.152530
11.100000 9.162673 9.679526 10.199501
11.200000 9.205664 9.726699 10.246769
11.300000 9.258214 9.779542 10.306038
11.400000 9.312356 9.840622 10.369912
11.500000 9.380254 9.911888 10.448368
11.600000 9.457469 9.996742 10.541532
11.700000 9.549943 10.097984 10.651157
11.800000 9.660666 10.217202 10.777980
11.900000 9.790207 10.353879 10.921038
12.000000 9.935174 10.505080 11.079092
12.100000 10.090683 10.666319 11.241450
12.200000 10.257490 10.834177 11.413670
12.300000 10.425252 11.005363 11.584685
12.400000 10.598404 11.178396 11.758613
12.500000 10.770916 11.351625 11.930446
12.600000 10.943704 11.523829 12.098335
12.700000 11.116645 11.693624 12.259798
12.800000 11.284625 11.858311 12.408615
12.900000 11.451414 12.015028 12.537751
13.000000 11.607497 12.158750 12.644053
13.100000 11.753798 12.284439 12.724945
13.200000 11.883801 12.386999 12.780244
13.300000 11.988999 12.464664 12.818685
13.400000 12.067539 12.518368 12.842552
