#Average supermassive black hole growth history of a PopIII stellar remnant seed (z=15, log(Mbh/Msun)=2) from TRINITY PaperIV (arXiv:2309.07210)
#z log10(Mbh_best(z)/Msun) log10(Mbh_16th(z)/Msun) log10(Mbh_84th(z)/Msun)
14.754081 2.000000 2.000000 2.000000
14.511940 2.334222 2.264245 2.395901
14.273522 2.577370 2.462552 2.687677
14.038768 2.759083 2.612299 2.912791
13.807623 2.902989 2.741166 3.095947
13.580029 3.024887 2.843650 3.260419
13.355935 3.135375 2.925095 3.399474
13.135285 3.260439 3.022269 3.571834
12.918026 3.380643 3.102348 3.724831
12.704106 3.485887 3.172030 3.863043
12.493474 3.582124 3.228249 3.972857
12.286079 3.673694 3.278348 4.096544
12.081873 3.763813 3.330851 4.228115
11.880805 3.854835 3.388805 4.359929
11.682827 3.948572 3.457174 4.491904
11.487892 4.047390 3.538660 4.625555
11.295954 4.165388 3.665457 4.770598
11.106965 4.275041 3.781704 4.904326
10.920881 4.379301 3.879279 5.030651
10.737657 4.480362 3.966688 5.158518
10.557250 4.579856 4.053506 5.288865
10.379615 4.679068 4.141116 5.413301
10.204711 4.779083 4.255967 5.536011
10.032495 4.884489 4.369130 5.660993
9.862926 4.992727 4.470846 5.785593
9.695962 5.095257 4.558422 5.903700
9.531566 5.193775 4.640268 6.017063
9.369696 5.289604 4.721227 6.127034
9.210314 5.383792 4.806273 6.234675
9.053381 5.477225 4.899554 6.340390
8.898861 5.573970 4.993697 6.445299
8.746716 5.669081 5.065441 6.547298
8.596909 5.759651 5.129929 6.644069
8.449405 5.846859 5.193301 6.736845
8.304168 5.931672 5.262746 6.828870
8.161163 6.014910 5.322927 6.947305
8.020356 6.098932 5.384361 7.068390
7.881713 6.182184 5.445126 7.189774
7.745201 6.261478 5.504557 7.305758
7.610788 6.337786 5.567524 7.417762
7.478440 6.411913 5.625144 7.514972
7.348127 6.484567 5.674455 7.588118
7.219816 6.558473 5.727842 7.661784
7.093478 6.629379 5.781703 7.732326
6.969082 6.697439 5.833507 7.799967
6.846597 6.763399 5.882887 7.865437
6.725995 6.827909 5.931502 7.929379
6.607246 6.892765 5.981313 8.006900
6.490323 6.955874 6.032531 8.097429
6.375197 7.016636 6.083827 8.184678
6.261840 7.075699 6.130588 8.269643
6.150226 7.133634 6.178533 8.340709
6.040327 7.192120 6.230626 8.411418
5.932117 7.248539 6.280802 8.479708
5.825571 7.303265 6.329354 8.545984
5.720662 7.356840 6.376757 8.619907
5.617366 7.410182 6.424028 8.695997
5.515657 7.462947 6.470881 8.771552
5.415511 7.514195 6.516237 8.844815
5.316905 7.564432 6.560633 8.916470
5.219814 7.614317 6.604731 8.987576
5.124216 7.664046 6.648794 9.057687
5.030087 7.712525 6.691603 9.121201
