#Average supermassive black hole growth history of GN-z11 (z=10.6, log(Mbh/Msun)=6.2) from TRINITY PaperIV (arXiv:2309.07210)
#z log10(Mbh_best(z)/Msun) log10(Mbh_16th(z)/Msun) log10(Mbh_84th(z)/Msun)
5.030087 9.108395 8.637533 9.902198
5.124216 9.062465 8.598281 9.844837
5.219814 9.014958 8.557827 9.785354
5.316905 8.966487 8.516658 9.725332
5.415511 8.917215 8.474982 9.665295
5.515657 8.866829 8.433403 9.603439
5.617366 8.814893 8.391596 9.539199
5.720662 8.761952 8.349027 9.473591
5.825571 8.708489 8.306099 9.407136
5.932117 8.654111 8.262584 9.338955
6.040327 8.598295 8.218075 9.268373
6.150226 8.540613 8.172222 9.194884
6.261840 8.482919 8.122157 9.121685
6.375197 8.424604 8.068007 9.047071
6.490323 8.365093 8.021629 8.970293
6.607246 8.303704 7.973940 8.891034
6.725995 8.240719 7.924926 8.811465
6.846597 8.177880 7.874483 8.732700
6.969082 8.114290 7.818861 8.650485
7.093478 8.049256 7.761913 8.563481
7.219816 7.981971 7.702954 8.473924
7.348127 7.912082 7.644892 8.381031
7.478440 7.843023 7.587828 8.290242
7.610788 7.773312 7.530212 8.202156
7.745201 7.702186 7.471390 8.113143
7.881713 7.628771 7.408880 8.020244
8.020356 7.552007 7.341776 7.922113
8.161163 7.474430 7.275027 7.823130
8.304168 7.397748 7.210255 7.720377
8.449405 7.320362 7.144768 7.616964
8.596909 7.241385 7.073006 7.519412
8.746716 7.159769 6.995438 7.417560
8.898861 7.074245 6.922471 7.314434
9.053381 6.987195 6.850934 7.201540
9.210314 6.903263 6.782012 7.087763
9.369696 6.819504 6.712348 6.975491
9.531566 6.734965 6.642466 6.870571
9.695962 6.648522 6.572240 6.766838
9.862926 6.558762 6.497254 6.658553
10.032495 6.463865 6.418526 6.539132
10.204711 6.371629 6.342382 6.421499
10.379615 6.284918 6.270931 6.309941
10.557250 6.200000 6.200000 6.200000
10.557250 6.200000 6.200000 6.200000
10.737657 6.114396 6.086159 6.129013
10.920881 6.026334 5.967749 6.056051
11.106965 5.933439 5.841471 5.979482
11.295954 5.832508 5.703170 5.896245
11.487892 5.750235 5.590604 5.825270
11.682827 5.674247 5.470963 5.765651
11.880805 5.602084 5.354384 5.709634
12.081873 5.531733 5.246668 5.671771
12.286079 5.460726 5.134740 5.610132
12.493474 5.385699 5.018655 5.554383
12.704106 5.302039 4.893414 5.491264
12.918026 5.203268 4.753681 5.410633
13.135285 5.099273 4.608536 5.327850
13.355935 5.009657 4.476779 5.271213
13.580029 4.909161 4.336404 5.194154
13.807623 4.786326 4.175231 5.100697
14.038768 4.624006 3.974839 4.969300
14.273522 4.395702 3.699682 4.766848
14.511940 4.065368 3.316895 4.506505
14.754081 3.657106 2.885144 4.182751
