#Average supermassive black hole growth history of CEERS_1019 (z=8.7, log(Mbh/Msun)=6.94) from TRINITY PaperIV (arXiv:2309.07210)
#z log10(Mbh_best(z)/Msun) log10(Mbh_16th(z)/Msun) log10(Mbh_84th(z)/Msun)
5.030087 8.905396 8.549733 9.472574
5.124216 8.858275 8.512093 9.413520
5.219814 8.809676 8.473364 9.352553
5.316905 8.760299 8.434002 9.290566
5.415511 8.710273 8.393273 9.227662
5.515657 8.659237 8.350252 9.163367
5.617366 8.606725 8.306142 9.097106
5.720662 8.553345 8.261408 9.029642
5.825571 8.499567 8.216453 8.961526
5.932117 8.444912 8.170917 8.892137
6.040327 8.388840 8.124376 8.820816
6.150226 8.330914 8.076861 8.747022
6.261840 8.273118 8.029539 8.673185
6.375197 8.214672 7.981746 8.597823
6.490323 8.154988 7.932990 8.520617
6.607246 8.093381 7.883175 8.440922
6.725995 8.030178 7.832122 8.359109
6.846597 7.967185 7.781206 8.277318
6.969082 7.903352 7.729628 8.194387
7.093478 7.837987 7.676808 8.109486
7.219816 7.770290 7.623045 8.021636
7.348127 7.699939 7.568367 7.930400
7.478440 7.630507 7.513312 7.839012
7.610788 7.560304 7.456875 7.746332
7.745201 7.488572 7.396984 7.651776
7.881713 7.414448 7.335146 7.554215
8.020356 7.336883 7.270489 7.452257
8.161163 7.258527 7.205186 7.350129
8.304168 7.181066 7.140644 7.250091
8.449405 7.102771 7.075447 7.149211
8.596909 7.022761 7.008856 7.046314
8.746716 6.940000 6.940000 6.940000
8.746716 6.940000 6.940000 6.940000
8.898861 6.850629 6.825634 6.864797
9.053381 6.764435 6.716876 6.792621
9.210314 6.678372 6.607000 6.720760
9.369696 6.591474 6.496100 6.648647
9.531566 6.502600 6.383061 6.574043
9.695962 6.410321 6.267407 6.495923
9.862926 6.312789 6.146242 6.412518
10.032495 6.217967 6.030131 6.332904
10.204711 6.128747 5.909308 6.263134
10.379615 6.041280 5.796359 6.197422
10.557250 5.954357 5.690959 6.124749
10.737657 5.866610 5.598163 6.052141
10.920881 5.776301 5.481417 5.976981
11.106965 5.681055 5.349240 5.893061
11.295954 5.577671 5.207013 5.806433
11.487892 5.493156 5.086822 5.736065
11.682827 5.414735 4.981788 5.671572
11.880805 5.339998 4.865253 5.598659
12.081873 5.267002 4.750491 5.541674
12.286079 5.193272 4.637388 5.482478
12.493474 5.115391 4.521926 5.418687
12.704106 5.028701 4.408079 5.348950
12.918026 4.926754 4.263312 5.257311
13.135285 4.819582 4.107743 5.164838
13.355935 4.726962 3.957296 5.106100
13.580029 4.623435 3.799077 5.032727
13.807623 4.497661 3.623924 4.941936
14.038768 4.332519 3.417793 4.815816
14.273522 4.101667 3.158589 4.611930
14.511940 3.769778 2.814301 4.263771
14.754081 3.361516 2.397262 3.886955
