#Best-fitting mean black hole mass--galaxy bulge mass relation from z=0-10 from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbulge)[Msun] log10(Mbh_mean)[Msun] log10(16-th percentile of Mbh_mean)[Msun] log10(84-th percentile of Mbh_mean)[Msun]
0.000000 8.500000 5.859537 5.839259 6.064389
0.000000 8.771816 6.153579 6.135036 6.344724
0.000000 9.043633 6.447622 6.430172 6.625187
0.000000 9.315449 6.741664 6.725200 6.906371
0.000000 9.587266 7.035706 7.019668 7.187433
0.000000 9.859082 7.329749 7.313496 7.470200
0.000000 10.130899 7.623791 7.606284 7.753882
0.000000 10.402715 7.917834 7.898359 8.038182
0.000000 10.674532 8.211876 8.188995 8.323454
0.000000 10.946348 8.505918 8.477492 8.609734
0.000000 11.218165 8.799961 8.764707 8.897056
0.000000 11.489981 9.094003 9.050809 9.184957
1.000000 8.500000 6.103258 6.083643 6.269509
1.000000 8.773174 6.404936 6.384825 6.558613
1.000000 9.046348 6.706613 6.685536 6.848476
1.000000 9.319521 7.008291 6.986158 7.138488
1.000000 9.592695 7.309968 7.286437 7.429166
1.000000 9.865869 7.611646 7.585770 7.720431
1.000000 10.139043 7.913323 7.884113 8.012535
1.000000 10.412216 8.215000 8.181786 8.305511
1.000000 10.685390 8.516678 8.478066 8.599218
1.000000 10.958564 8.818355 8.772940 8.894155
1.000000 11.231738 9.120033 9.066898 9.190097
2.000000 8.500000 5.978375 5.928822 6.108580
2.000000 8.790530 6.327180 6.278705 6.445147
2.000000 9.081060 6.675984 6.628034 6.782268
2.000000 9.371590 7.024789 6.977024 7.119510
2.000000 9.662120 7.373594 7.325054 7.457410
2.000000 9.952650 7.722398 7.671842 7.796432
2.000000 10.243180 8.071203 8.017843 8.137000
2.000000 10.533710 8.420008 8.362523 8.478685
2.000000 10.824240 8.768812 8.706334 8.821834
2.000000 11.114770 9.117617 9.048668 9.166079
3.000000 8.500000 5.761341 5.660633 5.871724
3.000000 8.826732 6.191070 6.095969 6.286521
3.000000 9.153464 6.620799 6.530592 6.702359
3.000000 9.480196 7.050528 6.964352 7.119425
3.000000 9.806928 7.480257 7.396358 7.537945
3.000000 10.133660 7.909986 7.825996 7.957721
3.000000 10.460392 8.339715 8.254397 8.380294
3.000000 10.787124 8.769444 8.680124 8.805736
3.000000 11.113856 9.199173 9.103364 9.233542
4.000000 8.500000 5.507446 5.340765 5.610266
4.000000 8.873550 6.044333 5.890830 6.128164
4.000000 9.247101 6.581220 6.439453 6.647742
4.000000 9.620651 7.118107 6.986631 7.169582
4.000000 9.994202 7.654993 7.530585 7.694133
4.000000 10.367752 8.191880 8.070658 8.222323
4.000000 10.741303 8.728767 8.605627 8.755180
4.000000 11.114853 9.265654 9.135106 9.293228
5.000000 8.500000 5.235120 4.993171 5.338249
5.000000 8.924037 5.897873 5.679947 5.976391
5.000000 9.348075 6.560625 6.363358 6.617840
5.000000 9.772112 7.223378 7.044005 7.262183
5.000000 10.196150 7.886130 7.719005 7.913345
5.000000 10.620187 8.548882 8.385145 8.570784
5.000000 11.044225 9.211635 9.042161 9.235987
6.000000 8.500000 4.952264 4.631984 5.060619
6.000000 8.941440 5.698634 5.411395 5.777950
6.000000 9.382879 6.445005 6.187401 6.499763
6.000000 9.824319 7.191376 6.960027 7.224690
6.000000 10.265759 7.937747 7.722354 7.959881
6.000000 10.707199 8.684118 8.474431 8.703770
7.000000 8.500000 4.662825 4.260458 4.777602
7.000000 8.922290 5.431346 5.069975 5.515243
7.000000 9.344581 6.199867 5.875503 6.256317
7.000000 9.766871 6.968388 6.677704 7.001806
7.000000 10.189161 7.736909 7.467817 7.757226
8.000000 8.500000 4.368997 3.882676 4.492159
8.000000 8.858771 5.068560 4.626018 5.161893
8.000000 9.217542 5.768124 5.364842 5.835342
8.000000 9.576313 6.467687 6.100980 6.510721
9.000000 8.500000 4.072098 3.501453 4.204302
9.000000 8.875000 4.852287 4.334776 4.949827
9.000000 9.250000 5.632475 5.164393 5.699567
10.000000 8.500000 3.772966 3.117257 3.914544
10.000000 9.000000 4.878747 4.304585 4.971523
