#Median black hole mass--halo peak mass relation from z=0-10 from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(Mbh_median)[Msun] log10(16-th percentile of Mbh_median)[Msun] log10(84-th percentile of Mbh_median)[Msun]
0.100000 11.000000 5.688177 5.683294 5.858709
0.100000 11.329167 6.725112 6.721029 6.866152
0.100000 11.658333 7.507383 7.500188 7.630224
0.100000 11.987500 7.974393 7.962355 8.082356
0.100000 12.316667 8.250786 8.228240 8.343401
0.100000 12.645833 8.424693 8.395014 8.509968
0.100000 12.975000 8.553892 8.518360 8.633962
0.100000 13.304167 8.661255 8.624855 8.735883
0.100000 13.633333 8.759127 8.721291 8.833640
0.100000 13.962500 8.856090 8.814403 8.920577
0.100000 14.291667 8.955846 8.901885 9.016693
0.100000 14.620833 9.060576 8.992876 9.110812
0.100000 14.950000 9.168487 9.089686 9.210887
1.000000 11.000000 5.170742 5.144937 5.368269
1.000000 11.354545 6.396114 6.370009 6.532495
1.000000 11.709091 7.429260 7.404237 7.533941
1.000000 12.063636 8.029859 7.998026 8.113174
1.000000 12.418182 8.357847 8.317127 8.429482
1.000000 12.772727 8.559748 8.513891 8.628801
1.000000 13.127273 8.700754 8.650896 8.757540
1.000000 13.481818 8.811992 8.758463 8.866681
1.000000 13.836364 8.910319 8.852639 8.959699
1.000000 14.190909 9.005072 8.948875 9.050872
1.000000 14.545455 9.101441 9.034229 9.142450
1.000000 14.900000 9.202219 9.111603 9.237915
2.000000 11.000000 4.652484 4.614445 4.857334
2.000000 11.335000 5.726737 5.684651 5.888029
2.000000 11.670000 6.795225 6.748191 6.905511
2.000000 12.005000 7.684888 7.634677 7.770420
2.000000 12.340000 8.270343 8.221210 8.326690
2.000000 12.675000 8.603969 8.534868 8.650239
2.000000 13.010000 8.808475 8.732128 8.842037
2.000000 13.345000 8.949621 8.868315 8.977939
2.000000 13.680000 9.054019 8.971026 9.077378
2.000000 14.015000 9.139086 9.055579 9.167997
2.000000 14.350000 9.215729 9.124644 9.247372
3.000000 11.000000 4.382928 4.294421 4.542152
3.000000 11.316667 5.364319 5.295440 5.489004
3.000000 11.633333 6.341213 6.280366 6.441472
3.000000 11.950000 7.266636 7.196712 7.347683
3.000000 12.266667 8.046761 7.981932 8.104576
3.000000 12.583333 8.571820 8.501446 8.605907
3.000000 12.900000 8.897805 8.809943 8.914683
3.000000 13.216667 9.090842 8.990134 9.104817
3.000000 13.533333 9.222966 9.116625 9.237653
3.000000 13.850000 9.313813 9.206469 9.329080
4.000000 11.000000 4.226808 4.090981 4.388641
4.000000 11.300000 5.170765 5.050292 5.290454
4.000000 11.600000 6.093337 5.988823 6.185275
4.000000 11.900000 6.984413 6.898872 7.051474
4.000000 12.200000 7.799234 7.710155 7.848996
4.000000 12.500000 8.491381 8.414126 8.527447
4.000000 12.800000 8.949127 8.853364 8.968818
4.000000 13.100000 9.240511 9.129696 9.253983
4.000000 13.400000 9.407030 9.279717 9.416727
5.000000 11.000000 4.096052 3.865736 4.257010
5.000000 11.285714 5.033133 4.859569 5.162009
5.000000 11.571429 5.940170 5.785275 6.029874
5.000000 11.857143 6.812140 6.684405 6.886632
5.000000 12.142857 7.633523 7.519893 7.686270
5.000000 12.428571 8.376444 8.265407 8.410256
5.000000 12.714286 8.986859 8.876267 9.013721
5.000000 13.000000 9.378017 9.249997 9.388887
6.000000 11.000000 3.874269 3.622446 4.046113
6.000000 11.266667 4.808463 4.593334 4.950786
6.000000 11.533333 5.711636 5.525302 5.829804
6.000000 11.800000 6.576464 6.408885 6.667221
6.000000 12.066667 7.400548 7.257675 7.466280
6.000000 12.333333 8.171319 8.044229 8.218597
6.000000 12.600000 8.863504 8.704780 8.914331
7.000000 11.000000 3.482465 3.155824 3.712925
7.000000 11.250000 4.443477 4.167754 4.638170
7.000000 11.500000 5.375320 5.122057 5.543601
7.000000 11.750000 6.265406 6.039219 6.410046
7.000000 12.000000 7.114540 6.900795 7.218252
7.000000 12.250000 7.920091 7.729997 8.013580
8.000000 11.000000 2.817232 2.418277 3.171686
8.000000 11.237500 3.845760 3.493055 4.152361
8.000000 11.475000 4.844119 4.527184 5.106281
8.000000 11.712500 5.803782 5.542899 6.023692
8.000000 11.950000 6.716897 6.467116 6.903391
9.000000 11.000000 1.881386 1.387069 2.368347
9.000000 11.216667 2.958681 2.482494 3.404313
9.000000 11.433333 4.008088 3.616446 4.385499
9.000000 11.650000 5.022807 4.716139 5.354588
10.000000 11.000000 0.632742 -0.047938 1.350431
10.000000 11.175000 1.646541 1.045588 2.293488
10.000000 11.350000 2.642417 2.082747 3.220843
