#Median black hole mass (Mbh_median) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbh_median)@log(Mpeak)=12 log10(Mbh_median)_16@log(Mpeak)=12 log10(Mbh_median)_84@log(Mpeak)=12 log10(Mbh_median)@log(Mpeak)=13 log10(Mbh_median)_16@log(Mpeak)=13 log10(Mbh_median)_84@log(Mpeak)=13 log10(Mbh_median)@log(Mpeak)=14 log10(Mbh_median)_16@log(Mpeak)=14 log10(Mbh_median)_84@log(Mpeak)=14 log10(Mbh_median)@log(Mpeak)=15 log10(Mbh_median)_16@log(Mpeak)=15 log10(Mbh_median)_84@log(Mpeak)=15
10.000000 -14.122282 -16.078894 -12.741116 -10.759663 -12.408841 -9.574933 -7.933094 -9.352600 -6.892189 -5.424316 -6.676985 -4.492090
9.973799 -13.975469 -15.917429 -12.607117 -10.623719 -12.261540 -9.452101 -7.806131 -9.214310 -6.777764 -5.305379 -6.548826 -4.388037
9.947660 -13.828656 -15.755963 -12.473117 -10.487776 -12.114240 -9.329269 -7.679167 -9.076021 -6.663339 -5.186442 -6.420667 -4.283985
9.921583 -13.681843 -15.594498 -12.339118 -10.351832 -11.966939 -9.206437 -7.552203 -8.937731 -6.548913 -5.067505 -6.292507 -4.179932
9.895568 -13.535030 -15.433032 -12.205118 -10.215888 -11.819638 -9.083605 -7.425240 -8.799442 -6.434488 -4.948568 -6.164348 -4.075879
9.869615 -13.388216 -15.271566 -12.071119 -10.079945 -11.672337 -8.960773 -7.298276 -8.661152 -6.320063 -4.829632 -6.036188 -3.971826
9.843725 -13.248583 -15.121504 -11.943747 -9.950930 -11.531452 -8.843051 -7.178047 -8.529404 -6.209746 -4.717265 -5.913918 -3.871858
9.817895 -13.111448 -14.975409 -11.818682 -9.824327 -11.392799 -8.727106 -7.060160 -8.399932 -6.100858 -4.607185 -5.793697 -3.773310
9.792128 -12.974313 -14.829314 -11.693617 -9.697724 -11.254146 -8.611161 -6.942273 -8.270460 -5.991971 -4.497104 -5.673476 -3.674763
9.766421 -12.837178 -14.683219 -11.568552 -9.571121 -11.115493 -8.495216 -6.824386 -8.140989 -5.883083 -4.387024 -5.553255 -3.576216
9.740776 -12.700043 -14.537124 -11.443487 -9.444517 -10.976840 -8.379272 -6.706500 -8.011517 -5.774195 -4.276944 -5.433034 -3.477668
9.715192 -12.562908 -14.391029 -11.318422 -9.317914 -10.838187 -8.263327 -6.588613 -7.882045 -5.665308 -4.166864 -5.312813 -3.379121
9.689669 -12.427907 -14.246222 -11.195481 -9.193352 -10.701265 -8.148906 -6.472710 -7.754666 -5.558306 -4.058732 -5.194347 -3.281964
9.664207 -12.299420 -14.105349 -11.079026 -9.075018 -10.569622 -8.039135 -6.362863 -7.633678 -5.457061 -3.956551 -5.081237 -3.189049
9.638805 -12.170932 -13.964476 -10.962571 -8.956684 -10.437980 -7.929365 -6.253015 -7.512689 -5.355816 -3.854369 -4.968128 -3.096135
9.613464 -12.042444 -13.823603 -10.846116 -8.838350 -10.306338 -7.819595 -6.143168 -7.391701 -5.254571 -3.752188 -4.855018 -3.003220
9.588184 -11.913957 -13.682730 -10.729661 -8.720017 -10.174696 -7.709825 -6.033321 -7.270712 -5.153326 -3.650006 -4.741909 -2.910306
9.562963 -11.785469 -13.541857 -10.613206 -8.601683 -10.043054 -7.600054 -5.923474 -7.149724 -5.052082 -3.547825 -4.628799 -2.817391
9.537803 -11.656981 -13.400983 -10.496751 -8.483349 -9.911412 -7.490284 -5.813626 -7.028735 -4.950837 -3.445643 -4.515690 -2.724477
9.512702 -11.534427 -13.269110 -10.384752 -8.370663 -9.786070 -7.386023 -5.709195 -6.913606 -4.854900 -3.348661 -4.408031 -2.635839
9.487661 -11.413833 -13.140209 -10.274224 -8.259841 -9.662808 -7.283581 -5.606551 -6.800412 -4.760716 -3.253395 -4.302173 -2.548614
9.462680 -11.293239 -13.011307 -10.163696 -8.149019 -9.539546 -7.181139 -5.503908 -6.687218 -4.666532 -3.158129 -4.196315 -2.461388
9.437759 -11.172645 -12.882406 -10.053168 -8.038198 -9.416284 -7.078696 -5.401265 -6.574024 -4.572348 -3.062863 -4.090456 -2.374163
9.412897 -11.052050 -12.753504 -9.942640 -7.927376 -9.293023 -6.976254 -5.298622 -6.460830 -4.478164 -2.967597 -3.984598 -2.286938
9.388094 -10.931456 -12.624603 -9.832112 -7.816554 -9.169761 -6.873812 -5.195978 -6.347637 -4.383980 -2.872331 -3.878740 -2.199712
9.363350 -10.812733 -12.498270 -9.723064 -7.707509 -9.050069 -6.773119 -5.095025 -6.236337 -4.291713 -2.778683 -3.774759 -2.113955
9.338665 -10.699427 -12.379375 -9.618298 -7.603608 -8.940716 -6.677491 -4.998965 -6.130522 -4.204994 -2.689719 -3.676217 -2.032448
9.314038 -10.586121 -12.260479 -9.513532 -7.499707 -8.831362 -6.581862 -4.902905 -6.024706 -4.118275 -2.600755 -3.577674 -1.950941
9.289471 -10.472815 -12.141583 -9.408767 -7.395805 -8.722008 -6.486234 -4.806845 -5.918891 -4.031557 -2.511791 -3.479131 -1.869434
9.264962 -10.359509 -12.022688 -9.304001 -7.291904 -8.612654 -6.390606 -4.710785 -5.813076 -3.944838 -2.422827 -3.380588 -1.787928
9.240511 -10.246203 -11.903792 -9.199236 -7.188003 -8.503300 -6.294977 -4.614724 -5.707261 -3.858120 -2.333863 -3.282045 -1.706421
9.216119 -10.132897 -11.784897 -9.094470 -7.084102 -8.393946 -6.199349 -4.518664 -5.601446 -3.771401 -2.244899 -3.183502 -1.624914
9.191785 -10.024769 -11.671040 -8.994425 -6.985086 -8.287833 -6.108457 -4.427248 -5.500610 -3.687101 -2.160438 -3.090341 -1.547647
9.167508 -9.918262 -11.558761 -8.895856 -6.887600 -8.182735 -6.019047 -4.337285 -5.401332 -3.603558 -2.077387 -2.998865 -1.471706
9.143290 -9.811755 -11.446481 -8.797287 -6.790114 -8.077636 -5.929637 -4.247322 -5.302054 -3.520015 -1.994336 -2.907388 -1.395765
9.119129 -9.705247 -11.334202 -8.698718 -6.692627 -7.972537 -5.840227 -4.157359 -5.202776 -3.436472 -1.911284 -2.815912 -1.319824
9.095026 -9.598740 -11.221922 -8.600149 -6.595141 -7.867439 -5.750817 -4.067396 -5.103498 -3.352929 -1.828233 -2.724435 -1.243883
9.070980 -9.492233 -11.109642 -8.501580 -6.497654 -7.762340 -5.661407 -3.977433 -5.004220 -3.269386 -1.745182 -2.632958 -1.167942
9.046991 -9.386491 -10.996748 -8.403673 -6.400687 -7.657310 -5.572609 -3.887818 -4.905293 -3.186303 -1.662305 -2.541425 -1.092038
9.023060 -9.282852 -10.882164 -8.307588 -6.305148 -7.552470 -5.485492 -3.799159 -4.807330 -3.104487 -1.579906 -2.449735 -1.016233
8.999186 -9.179214 -10.767580 -8.211503 -6.209609 -7.447630 -5.398375 -3.710500 -4.709367 -3.022670 -1.497507 -2.358045 -0.940428
8.975368 -9.075576 -10.652996 -8.115418 -6.114070 -7.342790 -5.311257 -3.621842 -4.611405 -2.940854 -1.415109 -2.266355 -0.864624
8.951607 -8.971938 -10.538412 -8.019333 -6.018531 -7.237949 -5.224140 -3.533183 -4.513442 -2.859038 -1.332710 -2.174665 -0.788819
8.927903 -8.868300 -10.423828 -7.923248 -5.922992 -7.133109 -5.137023 -3.444524 -4.415479 -2.777221 -1.250312 -2.082975 -0.713014
8.904255 -8.764662 -10.309244 -7.827163 -5.827453 -7.028269 -5.049906 -3.355866 -4.317516 -2.695405 -1.167913 -1.991285 -0.637210
8.880664 -8.664777 -10.198604 -7.735400 -5.735245 -6.927660 -4.965707 -3.270141 -4.223090 -2.616380 -1.088124 -1.902648 -0.563700
8.857129 -8.566003 -10.089132 -7.644917 -5.644023 -6.828304 -4.882371 -3.185285 -4.129710 -2.538182 -1.009108 -1.814915 -0.490870
8.833649 -8.467229 -9.979660 -7.554435 -5.552802 -6.728948 -4.799036 -3.100429 -4.036330 -2.459983 -0.930092 -1.727182 -0.418040
8.810226 -8.368455 -9.870188 -7.463952 -5.461580 -6.629592 -4.715700 -3.015574 -3.942950 -2.381785 -0.851075 -1.639449 -0.345211
8.786859 -8.269681 -9.760716 -7.373469 -5.370359 -6.530236 -4.632365 -2.930718 -3.849570 -2.303586 -0.772059 -1.551716 -0.272381
8.763547 -8.170907 -9.651244 -7.282986 -5.279137 -6.430880 -4.549029 -2.845862 -3.756190 -2.225388 -0.693043 -1.463983 -0.199551
8.740291 -8.073914 -9.542701 -7.194849 -5.189638 -6.334181 -4.467256 -2.762666 -3.664608 -2.148514 -0.615635 -1.378191 -0.128047
8.717090 -7.981583 -9.436589 -7.112849 -5.104646 -6.244432 -4.389573 -2.683811 -3.577733 -2.075107 -0.542437 -1.297478 -0.060010
8.693944 -7.889252 -9.330476 -7.030849 -5.019654 -6.154684 -4.311889 -2.604956 -3.490857 -2.001700 -0.469238 -1.216765 0.008026
8.670854 -7.796921 -9.224364 -6.948849 -4.934661 -6.064935 -4.234205 -2.526101 -3.403981 -1.928293 -0.396039 -1.136052 0.076062
8.647818 -7.704590 -9.118252 -6.866849 -4.849669 -5.975187 -4.156522 -2.447246 -3.317106 -1.854886 -0.322841 -1.055339 0.144098
8.624837 -7.612259 -9.012140 -6.784849 -4.764677 -5.885439 -4.078838 -2.368390 -3.230230 -1.781479 -0.249642 -0.974627 0.212134
8.601912 -7.519928 -8.906027 -6.702849 -4.679684 -5.795690 -4.001154 -2.289535 -3.143354 -1.708072 -0.176443 -0.893914 0.280171
8.579040 -7.432191 -8.804428 -6.622238 -4.599085 -5.710284 -3.927458 -2.214924 -3.061073 -1.638484 -0.107500 -0.817828 0.344203
8.556224 -7.345740 -8.704091 -6.542017 -4.519713 -5.626092 -3.854876 -2.141499 -2.980076 -1.569965 -0.039746 -0.743037 0.407116
8.533461 -7.259288 -8.603754 -6.461795 -4.440342 -5.541901 -3.782295 -2.068074 -2.899080 -1.501445 0.028008 -0.668246 0.470029
8.510753 -7.172837 -8.503417 -6.381573 -4.360970 -5.457709 -3.709713 -1.994649 -2.818083 -1.432925 0.095761 -0.593455 0.532942
8.488099 -7.086385 -8.403079 -6.301351 -4.281599 -5.373517 -3.637132 -1.921224 -2.737086 -1.364406 0.163515 -0.518663 0.595854
8.465499 -6.999933 -8.302742 -6.221129 -4.202227 -5.289325 -3.564551 -1.847799 -2.656090 -1.295886 0.231269 -0.443872 0.658767
8.442952 -6.915032 -8.204166 -6.142099 -4.124328 -5.205002 -3.493241 -1.775826 -2.576661 -1.229038 0.297649 -0.370577 0.720576
