#Average black hole accretion rate (BHAR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR)[Msun]
15.000000 8.000000 -46.810341
15.000000 8.050000 -46.810341
15.000000 8.100000 -46.810341
15.000000 8.150000 -46.810341
15.000000 8.200000 -46.810341
15.000000 8.250000 -46.810341
15.000000 8.300000 -46.810341
15.000000 8.350000 -46.810341
15.000000 8.400000 -46.810341
15.000000 8.450000 -46.810341
15.000000 8.500000 -46.810341
15.000000 8.550000 -46.810341
15.000000 8.600000 -46.810341
15.000000 8.650000 -46.810341
15.000000 8.700000 -46.810341
15.000000 8.750000 -46.810341
15.000000 8.800000 -46.810341
15.000000 8.850000 -46.810341
15.000000 8.900000 -46.810341
15.000000 8.950000 -46.810341
15.000000 9.000000 -46.810341
15.000000 9.050000 -46.810341
15.000000 9.100000 -46.810341
15.000000 9.150000 -46.810341
15.000000 9.200000 -46.810341
15.000000 9.250000 -46.810341
15.000000 9.300000 -46.810341
15.000000 9.350000 -46.810341
15.000000 9.400000 -46.810341
15.000000 9.450000 -46.810341
15.000000 9.500000 -46.810341
15.000000 9.550000 -46.810341
15.000000 9.600000 -46.810341
15.000000 9.650000 -46.810341
15.000000 9.700000 -46.810341
15.000000 9.750000 -46.810341
15.000000 9.800000 -46.810341
15.000000 9.850000 -46.810341
15.000000 9.900000 -46.810341
15.000000 9.950000 -46.810341
15.000000 10.000000 -46.810341
14.918027 8.000000 -46.139726
14.918027 8.050000 -46.139726
14.918027 8.100000 -46.139726
14.918027 8.150000 -46.139726
14.918027 8.200000 -46.139726
14.918027 8.250000 -46.139726
14.918027 8.300000 -46.139726
14.918027 8.350000 -46.139726
14.918027 8.400000 -46.139726
14.918027 8.450000 -46.139726
14.918027 8.500000 -46.139726
14.918027 8.550000 -46.139726
14.918027 8.600000 -46.139726
14.918027 8.650000 -46.139726
14.918027 8.700000 -46.139726
14.918027 8.750000 -46.139726
14.918027 8.800000 -46.139726
14.918027 8.850000 -46.139726
14.918027 8.900000 -46.139726
14.918027 8.950000 -45.948655
14.918027 9.000000 -45.757584
14.918027 9.050000 -45.566513
14.918027 9.100000 -45.375441
14.918027 9.150000 -45.167270
14.918027 9.200000 -44.959098
14.918027 9.250000 -44.750926
14.918027 9.300000 -44.542754
14.918027 9.350000 -44.334662
14.918027 9.400000 -44.126569
14.918027 9.450000 -43.918477
14.918027 9.500000 -43.710385
14.918027 9.550000 -43.502298
14.918027 9.600000 -43.294210
14.918027 9.650000 -43.086123
14.918027 9.700000 -42.878036
14.918027 9.750000 -42.669955
14.918027 9.800000 -42.461874
14.918027 9.850000 -42.253794
14.918027 9.900000 -42.045713
14.918027 9.950000 -41.837644
14.918027 10.000000 -41.629574
