#Average average black hole accretion rate (BHAR) to star formation rate (SFR) ratio as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHAR/SFR)
11.359933 11.000000 -9.682438
11.295954 11.000000 -9.555559
11.232958 11.000000 -9.450548
11.169961 11.000000 -9.345538
11.169961 11.050000 -9.096197
11.106965 11.000000 -9.240527
11.106965 11.050000 -8.994240
11.044937 11.000000 -9.146588
11.044937 11.050000 -8.903231
10.982909 11.000000 -9.052651
10.982909 11.050000 -8.812222
10.982909 11.100000 -8.571793
10.920881 11.000000 -8.958713
10.920881 11.050000 -8.721213
10.920881 11.100000 -8.483712
10.859807 11.000000 -8.873280
10.859807 11.050000 -8.638578
10.859807 11.100000 -8.403876
10.798732 11.000000 -8.787848
10.798732 11.050000 -8.555944
10.798732 11.100000 -8.324040
10.798732 11.150000 -8.097707
10.737657 11.000000 -8.702415
10.737657 11.050000 -8.473308
10.737657 11.100000 -8.244203
10.737657 11.150000 -8.020674
10.677521 11.000000 -8.624014
10.677521 11.050000 -8.397577
10.677521 11.100000 -8.171139
10.677521 11.150000 -7.950273
10.617386 11.000000 -8.545613
10.617386 11.050000 -8.321845
10.617386 11.100000 -8.098076
10.617386 11.150000 -7.879872
10.617386 11.200000 -7.661668
10.557250 11.000000 -8.467214
10.557250 11.050000 -8.246113
10.557250 11.100000 -8.025012
10.557250 11.150000 -7.809471
10.557250 11.200000 -7.593930
10.498038 11.000000 -8.394933
10.498038 11.050000 -8.176372
10.498038 11.100000 -7.957811
10.498038 11.150000 -7.744793
10.498038 11.200000 -7.531776
10.438827 11.000000 -8.322653
10.438827 11.050000 -8.106631
10.438827 11.100000 -7.890610
10.438827 11.150000 -7.680116
10.438827 11.200000 -7.469622
10.438827 11.250000 -7.259128
10.379615 11.000000 -8.250372
10.379615 11.050000 -8.036890
10.379615 11.100000 -7.823409
10.379615 11.150000 -7.615439
10.379615 11.200000 -7.407468
10.379615 11.250000 -7.199498
10.321314 11.000000 -8.183424
10.321314 11.050000 -7.972354
10.321314 11.100000 -7.761284
10.321314 11.150000 -7.555702
10.321314 11.200000 -7.350118
10.321314 11.250000 -7.144535
10.263013 11.000000 -8.116475
10.263013 11.050000 -7.907818
10.263013 11.100000 -7.699159
10.263013 11.150000 -7.495963
10.263013 11.200000 -7.292767
10.263013 11.250000 -7.089571
10.263013 11.300000 -6.886376
10.204711 11.000000 -8.049528
10.204711 11.050000 -7.843281
10.204711 11.100000 -7.637034
10.204711 11.150000 -7.436226
10.204711 11.200000 -7.235417
10.204711 11.250000 -7.034609
10.204711 11.300000 -6.833800
10.147306 11.000000 -7.976585
10.147306 11.050000 -7.772585
10.147306 11.100000 -7.568583
10.147306 11.150000 -7.370023
10.147306 11.200000 -7.171462
10.147306 11.250000 -6.972902
10.147306 11.300000 -6.774342
10.089900 11.000000 -7.903644
10.089900 11.050000 -7.701888
10.089900 11.100000 -7.500131
10.089900 11.150000 -7.303819
10.089900 11.200000 -7.107507
10.089900 11.250000 -6.911195
10.089900 11.300000 -6.714884
10.089900 11.350000 -6.525594
10.032495 11.000000 -7.830702
10.032495 11.050000 -7.631191
10.032495 11.100000 -7.431680
10.032495 11.150000 -7.237616
10.032495 11.200000 -7.043552
10.032495 11.250000 -6.849488
10.032495 11.300000 -6.655424
10.032495 11.350000 -6.468375
9.975972 11.000000 -7.754288
9.975972 11.050000 -7.556894
9.975972 11.100000 -7.359500
9.975972 11.150000 -7.167572
9.975972 11.200000 -6.975643
9.975972 11.250000 -6.783715
9.975972 11.300000 -6.591787
9.975972 11.350000 -6.406883
9.919449 11.000000 -7.677875
9.919449 11.050000 -7.482597
9.919449 11.100000 -7.287320
9.919449 11.150000 -7.097526
9.919449 11.200000 -6.907734
9.919449 11.250000 -6.717942
9.919449 11.300000 -6.528149
9.919449 11.350000 -6.345392
9.919449 11.400000 -6.162635
9.862926 11.000000 -7.601462
9.862926 11.050000 -7.408300
9.862926 11.100000 -7.215139
9.862926 11.150000 -7.027482
9.862926 11.200000 -6.839826
9.862926 11.250000 -6.652168
9.862926 11.300000 -6.464511
9.862926 11.350000 -6.283900
9.862926 11.400000 -6.103290
9.807271 11.000000 -7.537782
9.807271 11.050000 -7.346719
9.807271 11.100000 -7.155655
9.807271 11.150000 -6.970093
9.807271 11.200000 -6.784531
9.807271 11.250000 -6.598969
9.807271 11.300000 -6.413406
9.807271 11.350000 -6.234865
9.807271 11.400000 -6.056325
9.751617 11.000000 -7.474100
9.751617 11.050000 -7.285136
9.751617 11.100000 -7.096171
9.751617 11.150000 -6.912704
9.751617 11.200000 -6.729236
9.751617 11.250000 -6.545769
9.751617 11.300000 -6.362301
9.751617 11.350000 -6.185830
9.751617 11.400000 -6.009360
9.751617 11.450000 -5.832890
9.695962 11.000000 -7.410420
9.695962 11.050000 -7.223554
9.695962 11.100000 -7.036688
9.695962 11.150000 -6.855315
9.695962 11.200000 -6.673942
9.695962 11.250000 -6.492569
9.695962 11.300000 -6.311196
