#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass at z=0 and redshift from Trinity.
#Ref: Zhang et al. (2021)
#z log10(eta_avg)@log(Mpeak)=12 log10(eta_avg)_16@log(Mpeak)=12 log10(eta_avg)_84@log(Mpeak)=12 log10(eta_avg)@log(Mpeak)=13 log10(eta_avg)_16@log(Mpeak)=13 log10(eta_avg)_84@log(Mpeak)=13 log10(eta_avg)@log(Mpeak)=14 log10(eta_avg)_16@log(Mpeak)=14 log10(eta_avg)_84@log(Mpeak)=14 log10(eta_avg)@log(Mpeak)=15 log10(eta_avg)_16@log(Mpeak)=15 log10(eta_avg)_84@log(Mpeak)=15
10.000000 0.339233 0.286681 0.444557 0.320967 0.267501 0.427080 0.302599 0.245510 0.408932 0.283500 0.222684 0.389072
9.973799 0.336123 0.283467 0.441519 0.317677 0.264096 0.423896 0.299142 0.241879 0.405565 0.279884 0.218863 0.385516
9.947660 0.333013 0.280253 0.438481 0.314386 0.260691 0.420711 0.295685 0.238247 0.402198 0.276268 0.215042 0.381960
9.921583 0.329903 0.277040 0.435443 0.311096 0.257286 0.417527 0.292228 0.234616 0.398831 0.272652 0.211221 0.378404
9.895568 0.326794 0.273826 0.432405 0.307806 0.253881 0.414342 0.288771 0.230985 0.395463 0.269036 0.207400 0.374848
9.869615 0.323684 0.270612 0.429367 0.304515 0.250476 0.411158 0.285314 0.227354 0.392096 0.265420 0.203579 0.371292
9.843725 0.320534 0.267357 0.426297 0.301198 0.247048 0.407960 0.281844 0.223733 0.388727 0.261806 0.199783 0.367741
9.817895 0.317371 0.264088 0.423215 0.297870 0.243612 0.404757 0.278369 0.220114 0.385357 0.258193 0.195997 0.364192
9.792128 0.314207 0.260819 0.420134 0.294543 0.240176 0.401555 0.274894 0.216496 0.381987 0.254580 0.192210 0.360643
9.766421 0.311044 0.257549 0.417052 0.291215 0.236740 0.398352 0.271419 0.212878 0.378617 0.250967 0.188423 0.357095
9.740776 0.307880 0.254280 0.413971 0.287888 0.233304 0.395150 0.267944 0.209259 0.375247 0.247354 0.184637 0.353546
9.715192 0.304717 0.251010 0.410889 0.284560 0.229868 0.391947 0.264469 0.205641 0.371877 0.243741 0.180850 0.349997
9.689669 0.301528 0.247717 0.407788 0.281208 0.226411 0.388723 0.260969 0.202002 0.368487 0.240104 0.177044 0.346425
9.664207 0.298261 0.244350 0.404627 0.277780 0.222890 0.385430 0.257395 0.198298 0.365037 0.236394 0.173178 0.342782
9.638805 0.294995 0.240983 0.401466 0.274352 0.219368 0.382137 0.253821 0.194594 0.361587 0.232684 0.169313 0.339140
9.613464 0.291729 0.237616 0.398305 0.270923 0.215847 0.378845 0.250247 0.190890 0.358137 0.228974 0.165447 0.335497
9.588184 0.288463 0.234248 0.395144 0.267495 0.212325 0.375552 0.246673 0.187187 0.354688 0.225265 0.161582 0.331854
9.562963 0.285196 0.230881 0.391983 0.264067 0.208804 0.372259 0.243098 0.183483 0.351238 0.221555 0.157716 0.328212
9.537803 0.281930 0.227514 0.388822 0.260639 0.205283 0.368966 0.239524 0.179779 0.347788 0.217845 0.153851 0.324569
9.512702 0.278558 0.224035 0.385554 0.257098 0.201644 0.365554 0.235832 0.175961 0.344231 0.214010 0.149861 0.320800
9.487661 0.275151 0.220519 0.382250 0.253521 0.197967 0.362101 0.232100 0.172105 0.340638 0.210135 0.145829 0.316989
9.462680 0.271744 0.217004 0.378947 0.249943 0.194290 0.358649 0.228368 0.168250 0.337046 0.206260 0.141798 0.313178
9.437759 0.268337 0.213488 0.375643 0.246366 0.190613 0.355196 0.224637 0.164394 0.333453 0.202385 0.137767 0.309366
9.412897 0.264930 0.209972 0.372340 0.242788 0.186936 0.351744 0.220905 0.160538 0.329861 0.198509 0.133735 0.305555
9.388094 0.261523 0.206456 0.369036 0.239211 0.183259 0.348291 0.217174 0.156683 0.326268 0.194634 0.129704 0.301744
9.363350 0.258085 0.202908 0.365704 0.235601 0.179547 0.344805 0.213408 0.152796 0.322644 0.190724 0.125637 0.297899
9.338665 0.254556 0.199267 0.362286 0.231895 0.175735 0.341223 0.209544 0.148821 0.318929 0.186711 0.121467 0.293955
9.314038 0.251027 0.195626 0.358868 0.228190 0.171923 0.337640 0.205680 0.144846 0.315215 0.182698 0.117298 0.290010
9.289471 0.247499 0.191985 0.355451 0.224485 0.168111 0.334057 0.201816 0.140871 0.311500 0.178686 0.113128 0.286066
9.264962 0.243970 0.188343 0.352033 0.220780 0.164298 0.330475 0.197952 0.136896 0.307785 0.174673 0.108958 0.282121
9.240511 0.240441 0.184702 0.348616 0.217074 0.160486 0.326892 0.194088 0.132921 0.304070 0.170660 0.104788 0.278177
