#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
11.359933 11.000000 -13.131480
11.295954 11.000000 -13.026009
11.232958 11.000000 -12.846322
11.169961 11.000000 -12.719596
11.169961 11.050000 -12.553808
11.106965 11.000000 -12.621617
11.106965 11.050000 -12.455991
11.044937 11.000000 -12.466579
11.044937 11.050000 -12.301509
10.982909 11.000000 -12.352562
10.982909 11.050000 -12.187792
10.982909 11.100000 -12.068627
10.920881 11.000000 -12.262339
10.920881 11.050000 -12.097757
10.920881 11.100000 -11.978690
10.859807 11.000000 -12.125186
10.859807 11.050000 -11.961168
10.859807 11.100000 -11.842394
10.798732 11.000000 -12.021108
10.798732 11.050000 -11.857414
10.798732 11.100000 -11.738809
10.798732 11.150000 -10.949714
10.737657 11.000000 -11.937214
10.737657 11.050000 -11.773730
10.737657 11.100000 -11.655235
10.737657 11.150000 -10.873275
10.677521 11.000000 -11.813688
10.677521 11.050000 -11.650775
10.677521 11.100000 -11.532579
10.677521 11.150000 -10.767161
10.617386 11.000000 -11.717629
10.617386 11.050000 -11.555060
10.617386 11.100000 -11.437044
10.617386 11.150000 -10.681950
10.617386 11.200000 -10.420867
10.557250 11.000000 -11.639015
10.557250 11.050000 -11.476677
10.557250 11.100000 -11.358782
10.557250 11.150000 -10.610748
10.557250 11.200000 -10.350351
10.498038 11.000000 -11.526918
10.498038 11.050000 -11.365156
10.498038 11.100000 -11.247563
10.498038 11.150000 -10.514679
10.498038 11.200000 -10.255797
10.438827 11.000000 -11.437899
10.438827 11.050000 -11.276500
10.438827 11.100000 -11.159098
10.438827 11.150000 -10.436059
10.438827 11.200000 -10.178193
10.438827 11.250000 -10.017499
10.379615 11.000000 -11.364060
10.379615 11.050000 -11.202910
10.379615 11.100000 -11.085639
10.379615 11.150000 -10.369514
10.379615 11.200000 -10.112377
10.379615 11.250000 -9.951961
10.321314 11.000000 -11.262080
10.321314 11.050000 -11.101507
10.321314 11.100000 -10.984541
10.321314 11.150000 -10.282281
10.321314 11.200000 -10.026645
10.321314 11.250000 -9.866804
10.263013 11.000000 -11.179551
10.263013 11.050000 -11.019357
10.263013 11.100000 -10.902590
10.263013 11.150000 -10.209673
10.263013 11.200000 -9.955078
10.263013 11.250000 -9.795638
10.263013 11.300000 -9.679271
10.204711 11.000000 -11.110229
10.204711 11.050000 -10.950301
10.204711 11.100000 -10.833676
10.204711 11.150000 -10.147483
10.204711 11.200000 -9.893653
10.204711 11.250000 -9.734509
10.204711 11.300000 -9.618298
10.147306 11.000000 -11.001110
10.147306 11.050000 -10.841776
10.147306 11.100000 -10.725465
10.147306 11.150000 -10.052474
10.147306 11.200000 -9.800187
10.147306 11.250000 -9.641639
10.147306 11.300000 -9.525746
10.089900 11.000000 -10.913977
10.089900 11.050000 -10.755020
10.089900 11.100000 -10.638909
10.089900 11.150000 -9.974565
10.089900 11.200000 -9.723316
10.089900 11.250000 -9.565173
10.089900 11.300000 -9.449494
10.089900 11.350000 -8.808055
10.032495 11.000000 -10.841438
10.032495 11.050000 -10.682743
10.032495 11.100000 -10.566771
10.032495 11.150000 -9.908529
10.032495 11.200000 -9.658027
10.032495 11.250000 -9.500175
10.032495 11.300000 -9.384652
10.032495 11.350000 -8.749604
9.975972 11.000000 -10.725217
9.975972 11.050000 -10.567126
9.975972 11.100000 -10.451475
9.975972 11.150000 -9.805741
9.975972 11.200000 -9.556807
9.975972 11.250000 -9.399569
9.975972 11.300000 -9.284373
9.975972 11.350000 -8.661290
9.919449 11.000000 -10.633623
9.919449 11.050000 -10.475906
9.919449 11.100000 -10.360455
9.919449 11.150000 -9.722684
9.919449 11.200000 -9.474776
9.919449 11.250000 -9.317941
9.919449 11.300000 -9.202960
9.919449 11.350000 -8.587935
9.919449 11.400000 -8.343076
9.862926 11.000000 -10.558022
9.862926 11.050000 -10.400560
9.862926 11.100000 -10.285245
9.862926 11.150000 -9.652990
9.862926 11.200000 -9.405805
9.862926 11.250000 -9.249255
9.862926 11.300000 -9.134427
9.862926 11.350000 -8.525198
9.862926 11.400000 -8.281146
9.807271 11.000000 -10.458255
9.807271 11.050000 -10.301396
9.807271 11.100000 -10.186402
9.807271 11.150000 -9.565583
9.807271 11.200000 -9.319930
9.807271 11.250000 -9.163987
9.807271 11.300000 -9.049484
9.807271 11.350000 -8.451038
9.807271 11.400000 -8.208519
9.751617 11.000000 -10.377180
9.751617 11.050000 -10.220718
9.751617 11.100000 -10.105936
9.751617 11.150000 -9.492855
9.751617 11.200000 -9.248265
9.751617 11.250000 -9.092744
9.751617 11.300000 -8.978467
9.751617 11.350000 -8.387713
9.751617 11.400000 -8.146315
9.751617 11.450000 -7.992070
9.695962 11.000000 -10.308885
9.695962 11.050000 -10.152705
9.695962 11.100000 -10.038075
9.695962 11.150000 -9.430577
9.695962 11.200000 -9.186768
9.695962 11.250000 -9.031557
9.695962 11.300000 -8.917448
9.695962 11.350000 -8.332458
9.695962 11.400000 -8.091914
9.695962 11.450000 -7.938014
9.641164 11.000000 -10.222175
9.641164 11.050000 -10.066586
9.641164 11.100000 -9.952273
9.641164 11.150000 -9.355159
9.641164 11.200000 -9.112833
9.641164 11.250000 -8.958216
9.641164 11.300000 -8.844426
9.641164 11.350000 -8.269181
9.641164 11.400000 -8.030113
9.641164 11.450000 -7.876809
9.586365 11.000000 -10.149930
9.586365 11.050000 -9.994751
9.586365 11.100000 -9.880658
9.586365 11.150000 -9.290921
9.586365 11.200000 -9.049672
9.586365 11.250000 -8.895488
9.586365 11.300000 -8.781932
9.586365 11.350000 -8.213962
9.586365 11.400000 -7.976020
9.586365 11.450000 -7.823173
9.531566 11.000000 -10.088006
9.531566 11.050000 -9.933128
9.531566 11.100000 -9.819198
9.531566 11.150000 -9.234972
9.531566 11.200000 -8.994542
9.531566 11.250000 -8.840688
9.531566 11.300000 -8.727310
9.531566 11.350000 -8.164978
9.531566 11.400000 -7.927925
9.531566 11.450000 -7.775440
9.531566 11.500000 -7.662803
9.477609 11.000000 -10.011606
9.477609 11.050000 -9.857309
9.477609 11.100000 -9.743691
9.477609 11.150000 -9.168919
9.477609 11.200000 -8.929924
9.477609 11.250000 -8.776649
9.477609 11.300000 -8.663585
9.477609 11.350000 -8.110092
9.477609 11.400000 -7.874457
9.477609 11.450000 -7.722553
9.477609 11.500000 -7.610232
9.423652 11.000000 -9.946657
9.423652 11.050000 -9.792779
9.423652 11.100000 -9.679387
9.423652 11.150000 -9.111600
9.423652 11.200000 -8.873686
9.423652 11.250000 -8.720851
9.423652 11.300000 -8.608025
9.423652 11.350000 -8.061370
9.423652 11.400000 -7.826857
9.423652 11.450000 -7.675413
9.423652 11.500000 -7.563343
9.369696 11.000000 -9.890170
9.369696 11.050000 -9.736608
9.369696 11.100000 -9.623389
9.369696 11.150000 -9.060970
9.369696 11.200000 -8.823903
9.369696 11.250000 -8.671412
9.369696 11.300000 -8.558773
9.369696 11.350000 -8.017567
9.369696 11.400000 -7.783962
9.369696 11.450000 -7.632892
9.369696 11.500000 -7.521026
9.369696 11.550000 -7.006233
9.316568 11.000000 -9.822310
9.316568 11.050000 -9.669317
9.316568 11.100000 -9.556405
9.316568 11.150000 -9.002612
9.316568 11.200000 -8.766928
9.316568 11.250000 -8.615004
9.316568 11.300000 -8.502672
9.316568 11.350000 -7.969501
9.316568 11.400000 -7.737261
9.316568 11.450000 -7.586755
9.316568 11.500000 -7.475197
9.316568 11.550000 -6.967741
9.263441 11.000000 -9.763635
9.263441 11.050000 -9.611066
9.263441 11.100000 -9.498385
9.263441 11.150000 -8.951174
9.263441 11.200000 -8.716569
9.263441 11.250000 -8.565087
9.263441 11.300000 -8.452996
9.263441 11.350000 -7.926230
9.263441 11.400000 -7.695098
9.263441 11.450000 -7.545052
9.263441 11.500000 -7.433746
9.263441 11.550000 -6.932384
9.210314 11.000000 -9.711951
9.210314 11.050000 -9.559713
9.210314 11.100000 -9.447210
9.210314 11.150000 -8.905188
9.210314 11.200000 -8.671447
9.210314 11.250000 -8.520320
9.210314 11.300000 -8.408423
9.210314 11.350000 -7.886881
9.210314 11.400000 -7.656669
9.210314 11.450000 -7.507005
9.210314 11.500000 -7.395908
9.210314 11.550000 -6.899691
9.210314 11.600000 -6.674121
9.158003 11.000000 -9.651388
9.158003 11.050000 -9.499705
9.158003 11.100000 -9.387505
9.158003 11.150000 -8.853360
9.158003 11.200000 -8.620953
9.158003 11.250000 -8.470377
9.158003 11.300000 -8.358781
9.158003 11.350000 -7.844556
9.158003 11.400000 -7.615652
9.158003 11.450000 -7.466536
9.158003 11.500000 -7.355740
9.158003 11.550000 -6.866185
9.158003 11.600000 -6.641892
9.105692 11.000000 -9.598246
