#Best-fitting galaxy quenched fractions from Trinity.
#z: 0.3
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] Quenched_Fraction
8.400000 0.066301
8.500000 0.072488
8.600000 0.079426
8.700000 0.086757
8.800000 0.094563
8.900000 0.103256
9.000000 0.112446
9.100000 0.122530
9.200000 0.133262
9.300000 0.145293
9.400000 0.158014
9.500000 0.172584
9.600000 0.188009
9.700000 0.206586
9.800000 0.226159
9.900000 0.247297
10.000000 0.270634
10.100000 0.302335
10.200000 0.335497
10.300000 0.377276
10.400000 0.414967
10.500000 0.458120
10.600000 0.507614
10.700000 0.557913
10.800000 0.607961
10.900000 0.655074
11.000000 0.700315
11.100000 0.737863
11.200000 0.779775
11.300000 0.812490
11.400000 0.839561
11.500000 0.867746
11.600000 0.887951
11.700000 0.908373
11.800000 0.924247
11.900000 0.937527
