#Best-fitting average specific star formation rates from Trinity.
#z: 2.0
#Ref: Zhang et al. (2021)
#log10(Mstar)[Msun] log10(SSFR)[yr^-1]
8.900000 -8.679300
9.000000 -8.647120
9.100000 -8.624070
9.200000 -8.598720
9.300000 -8.577450
9.400000 -8.562700
9.500000 -8.545620
9.600000 -8.532860
9.700000 -8.522010
9.800000 -8.515000
9.900000 -8.515110
10.000000 -8.520630
10.100000 -8.525370
10.200000 -8.539130
10.300000 -8.559670
10.400000 -8.586480
10.500000 -8.624920
10.600000 -8.655060
10.700000 -8.701350
10.800000 -8.756190
10.900000 -8.809250
11.000000 -8.873300
11.100000 -8.936540
