#Best-fitting median black hole mass--galaxy bulge mass relation from z=0-10 without super-Eddington accretion from Trinity.
#Ref: Zhang et al. (2021)
#z log10(Mbulge)[Msun] log10(Mbh_median)[Msun] log10(16-th percentile of Mbh_median)[Msun] log10(84-th percentile of Mbh_median)[Msun]
0.000000 8.500000 5.360212 5.264462 5.525602
0.000000 8.771816 5.606509 5.517595 5.764353
0.000000 9.043633 5.852807 5.769830 6.003777
0.000000 9.315449 6.099104 6.021921 6.243768
0.000000 9.587266 6.345402 6.273779 6.484344
0.000000 9.859082 6.591699 6.524917 6.726153
0.000000 10.130899 6.837997 6.774742 6.968722
0.000000 10.402715 7.084294 7.023259 7.211402
0.000000 10.674532 7.330592 7.270548 7.455337
0.000000 10.946348 7.576889 7.516999 7.701098
0.000000 11.218165 7.823187 7.761989 7.947941
0.000000 11.489981 8.069485 8.005872 8.196067
1.000000 8.500000 5.642075 5.555701 5.765595
1.000000 8.773174 5.883997 5.802986 6.002681
1.000000 9.046348 6.125919 6.049571 6.240779
1.000000 9.319521 6.367840 6.295625 6.479602
1.000000 9.592695 6.609762 6.540759 6.718928
1.000000 9.865869 6.851684 6.784821 6.958403
1.000000 10.139043 7.093606 7.027861 7.198600
1.000000 10.412216 7.335527 7.270001 7.439997
1.000000 10.685390 7.577449 7.512289 7.682903
1.000000 10.958564 7.819371 7.753397 7.926491
1.000000 11.231738 8.061293 7.993414 8.171148
2.000000 8.500000 5.763662 5.682627 5.886440
2.000000 8.790530 6.019388 5.941772 6.135320
2.000000 9.081060 6.275115 6.200414 6.385319
2.000000 9.371590 6.530842 6.457879 6.635741
2.000000 9.662120 6.786568 6.714016 6.886679
2.000000 9.952650 7.042295 6.969044 7.137969
2.000000 10.243180 7.298021 7.223638 7.390447
2.000000 10.533710 7.553748 7.477431 7.643932
2.000000 10.824240 7.809474 7.730167 7.898601
2.000000 11.114770 8.065201 7.982245 8.154354
3.000000 8.500000 5.845179 5.766577 5.981106
3.000000 8.826732 6.132246 6.055590 6.255588
3.000000 9.153464 6.419313 6.343388 6.531123
3.000000 9.480196 6.706379 6.629538 6.807753
3.000000 9.806928 6.993446 6.914230 7.086091
3.000000 10.133660 7.280513 7.197269 7.366127
3.000000 10.460392 7.567580 7.478064 7.647758
3.000000 10.787124 7.854647 7.757286 7.930897
3.000000 11.113856 8.141713 8.035074 8.216134
4.000000 8.500000 5.910669 5.830030 6.069200
4.000000 8.873550 6.238835 6.159307 6.375487
4.000000 9.247101 6.567002 6.485402 6.683982
4.000000 9.620651 6.895168 6.809800 6.994239
4.000000 9.994202 7.223335 7.130963 7.308189
4.000000 10.367752 7.551502 7.448155 7.625733
4.000000 10.741303 7.879668 7.761525 7.947042
4.000000 11.114853 8.207835 8.071413 8.271363
5.000000 8.500000 5.968144 5.879999 6.158367
5.000000 8.924037 6.340945 6.252572 6.495695
5.000000 9.348075 6.713746 6.622869 6.836643
5.000000 9.772112 7.086547 6.988288 7.182947
5.000000 10.196150 7.459348 7.345419 7.535892
5.000000 10.620187 7.832148 7.695849 7.896574
5.000000 11.044225 8.204949 8.038876 8.264826
6.000000 8.500000 6.021041 5.919884 6.248072
6.000000 8.941440 6.409625 6.309854 6.588136
6.000000 9.382879 6.798208 6.695354 6.932541
6.000000 9.824319 7.186792 7.073100 7.285712
6.000000 10.265759 7.575376 7.439336 7.649384
6.000000 10.707199 7.963960 7.793590 8.025066
7.000000 8.500000 6.071075 5.954206 6.336750
7.000000 8.922290 6.443379 6.329773 6.651995
7.000000 9.344581 6.815683 6.699268 6.971087
7.000000 9.766871 7.187987 7.061033 7.299157
7.000000 10.189161 7.560291 7.409889 7.640159
8.000000 8.500000 6.119201 5.984850 6.427090
8.000000 8.858771 6.436059 6.305501 6.684736
8.000000 9.217542 6.752917 6.621911 6.945528
8.000000 9.576313 7.069774 6.933371 7.213162
9.000000 8.500000 6.165992 6.012889 6.517007
9.000000 8.875000 6.497810 6.350376 6.775998
9.000000 9.250000 6.829627 6.681852 7.040583
10.000000 8.500000 6.211811 6.038215 6.607497
10.000000 9.000000 6.655116 6.489677 6.940202
