#Average black hole merger rate (BHMR) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with a redshift-independent black hole mass--galaxy bulge mass relation.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(BHMR)[Msun]
11.359933 11.000000 -5.485471
11.295954 11.000000 -5.469531
11.232958 11.000000 -5.449505
11.169961 11.000000 -5.430362
11.169961 11.050000 -5.309656
11.106965 11.000000 -5.412027
11.106965 11.050000 -5.291667
11.044937 11.000000 -5.396512
11.044937 11.050000 -5.276549
10.982909 11.000000 -5.381533
10.982909 11.050000 -5.261939
10.982909 11.100000 -5.168267
10.920881 11.000000 -5.367052
10.920881 11.050000 -5.247804
10.920881 11.100000 -5.154345
10.859807 11.000000 -5.354997
10.859807 11.050000 -5.236130
10.859807 11.100000 -5.142904
10.798732 11.000000 -5.343267
10.798732 11.050000 -5.224761
10.798732 11.100000 -5.131757
10.798732 11.150000 -4.876506
10.737657 11.000000 -5.331846
10.737657 11.050000 -5.213683
10.737657 11.100000 -5.120889
10.737657 11.150000 -4.867318
10.677521 11.000000 -5.322254
10.677521 11.050000 -5.204457
10.677521 11.100000 -5.111889
10.677521 11.150000 -4.860046
10.617386 11.000000 -5.312869
10.617386 11.050000 -5.195424
10.617386 11.100000 -5.103072
10.617386 11.150000 -4.852894
10.617386 11.200000 -4.695169
10.557250 11.000000 -5.303683
10.557250 11.050000 -5.186574
10.557250 11.100000 -5.094431
10.557250 11.150000 -4.845858
10.557250 11.200000 -4.688762
10.498038 11.000000 -5.296150
10.498038 11.050000 -5.179394
10.498038 11.100000 -5.087469
10.498038 11.150000 -4.840513
10.498038 11.200000 -4.684054
10.438827 11.000000 -5.288747
10.438827 11.050000 -5.172331
10.438827 11.100000 -5.080617
10.438827 11.150000 -4.835233
10.438827 11.200000 -4.679396
10.438827 11.250000 -4.564950
10.379615 11.000000 -5.281467
10.379615 11.050000 -5.165381
10.379615 11.100000 -5.073871
10.379615 11.150000 -4.830016
10.379615 11.200000 -4.674787
10.379615 11.250000 -4.560668
10.321314 11.000000 -5.275949
10.321314 11.050000 -5.160201
10.321314 11.100000 -5.068900
10.321314 11.150000 -4.826557
10.321314 11.200000 -4.671933
10.321314 11.250000 -4.558140
10.263013 11.000000 -5.270500
10.263013 11.050000 -5.155081
10.263013 11.100000 -5.063985
10.263013 11.150000 -4.823126
10.263013 11.200000 -4.669098
10.263013 11.250000 -4.555626
10.263013 11.300000 -4.465745
10.204711 11.000000 -5.265118
10.204711 11.050000 -5.150021
10.204711 11.100000 -5.059125
10.204711 11.150000 -4.819721
10.204711 11.200000 -4.666281
10.204711 11.250000 -4.553127
10.204711 11.300000 -4.463445
10.147306 11.000000 -5.258027
