#Best-fitting median black hole mass--galaxy bulge mass relation from z=0-10 from Trinity,
#with the "no mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mbulge)[Msun] log10(Mbh_median)[Msun] log10(16-th percentile of Mbh_median)[Msun] log10(84-th percentile of Mbh_median)[Msun]
0.000000 8.500000 5.819819 5.688015 5.940751
0.000000 8.771816 6.111636 5.985890 6.224880
0.000000 9.043633 6.403453 6.282793 6.509946
0.000000 9.315449 6.695270 6.579667 6.795659
0.000000 9.587266 6.987087 6.875244 7.081471
0.000000 9.859082 7.278904 7.170260 7.369154
0.000000 10.130899 7.570721 7.464427 7.657375
0.000000 10.402715 7.862538 7.757552 7.946664
0.000000 10.674532 8.154355 8.049762 8.236668
0.000000 10.946348 8.446172 8.340749 8.527730
0.000000 11.218165 8.737989 8.630529 8.819908
0.000000 11.489981 9.029806 8.919156 9.113477
1.000000 8.500000 6.106792 5.998014 6.212646
1.000000 8.773174 6.400382 6.295023 6.500829
1.000000 9.046348 6.693972 6.591825 6.789245
1.000000 9.319521 6.987562 6.887765 7.078232
1.000000 9.592695 7.281152 7.183149 7.367762
1.000000 9.865869 7.574741 7.477766 7.658311
1.000000 10.139043 7.868331 7.771924 7.949276
1.000000 10.412216 8.161921 8.065054 8.241220
1.000000 10.685390 8.455511 8.357629 8.534052
1.000000 10.958564 8.749101 8.649308 8.827526
1.000000 11.231738 9.042690 8.939950 9.122087
2.000000 8.500000 5.974810 5.861877 6.077887
2.000000 8.790530 6.313397 6.205279 6.410768
2.000000 9.081060 6.651985 6.547979 6.744204
2.000000 9.371590 6.990572 6.890298 7.077846
2.000000 9.662120 7.329160 7.231735 7.412377
2.000000 9.952650 7.667747 7.572570 7.747835
2.000000 10.243180 8.006335 7.912160 8.084407
2.000000 10.533710 8.344922 8.250210 8.421959
2.000000 10.824240 8.683510 8.587765 8.760346
2.000000 11.114770 9.022097 8.924553 9.099867
3.000000 8.500000 5.738088 5.609101 5.846939
3.000000 8.826732 6.155805 6.035744 6.255932
3.000000 9.153464 6.573522 6.462021 6.666555
3.000000 9.480196 6.991239 6.886640 7.078118
3.000000 9.806928 7.408956 7.309447 7.490900
3.000000 10.133660 7.826673 7.730323 7.905331
3.000000 10.460392 8.244390 8.149105 8.322049
3.000000 10.787124 8.662107 8.565827 8.740706
3.000000 11.113856 9.079824 8.980738 9.161243
4.000000 8.500000 5.459471 5.304478 5.582911
4.000000 8.873550 5.982621 5.843137 6.092991
4.000000 9.247101 6.505770 6.380303 6.604596
4.000000 9.620651 7.028920 6.915336 7.118953
4.000000 9.994202 7.552069 7.446869 7.636331
4.000000 10.367752 8.075219 7.973199 8.157166
4.000000 10.741303 8.598368 8.496001 8.682805
4.000000 11.114853 9.121517 9.014242 9.212288
5.000000 8.500000 5.159906 4.970487 5.306150
5.000000 8.924037 5.807396 5.643026 5.932943
5.000000 9.348075 6.454886 6.312786 6.562774
5.000000 9.772112 7.102376 6.978386 7.198055
5.000000 10.196150 7.749865 7.636176 7.840091
5.000000 10.620187 8.397355 8.285112 8.490708
5.000000 11.044225 9.044845 8.925368 9.148745
6.000000 8.500000 4.848371 4.621118 5.021387
6.000000 8.941440 5.579398 5.385416 5.725008
6.000000 9.382879 6.310425 6.146898 6.433725
6.000000 9.824319 7.041452 6.901870 7.148043
6.000000 10.265759 7.772479 7.645722 7.873373
6.000000 10.707199 8.503506 8.375784 8.612721
7.000000 8.500000 4.529355 4.260329 4.731666
7.000000 8.922290 5.283839 5.054744 5.455205
7.000000 9.344581 6.038323 5.846098 6.182763
7.000000 9.766871 6.792807 6.629878 6.916826
7.000000 10.189161 7.547291 7.401649 7.662852
8.000000 8.500000 4.205351 3.893219 4.439111
8.000000 8.858771 4.893601 4.622071 5.095796
8.000000 9.217542 5.581850 5.348109 5.756328
8.000000 9.576313 6.270100 6.069883 6.421498
9.000000 8.500000 3.877856 3.520484 4.145623
9.000000 8.875000 4.646908 4.339363 4.875905
9.000000 9.250000 5.415961 5.153156 5.611614
10.000000 8.500000 3.547821 3.143272 3.849766
10.000000 9.000000 4.639723 4.310243 4.883186
