#Average black hole Eddington ratio (eta_avg) as a function of halo peak mass (Mpeak) and redshift (z) from Trinity,
#with the "no mergers" assumption.
#Ref: Zhang et al. (2021)
#z log10(Mpeak)[Msun] log10(eta_avg)[Msun]
11.359933 11.000000 1.097415
11.295954 11.000000 1.089325
11.232958 11.000000 1.077132
11.169961 11.000000 1.064939
11.169961 11.050000 1.062383
11.106965 11.000000 1.052746
11.106965 11.050000 1.050079
11.044937 11.000000 1.041724
11.044937 11.050000 1.038988
10.982909 11.000000 1.030702
10.982909 11.050000 1.027897
10.982909 11.100000 1.025092
10.920881 11.000000 1.019679
10.920881 11.050000 1.016806
10.920881 11.100000 1.013932
10.859807 11.000000 1.009379
10.859807 11.050000 1.006468
10.859807 11.100000 1.003556
10.798732 11.000000 0.999079
10.798732 11.050000 0.996130
10.798732 11.100000 0.993181
10.798732 11.150000 0.990140
10.737657 11.000000 0.988778
10.737657 11.050000 0.985792
10.737657 11.100000 0.982805
10.737657 11.150000 0.979734
10.677521 11.000000 0.979079
10.677521 11.050000 0.976076
10.677521 11.100000 0.973073
10.677521 11.150000 0.969994
10.617386 11.000000 0.969381
10.617386 11.050000 0.966361
10.617386 11.100000 0.963341
10.617386 11.150000 0.960254
10.617386 11.200000 0.957167
10.557250 11.000000 0.959682
10.557250 11.050000 0.956645
10.557250 11.100000 0.953609
10.557250 11.150000 0.950514
10.557250 11.200000 0.947419
10.498038 11.000000 0.950447
10.498038 11.050000 0.947409
10.498038 11.100000 0.944372
10.498038 11.150000 0.941287
10.498038 11.200000 0.938202
10.438827 11.000000 0.941211
10.438827 11.050000 0.938173
10.438827 11.100000 0.935135
10.438827 11.150000 0.932060
10.438827 11.200000 0.928984
10.438827 11.250000 0.925908
10.379615 11.000000 0.931976
10.379615 11.050000 0.928938
10.379615 11.100000 0.925899
10.379615 11.150000 0.922833
10.379615 11.200000 0.919766
10.379615 11.250000 0.916700
10.321314 11.000000 0.922994
10.321314 11.050000 0.919970
10.321314 11.100000 0.916945
10.321314 11.150000 0.913904
10.321314 11.200000 0.910863
10.321314 11.250000 0.907821
10.263013 11.000000 0.914012
10.263013 11.050000 0.911002
10.263013 11.100000 0.907992
10.263013 11.150000 0.904976
10.263013 11.200000 0.901959
10.263013 11.250000 0.898943
10.263013 11.300000 0.895926
10.204711 11.000000 0.905030
10.204711 11.050000 0.902034
10.204711 11.100000 0.899039
10.204711 11.150000 0.896047
10.204711 11.200000 0.893056
10.204711 11.250000 0.890064
10.204711 11.300000 0.887072
10.147306 11.000000 0.896826
10.147306 11.050000 0.893830
