#The number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta).
#z: 0.0-0.1
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -1.700000 -0.446458
12.500000 -1.500000 -0.151639
12.500000 -1.300000 0.009217
12.500000 -1.100000 0.097068
12.500000 -0.900000 0.084872
12.500000 -0.700000 0.031150
12.500000 -0.500000 0.001463
12.500000 -0.300000 -0.617769
12.500000 -0.100000 -1.443295
13.500000 -2.700000 0.304833
13.500000 -2.500000 0.599159
13.500000 -2.300000 0.790734
13.500000 -2.100000 0.748071
13.500000 -1.900000 0.693728
13.500000 -1.700000 0.627987
13.500000 -1.500000 0.549061
13.500000 -1.300000 0.490942
13.500000 -1.100000 0.422467
13.500000 -0.900000 0.296389
13.500000 -0.700000 0.177180
13.500000 -0.500000 0.123683
13.500000 -0.300000 -0.595330
13.500000 -0.100000 -1.256260
14.500000 -3.900000 0.984383
14.500000 -3.700000 1.551064
14.500000 -3.500000 1.491825
14.500000 -3.300000 1.487471
14.500000 -3.100000 1.553571
14.500000 -2.900000 1.517425
14.500000 -2.700000 1.238278
14.500000 -2.500000 1.213664
14.500000 -2.300000 1.084631
14.500000 -2.100000 0.823452
14.500000 -1.900000 0.734603
14.500000 -1.700000 0.710968
14.500000 -1.500000 0.780237
14.500000 -1.300000 0.556793
14.500000 -1.100000 0.324236
14.500000 -0.900000 0.516946
14.500000 -0.700000 0.428300
14.500000 -0.500000 0.130408
14.500000 -0.300000 -0.239307
14.500000 -0.100000 -0.883550
