#The best-fitting model to the number of mergers per halo, per unit redshift, and per unit log10(mass ratio),
#as a function of descendant halo peak mass (Mdesc) and mass ratio (theta) from the Universe Machine.
#z: 0.0-0.1
#Ref: Zhang et al. (2021)
#log10(Mdesc) log10(theta) log10(d^2N/dz/dlog10(theta))
12.500000 -4.900000 1.683884
12.500000 -4.700000 1.609195
12.500000 -4.500000 1.534500
12.500000 -4.300000 1.459796
12.500000 -4.100000 1.385077
12.500000 -3.900000 1.310334
12.500000 -3.700000 1.235554
12.500000 -3.500000 1.160715
12.500000 -3.300000 1.085782
12.500000 -3.100000 1.010701
12.500000 -2.900000 0.935384
12.500000 -2.700000 0.859694
12.500000 -2.500000 0.783412
12.500000 -2.300000 0.706193
12.500000 -2.100000 0.627489
12.500000 -1.900000 0.546429
12.500000 -1.700000 0.461638
12.500000 -1.500000 0.370932
12.500000 -1.300000 0.270852
12.500000 -1.100000 0.155914
12.500000 -0.900000 0.017429
12.500000 -0.700000 -0.158375
12.500000 -0.500000 -0.393327
12.500000 -0.300000 -0.722022
12.500000 -0.100000 -1.199289
13.500000 -4.900000 1.832039
13.500000 -4.700000 1.757350
13.500000 -4.500000 1.682655
13.500000 -4.300000 1.607951
13.500000 -4.100000 1.533232
13.500000 -3.900000 1.458489
13.500000 -3.700000 1.383709
13.500000 -3.500000 1.308870
13.500000 -3.300000 1.233937
13.500000 -3.100000 1.158856
13.500000 -2.900000 1.083539
13.500000 -2.700000 1.007849
13.500000 -2.500000 0.931568
13.500000 -2.300000 0.854349
13.500000 -2.100000 0.775644
13.500000 -1.900000 0.694585
13.500000 -1.700000 0.609793
13.500000 -1.500000 0.519087
13.500000 -1.300000 0.419007
13.500000 -1.100000 0.304069
13.500000 -0.900000 0.165584
13.500000 -0.700000 -0.010220
13.500000 -0.500000 -0.245172
13.500000 -0.300000 -0.573867
13.500000 -0.100000 -1.051133
14.500000 -4.900000 1.980194
14.500000 -4.700000 1.905505
14.500000 -4.500000 1.830810
14.500000 -4.300000 1.756106
14.500000 -4.100000 1.681387
14.500000 -3.900000 1.606644
14.500000 -3.700000 1.531865
14.500000 -3.500000 1.457025
14.500000 -3.300000 1.382093
14.500000 -3.100000 1.307011
14.500000 -2.900000 1.231694
14.500000 -2.700000 1.156004
14.500000 -2.500000 1.079723
14.500000 -2.300000 1.002504
14.500000 -2.100000 0.923799
14.500000 -1.900000 0.842740
14.500000 -1.700000 0.757948
14.500000 -1.500000 0.667242
14.500000 -1.300000 0.567162
14.500000 -1.100000 0.452224
14.500000 -0.900000 0.313740
14.500000 -0.700000 0.137935
14.500000 -0.500000 -0.097017
14.500000 -0.300000 -0.425711
14.500000 -0.100000 -0.902978
