#The median galaxy UV magnitude (at 1500 Angstrom) as a function of
#halo peak mass function, average star formation rate, from the Universe Machine.
#z: 8
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#log10(Mpeak) log10(SFR) M_UV
10.100000 -1.785195 -15.120177
10.100000 -1.259937 -15.938358
10.100000 -0.783765 -16.781591
10.100000 -0.282708 -17.744726
10.100000 0.265025 -18.838972
10.300000 -1.433205 -15.901617
10.300000 -0.924112 -16.711014
10.300000 -0.463824 -17.514027
10.300000 0.020363 -18.404648
10.300000 0.559854 -19.374945
10.500000 -1.087148 -16.709667
10.500000 -0.607858 -17.432106
10.500000 -0.164854 -18.184940
10.500000 0.297554 -18.992846
10.500000 0.794038 -19.839626
10.700000 -0.636410 -17.625463
10.700000 -0.168741 -18.345570
10.700000 0.277191 -19.068304
10.700000 0.736098 -19.785694
10.700000 1.252691 -20.578979
10.900000 -0.299201 -18.423613
10.900000 0.123547 -18.982077
10.900000 0.531241 -19.574154
10.900000 0.945621 -20.178602
10.900000 1.407700 -20.809864
11.100000 0.063212 -19.128817
11.100000 0.466363 -19.634165
11.100000 0.856447 -20.156229
11.100000 1.242371 -20.648201
11.100000 1.627158 -21.077049
11.300000 0.402785 -19.747879
11.300000 0.879056 -20.317020
11.300000 1.324680 -20.799845
11.300000 1.808388 -21.362177
11.300000 2.509813 -22.112751
11.500000 0.852126 -20.240530
11.500000 1.202640 -20.725437
11.500000 1.472270 -21.086479
11.500000 1.783551 -21.457447
11.500000 2.188472 -21.917774
11.700000 1.309581 -20.850685
11.700000 1.561438 -21.325615
11.700000 1.719987 -21.316610
11.700000 1.965748 -21.632977
11.700000 2.202289 -21.926638
11.900000 1.500363 -21.156578
11.900000 1.682938 -21.345430
11.900000 nan nan
11.900000 nan nan
11.900000 2.386282 -22.128803
12.100000 nan nan
12.100000 nan nan
12.100000 1.096438 -20.484921
12.100000 nan nan
12.100000 nan nan
