#The best-fitting model to the median galaxy UV magnitude (at 1500 Angstrom) as a function of
#halo peak mass function, average star formation rate, from the Universe Machine.
#z: 8
#Ref: Zhang et al. (2021)
#log10(Mpeak) log10(SFR) M_UV
10.100000 -1.785195 -15.184672
10.100000 -1.259937 -16.117534
10.100000 -0.783765 -16.963218
10.100000 -0.282708 -17.853099
10.100000 0.265025 -18.825876
10.300000 -1.433205 -15.931282
10.300000 -0.924112 -16.809066
10.300000 -0.463824 -17.602701
10.300000 0.020363 -18.437541
10.300000 0.559854 -19.367738
10.500000 -1.087148 -16.672673
10.500000 -0.607858 -17.468354
10.500000 -0.164854 -18.203797
10.500000 0.297554 -18.971450
10.500000 0.794038 -19.795675
10.700000 -0.636410 -17.572407
10.700000 -0.168741 -18.313074
10.700000 0.277191 -19.019314
10.700000 0.736098 -19.746104
10.700000 1.252691 -20.564254
10.900000 -0.299201 -18.263632
10.900000 0.123547 -18.895668
10.900000 0.531241 -19.505197
10.900000 0.945621 -20.124723
10.900000 1.407700 -20.815561
11.100000 0.063212 -18.957522
11.100000 0.466363 -19.519553
11.100000 0.856447 -20.063366
11.100000 1.242371 -20.601381
11.100000 1.627158 -21.137809
11.300000 0.402785 -19.571539
11.300000 0.879056 -20.181560
11.300000 1.324680 -20.752327
11.300000 1.808388 -21.371875
11.300000 2.509813 -22.270280
11.500000 0.852126 -20.254116
11.500000 1.202640 -20.659053
11.500000 1.472270 -20.970548
11.500000 1.783551 -21.330161
11.500000 2.188472 -21.797954
11.700000 1.309581 -20.843909
11.700000 1.561438 -21.100151
11.700000 1.719987 -21.261462
11.700000 1.965748 -21.511503
11.700000 2.202289 -21.752162
11.900000 1.500363 -21.082376
11.900000 1.682938 -21.240718
11.900000 nan nan
11.900000 nan nan
11.900000 2.386282 -21.850704
12.100000 nan nan
12.100000 nan nan
12.100000 1.096438 -20.851397
12.100000 nan nan
12.100000 nan nan
