#The Gaussian scatter in the galaxy UV magnitude (at 1500 Angstrom) as a function of
#redshift and halo peak mass function from the Universe Machine.
#Ref: Behroozi et al. 2019, https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3143B/abstract
#z log10(Mpeak) std_UV
9.781904 10.100000 0.717878
9.781904 10.300000 0.671111
9.781904 10.500000 0.623065
9.781904 10.700000 0.572172
9.781904 10.900000 0.531470
9.781904 11.100000 0.443100
9.781904 11.300000 0.470983
9.781904 11.500000 0.147366
9.050453 10.100000 0.718920
9.050453 10.300000 0.683009
9.050453 10.500000 0.643481
9.050453 10.700000 0.589433
9.050453 10.900000 0.540344
9.050453 11.100000 0.475386
9.050453 11.300000 0.437252
9.050453 11.500000 0.438078
8.122173 10.100000 0.709732
8.122173 10.300000 0.674309
8.122173 10.500000 0.641697
8.122173 10.700000 0.597553
8.122173 10.900000 0.538980
8.122173 11.100000 0.501054
8.122173 11.300000 0.454814
8.122173 11.500000 0.420015
8.122173 11.700000 0.351793
8.122173 11.900000 0.407804
